,date,value,name_B085Y4H1JC
0,2020-10-25,37397.0,Sheet & Pillowcase Sets
1,2020-10-26,17079.0,Sheet & Pillowcase Sets
2,2020-10-27,18404.0,Sheet & Pillowcase Sets
3,2020-10-28,18978.0,Sheet & Pillowcase Sets
4,2020-10-29,31171.0,Sheet & Pillowcase Sets
5,2020-10-30,31171.0,Sheet & Pillowcase Sets
6,2020-10-31,22318.0,Sheet & Pillowcase Sets
7,2020-11-01,21540.0,Sheet & Pillowcase Sets
8,2020-11-02,21540.0,Sheet & Pillowcase Sets
9,2020-11-03,24310.0,Sheet & Pillowcase Sets
10,2020-11-04,27588.0,Sheet & Pillowcase Sets
11,2020-11-05,27625.0,Sheet & Pillowcase Sets
12,2020-11-06,17535.0,Sheet & Pillowcase Sets
13,2020-11-07,18965.0,Sheet & Pillowcase Sets
14,2020-11-08,15542.0,Sheet & Pillowcase Sets
15,2020-11-09,21035.0,Sheet & Pillowcase Sets
16,2020-11-10,17603.0,Sheet & Pillowcase Sets
17,2020-11-11,16186.0,Sheet & Pillowcase Sets
18,2020-11-12,13510.0,Sheet & Pillowcase Sets
19,2020-11-13,15126.0,Sheet & Pillowcase Sets
20,2020-11-14,12696.0,Sheet & Pillowcase Sets
21,2020-11-15,12696.0,Sheet & Pillowcase Sets
22,2020-11-16,12958.0,Sheet & Pillowcase Sets
23,2020-11-17,13759.0,Sheet & Pillowcase Sets
24,2020-11-18,12934.0,Sheet & Pillowcase Sets
25,2020-11-19,12934.0,Sheet & Pillowcase Sets
26,2020-11-20,8964.0,Sheet & Pillowcase Sets
27,2020-11-21,8964.0,Sheet & Pillowcase Sets
28,2020-11-22,8964.0,Sheet & Pillowcase Sets
29,2020-11-23,8964.0,Sheet & Pillowcase Sets
30,2020-11-24,8964.0,Sheet & Pillowcase Sets
31,2020-11-25,8964.0,Sheet & Pillowcase Sets
32,2020-11-26,8964.0,Sheet & Pillowcase Sets
33,2020-11-27,8964.0,Sheet & Pillowcase Sets
34,2020-11-28,8964.0,Sheet & Pillowcase Sets
35,2020-11-29,8964.0,Sheet & Pillowcase Sets
36,2020-11-30,8964.0,Sheet & Pillowcase Sets
37,2020-12-01,22421.0,Sheet & Pillowcase Sets
38,2020-12-02,22421.0,Sheet & Pillowcase Sets
39,2020-12-03,22421.0,Sheet & Pillowcase Sets
40,2020-12-04,22421.0,Sheet & Pillowcase Sets
41,2020-12-05,22421.0,Sheet & Pillowcase Sets
42,2020-12-06,22421.0,Sheet & Pillowcase Sets
43,2020-12-07,22421.0,Sheet & Pillowcase Sets
44,2020-12-08,22421.0,Sheet & Pillowcase Sets
45,2020-12-09,41256.0,Sheet & Pillowcase Sets
46,2020-12-10,41256.0,Sheet & Pillowcase Sets
47,2020-12-11,41256.0,Sheet & Pillowcase Sets
48,2020-12-12,41256.0,Sheet & Pillowcase Sets
49,2020-12-13,41256.0,Sheet & Pillowcase Sets
50,2020-12-14,41256.0,Sheet & Pillowcase Sets
51,2020-12-15,41256.0,Sheet & Pillowcase Sets
52,2020-12-16,41256.0,Sheet & Pillowcase Sets
53,2020-12-17,41256.0,Sheet & Pillowcase Sets
54,2020-12-18,41256.0,Sheet & Pillowcase Sets
55,2020-12-19,41256.0,Sheet & Pillowcase Sets
56,2020-12-20,41256.0,Sheet & Pillowcase Sets
57,2020-12-21,41256.0,Sheet & Pillowcase Sets
58,2020-12-22,41256.0,Sheet & Pillowcase Sets
59,2020-12-23,41256.0,Sheet & Pillowcase Sets
60,2020-12-24,41256.0,Sheet & Pillowcase Sets
61,2020-12-25,41256.0,Sheet & Pillowcase Sets
62,2020-12-26,41256.0,Sheet & Pillowcase Sets
63,2020-12-27,41256.0,Sheet & Pillowcase Sets
64,2020-12-28,41256.0,Sheet & Pillowcase Sets
65,2020-12-29,20110.0,Sheet & Pillowcase Sets
66,2020-12-30,21898.0,Sheet & Pillowcase Sets
67,2020-12-31,19608.0,Sheet & Pillowcase Sets
68,2021-01-01,14579.0,Sheet & Pillowcase Sets
69,2021-01-02,10750.0,Sheet & Pillowcase Sets
70,2021-01-03,10634.0,Sheet & Pillowcase Sets
71,2021-01-04,9595.0,Sheet & Pillowcase Sets
72,2021-01-05,925774.0,Sheet & Pillowcase Sets
73,2021-01-06,1032022.0,Sheet & Pillowcase Sets
74,2021-01-07,1168628.0,Sheet & Pillowcase Sets
75,2021-01-08,1219806.0,Sheet & Pillowcase Sets
76,2021-01-09,11199.0,Sheet & Pillowcase Sets
77,2021-01-10,11199.0,Sheet & Pillowcase Sets
