,date,value,name_B07KBGX7MS
159,2020-11-05,10664.0,Magnesium
160,2020-11-06,10664.0,Magnesium
161,2020-11-07,12376.0,Magnesium
162,2020-11-08,12376.0,Magnesium
163,2020-11-09,12376.0,Magnesium
164,2020-11-10,11506.0,Magnesium
165,2020-11-11,11506.0,Magnesium
166,2020-11-12,11506.0,Magnesium
167,2020-11-13,12344.0,Magnesium
168,2020-11-14,12344.0,Magnesium
169,2020-11-15,13034.0,Magnesium
170,2020-11-16,13034.0,Magnesium
171,2020-11-17,13034.0,Magnesium
172,2020-11-18,10291.0,Magnesium
173,2020-11-19,10291.0,Magnesium
174,2020-11-20,28539.0,Magnesium
175,2020-11-21,28539.0,Magnesium
176,2020-11-22,28539.0,Magnesium
177,2020-11-23,28539.0,Magnesium
178,2020-11-24,15969.0,Magnesium
179,2020-11-25,15969.0,Magnesium
180,2020-11-26,15969.0,Magnesium
181,2020-11-27,15969.0,Magnesium
182,2020-11-28,15969.0,Magnesium
183,2020-11-29,15969.0,Magnesium
184,2020-11-30,12942.0,Magnesium
185,2020-12-01,12942.0,Magnesium
186,2020-12-02,12524.0,Magnesium
187,2020-12-03,12524.0,Magnesium
188,2020-12-04,12524.0,Magnesium
189,2020-12-05,12524.0,Magnesium
190,2020-12-06,12957.0,Magnesium
191,2020-12-07,12957.0,Magnesium
192,2020-12-08,12957.0,Magnesium
193,2020-12-09,12957.0,Magnesium
194,2020-12-10,12957.0,Magnesium
195,2020-12-11,10703.0,Magnesium
196,2020-12-12,10703.0,Magnesium
197,2020-12-13,13526.0,Magnesium
198,2020-12-14,13526.0,Magnesium
199,2020-12-15,13526.0,Magnesium
200,2020-12-16,12363.0,Magnesium
201,2020-12-17,12363.0,Magnesium
202,2020-12-18,12363.0,Magnesium
203,2020-12-19,10683.0,Magnesium
204,2020-12-20,9532.0,Magnesium
205,2020-12-21,9532.0,Magnesium
206,2020-12-22,9532.0,Magnesium
207,2020-12-23,13589.0,Magnesium
208,2020-12-24,13589.0,Magnesium
209,2020-12-25,13589.0,Magnesium
210,2020-12-26,13589.0,Magnesium
211,2020-12-27,12347.0,Magnesium
212,2020-12-28,12347.0,Magnesium
213,2020-12-29,12347.0,Magnesium
214,2020-12-30,10390.0,Magnesium
215,2020-12-31,10390.0,Magnesium
216,2021-01-01,10510.0,Magnesium
217,2021-01-02,10510.0,Magnesium
218,2021-01-03,10510.0,Magnesium
219,2021-01-04,10510.0,Magnesium
220,2021-01-05,15111.0,Magnesium
221,2021-01-06,15111.0,Magnesium
222,2021-01-07,18651.0,Magnesium
223,2021-01-08,18651.0,Magnesium
224,2021-01-09,18651.0,Magnesium
225,2021-01-10,10574.0,Magnesium
226,2021-01-11,10574.0,Magnesium
227,2021-01-12,13593.0,Magnesium
228,2021-01-13,13593.0,Magnesium
229,2021-01-14,13593.0,Magnesium
230,2021-01-15,11308.0,Magnesium
231,2021-01-16,10977.0,Magnesium
232,2021-01-17,10977.0,Magnesium
233,2021-01-18,10977.0,Magnesium
234,2021-01-19,10977.0,Magnesium
235,2021-01-20,10791.0,Magnesium
236,2021-01-21,10791.0,Magnesium
237,2021-01-22,10791.0,Magnesium
238,2021-01-23,15616.0,Magnesium
239,2021-01-24,15616.0,Magnesium
240,2021-01-25,28381.0,Magnesium
241,2021-01-26,25338.0,Magnesium
242,2021-01-27,25338.0,Magnesium
243,2021-01-28,25338.0,Magnesium
244,2021-01-29,17947.0,Magnesium
245,2021-01-30,17947.0,Magnesium
246,2021-01-31,17947.0,Magnesium
247,2021-02-01,16655.0,Magnesium
248,2021-02-02,16655.0,Magnesium
249,2021-02-03,16655.0,Magnesium
250,2021-02-04,16655.0,Magnesium
251,2021-02-05,16690.0,Magnesium
