,date,value,name_B0948WB8R4
0,2021-05-08,218.0,Automatic
1,2021-05-09,318.0,Automatic
2,2021-05-10,329.0,Automatic
3,2021-05-11,277.0,Automatic
4,2021-05-12,251.0,Automatic
5,2021-05-13,255.0,Automatic
6,2021-05-14,271.0,Automatic
7,2021-05-15,213.0,Automatic
8,2021-05-16,233.0,Automatic
9,2021-05-17,374.0,Automatic
10,2021-05-18,245.0,Automatic
11,2021-05-19,210.0,Automatic
12,2021-05-20,196.0,Automatic
13,2021-05-21,183.0,Automatic
14,2021-05-22,211.0,Automatic
15,2021-05-23,287.0,Automatic
16,2021-05-24,287.0,Automatic
17,2021-05-25,251.0,Automatic
18,2021-05-26,251.0,Automatic
19,2021-05-27,242.0,Automatic
20,2021-05-28,280.0,Automatic
21,2021-05-29,254.0,Automatic
22,2021-05-30,355.0,Automatic
23,2021-05-31,392.0,Automatic
24,2021-06-01,446.0,Automatic
25,2021-06-02,446.0,Automatic
26,2021-06-03,299.0,Automatic
27,2021-06-04,290.0,Automatic
28,2021-06-05,302.0,Automatic
29,2021-06-06,302.0,Automatic
30,2021-06-07,302.0,Automatic
31,2021-06-08,314.0,Automatic
32,2021-06-09,260.0,Automatic
33,2021-06-10,274.0,Automatic
34,2021-06-11,294.0,Automatic
35,2021-06-12,250.0,Automatic
36,2021-06-13,250.0,Automatic
37,2021-06-14,326.0,Automatic
38,2021-06-15,301.0,Automatic
39,2021-06-16,253.0,Automatic
40,2021-06-17,233.0,Automatic
41,2021-06-18,197.0,Automatic
42,2021-06-19,190.0,Automatic
43,2021-06-20,190.0,Automatic
44,2021-06-21,293.0,Automatic
45,2021-06-22,473.0,Automatic
46,2021-06-23,458.0,Automatic
47,2021-06-24,389.0,Automatic
48,2021-06-25,369.0,Automatic
49,2021-06-26,396.0,Automatic
50,2021-06-27,396.0,Automatic
51,2021-06-28,506.0,Automatic
52,2021-06-29,459.0,Automatic
53,2021-06-30,530.0,Automatic
54,2021-07-01,672.0,Automatic
55,2021-07-02,493.0,Automatic
56,2021-07-03,630.0,Automatic
57,2021-07-04,711.0,Automatic
58,2021-07-05,711.0,Automatic
59,2021-07-06,711.0,Automatic
60,2021-07-07,741.0,Automatic
61,2021-07-08,659.0,Automatic
62,2021-07-09,587.0,Automatic
63,2021-07-10,456.0,Automatic
64,2021-07-11,684.0,Automatic
