,date,value,name_B07H23FN77
0,2020-05-28,9345.0,Basic Collars
1,2020-05-29,9345.0,Basic Collars
2,2020-05-30,9345.0,Basic Collars
3,2020-05-31,9345.0,Basic Collars
4,2020-06-01,9345.0,Basic Collars
5,2020-06-02,9345.0,Basic Collars
6,2020-06-03,9345.0,Basic Collars
7,2020-06-04,6429.0,Basic Collars
8,2020-06-05,5944.0,Basic Collars
9,2020-06-06,5944.0,Basic Collars
10,2020-06-07,5944.0,Basic Collars
11,2020-06-08,6354.0,Basic Collars
12,2020-06-09,6354.0,Basic Collars
13,2020-06-10,6354.0,Basic Collars
14,2020-06-11,6354.0,Basic Collars
15,2020-06-12,6354.0,Basic Collars
16,2020-06-13,5544.0,Basic Collars
17,2020-06-14,5544.0,Basic Collars
18,2020-06-15,5372.0,Basic Collars
19,2020-06-16,5372.0,Basic Collars
20,2020-06-17,4604.0,Basic Collars
21,2020-06-18,4604.0,Basic Collars
22,2020-06-19,4604.0,Basic Collars
23,2020-06-20,4604.0,Basic Collars
24,2020-06-21,4652.0,Basic Collars
25,2020-06-22,4652.0,Basic Collars
26,2020-06-23,4652.0,Basic Collars
27,2020-06-24,4806.0,Basic Collars
28,2020-06-25,4806.0,Basic Collars
29,2020-06-26,6271.0,Basic Collars
30,2020-06-27,6271.0,Basic Collars
31,2020-06-28,6409.0,Basic Collars
32,2020-06-29,6409.0,Basic Collars
33,2020-06-30,6409.0,Basic Collars
34,2020-07-01,7920.0,Basic Collars
35,2020-07-02,7920.0,Basic Collars
36,2020-07-03,6951.0,Basic Collars
37,2020-07-04,6674.0,Basic Collars
38,2020-07-05,6674.0,Basic Collars
39,2020-07-06,6674.0,Basic Collars
40,2020-07-07,6709.0,Basic Collars
41,2020-07-08,7269.0,Basic Collars
42,2020-07-09,7269.0,Basic Collars
43,2020-07-10,7269.0,Basic Collars
44,2020-07-11,5374.0,Basic Collars
45,2020-07-12,5374.0,Basic Collars
46,2020-07-13,5374.0,Basic Collars
47,2020-07-14,5374.0,Basic Collars
48,2020-07-15,6398.0,Basic Collars
49,2020-07-16,6398.0,Basic Collars
50,2020-07-17,7263.0,Basic Collars
51,2020-07-18,7263.0,Basic Collars
52,2020-07-19,7263.0,Basic Collars
53,2020-07-20,8074.0,Basic Collars
54,2020-07-21,8074.0,Basic Collars
55,2020-07-22,8074.0,Basic Collars
56,2020-07-23,9332.0,Basic Collars
57,2020-07-24,7413.0,Basic Collars
58,2020-07-25,7984.0,Basic Collars
59,2020-07-26,7984.0,Basic Collars
60,2020-07-27,7984.0,Basic Collars
61,2020-07-28,6695.0,Basic Collars
62,2020-07-29,6695.0,Basic Collars
63,2020-07-30,5958.0,Basic Collars
64,2020-07-31,4931.0,Basic Collars
65,2020-08-01,4931.0,Basic Collars
66,2020-08-02,4931.0,Basic Collars
67,2020-08-03,6895.0,Basic Collars
68,2020-08-04,6895.0,Basic Collars
69,2020-08-05,6895.0,Basic Collars
70,2020-08-06,6895.0,Basic Collars
71,2020-08-07,7657.0,Basic Collars
72,2020-08-08,7657.0,Basic Collars
73,2020-08-09,6912.0,Basic Collars
74,2020-08-10,6912.0,Basic Collars
75,2020-08-11,6912.0,Basic Collars
76,2020-08-12,6912.0,Basic Collars
77,2020-08-13,9533.0,Basic Collars
78,2020-08-14,9533.0,Basic Collars
79,2020-08-15,9533.0,Basic Collars
80,2020-08-16,8863.0,Basic Collars
81,2020-08-17,8278.0,Basic Collars
82,2020-08-18,7931.0,Basic Collars
83,2020-08-19,7931.0,Basic Collars
84,2020-08-20,6172.0,Basic Collars
85,2020-08-21,6172.0,Basic Collars
86,2020-08-22,5618.0,Basic Collars
87,2020-08-23,5618.0,Basic Collars
88,2020-08-24,5618.0,Basic Collars
89,2020-08-25,5618.0,Basic Collars
90,2020-08-26,5618.0,Basic Collars
91,2020-08-27,6879.0,Basic Collars
92,2020-08-28,6879.0,Basic Collars
93,2020-08-29,6879.0,Basic Collars
94,2020-08-30,6879.0,Basic Collars
95,2020-08-31,6879.0,Basic Collars
96,2020-09-01,4183.0,Basic Collars
97,2020-09-02,4183.0,Basic Collars
98,2020-09-03,4183.0,Basic Collars
99,2020-09-04,3309.0,Basic Collars
100,2020-09-05,3309.0,Basic Collars
101,2020-09-06,4112.0,Basic Collars
102,2020-09-07,4112.0,Basic Collars
103,2020-09-08,4112.0,Basic Collars
104,2020-09-09,4932.0,Basic Collars
105,2020-09-10,4186.0,Basic Collars
106,2020-09-11,4186.0,Basic Collars
107,2020-09-12,4186.0,Basic Collars
108,2020-09-13,4158.0,Basic Collars
109,2020-09-14,4158.0,Basic Collars
110,2020-09-15,4713.0,Basic Collars
111,2020-09-16,4713.0,Basic Collars
112,2020-09-17,4591.0,Basic Collars
113,2020-09-18,4591.0,Basic Collars
114,2020-09-19,4591.0,Basic Collars
115,2020-09-20,4595.0,Basic Collars
116,2020-09-21,4595.0,Basic Collars
117,2020-09-22,4257.0,Basic Collars
118,2020-09-23,4257.0,Basic Collars
119,2020-09-24,4513.0,Basic Collars
120,2020-09-25,4513.0,Basic Collars
121,2020-09-26,4513.0,Basic Collars
122,2020-09-27,3558.0,Basic Collars
123,2020-09-28,3995.0,Basic Collars
124,2020-09-29,4124.0,Basic Collars
125,2020-09-30,4124.0,Basic Collars
126,2020-10-01,4247.0,Basic Collars
127,2020-10-02,4247.0,Basic Collars
