,date,value,name_B07FYG6PMX
0,2018-08-17,39280.0,Chair Covers
1,2018-08-18,39280.0,Chair Covers
2,2018-08-19,39280.0,Chair Covers
3,2018-08-20,43605.0,Chair Covers
4,2018-08-21,45312.0,Chair Covers
5,2018-08-22,36429.0,Chair Covers
6,2018-08-23,36429.0,Chair Covers
7,2018-08-24,34968.0,Chair Covers
8,2018-08-25,34968.0,Chair Covers
9,2018-08-26,34968.0,Chair Covers
10,2018-08-27,29876.0,Chair Covers
11,2018-08-28,29876.0,Chair Covers
12,2018-08-29,36867.0,Chair Covers
13,2018-08-30,38352.0,Chair Covers
14,2018-08-31,38352.0,Chair Covers
15,2018-09-01,43792.0,Chair Covers
16,2018-09-02,43792.0,Chair Covers
17,2018-09-03,34659.0,Chair Covers
18,2018-09-04,35927.0,Chair Covers
19,2018-09-05,37979.0,Chair Covers
20,2018-09-06,37979.0,Chair Covers
21,2018-09-07,44916.0,Chair Covers
22,2018-09-08,37051.0,Chair Covers
23,2018-09-09,28515.0,Chair Covers
24,2018-09-10,28515.0,Chair Covers
25,2018-09-11,28515.0,Chair Covers
26,2018-09-12,42799.0,Chair Covers
27,2018-09-13,44692.0,Chair Covers
28,2018-09-14,47657.0,Chair Covers
29,2018-09-15,77043.0,Chair Covers
30,2018-09-16,54213.0,Chair Covers
31,2018-09-17,50995.0,Chair Covers
32,2018-09-18,37487.0,Chair Covers
33,2018-09-19,49598.0,Chair Covers
34,2018-09-20,61615.0,Chair Covers
35,2018-09-21,40970.0,Chair Covers
36,2018-09-22,65288.0,Chair Covers
37,2018-09-23,65288.0,Chair Covers
38,2018-09-24,33143.0,Chair Covers
39,2018-09-25,48960.0,Chair Covers
40,2018-09-26,51117.0,Chair Covers
41,2018-09-27,40002.0,Chair Covers
42,2018-09-28,40002.0,Chair Covers
43,2018-09-29,40002.0,Chair Covers
44,2018-09-30,32995.0,Chair Covers
45,2018-10-01,47842.0,Chair Covers
46,2018-10-02,64763.0,Chair Covers
47,2018-10-03,43544.0,Chair Covers
48,2018-10-04,43544.0,Chair Covers
49,2018-10-05,37430.0,Chair Covers
50,2018-10-06,34120.0,Chair Covers
51,2018-10-07,42563.0,Chair Covers
52,2018-10-08,42563.0,Chair Covers
53,2018-10-09,42563.0,Chair Covers
54,2018-10-10,60592.0,Chair Covers
55,2018-10-11,60592.0,Chair Covers
56,2018-10-12,63010.0,Chair Covers
57,2018-10-13,63010.0,Chair Covers
58,2018-10-14,53670.0,Chair Covers
59,2018-10-15,53670.0,Chair Covers
60,2018-10-16,53670.0,Chair Covers
61,2018-10-17,81973.0,Chair Covers
62,2018-10-18,94151.0,Chair Covers
63,2018-10-19,102388.0,Chair Covers
64,2018-10-20,102388.0,Chair Covers
65,2018-10-21,102388.0,Chair Covers
66,2018-10-22,50313.0,Chair Covers
67,2018-10-23,48833.0,Chair Covers
68,2018-10-24,48833.0,Chair Covers
69,2018-10-25,75997.0,Chair Covers
70,2018-10-26,51849.0,Chair Covers
71,2018-10-27,74131.0,Chair Covers
72,2018-10-28,74131.0,Chair Covers
73,2018-10-29,54417.0,Chair Covers
74,2018-10-30,69531.0,Chair Covers
75,2018-10-31,55607.0,Chair Covers
76,2018-11-01,47978.0,Chair Covers
77,2018-11-02,40779.0,Chair Covers
78,2018-11-03,66332.0,Chair Covers
79,2018-11-04,66332.0,Chair Covers
80,2018-11-05,66332.0,Chair Covers
81,2018-11-06,66332.0,Chair Covers
82,2018-11-07,66332.0,Chair Covers
83,2018-11-08,66332.0,Chair Covers
84,2018-11-09,66332.0,Chair Covers
85,2018-11-10,66332.0,Chair Covers
86,2018-11-11,66332.0,Chair Covers
87,2018-11-12,66332.0,Chair Covers
88,2018-11-13,66718.0,Chair Covers
89,2018-11-14,52992.0,Chair Covers
90,2018-11-15,52992.0,Chair Covers
91,2018-11-16,66832.0,Chair Covers
92,2018-11-17,75631.0,Chair Covers
93,2018-11-18,75631.0,Chair Covers
94,2018-11-19,43068.0,Chair Covers
95,2018-11-20,75650.0,Chair Covers
96,2018-11-21,68243.0,Chair Covers
97,2018-11-22,68243.0,Chair Covers
98,2018-11-23,68243.0,Chair Covers
99,2018-11-24,55723.0,Chair Covers
100,2018-11-25,55723.0,Chair Covers
101,2018-11-26,61538.0,Chair Covers
102,2018-11-27,62571.0,Chair Covers
103,2018-11-28,62571.0,Chair Covers
104,2018-11-29,62571.0,Chair Covers
105,2018-11-30,44197.0,Chair Covers
106,2018-12-01,44197.0,Chair Covers
107,2018-12-02,44197.0,Chair Covers
