,date,value,name_B08V8KHMK5
0,2021-02-02,2910.0,Drip Irrigation Kits
1,2021-02-03,2417.0,Drip Irrigation Kits
2,2021-02-04,2417.0,Drip Irrigation Kits
3,2021-02-05,2417.0,Drip Irrigation Kits
4,2021-02-06,2967.0,Drip Irrigation Kits
5,2021-02-07,2967.0,Drip Irrigation Kits
6,2021-02-08,2967.0,Drip Irrigation Kits
7,2021-02-09,2730.0,Drip Irrigation Kits
8,2021-02-10,2730.0,Drip Irrigation Kits
9,2021-02-11,2730.0,Drip Irrigation Kits
10,2021-02-12,2730.0,Drip Irrigation Kits
11,2021-02-13,4094.0,Drip Irrigation Kits
12,2021-02-14,3162.0,Drip Irrigation Kits
13,2021-02-15,5071.0,Drip Irrigation Kits
14,2021-02-16,3432.0,Drip Irrigation Kits
15,2021-02-17,3432.0,Drip Irrigation Kits
16,2021-02-18,3432.0,Drip Irrigation Kits
17,2021-02-19,3559.0,Drip Irrigation Kits
18,2021-02-20,4104.0,Drip Irrigation Kits
19,2021-02-21,4104.0,Drip Irrigation Kits
20,2021-02-22,4032.0,Drip Irrigation Kits
21,2021-02-23,4032.0,Drip Irrigation Kits
22,2021-02-24,4032.0,Drip Irrigation Kits
23,2021-02-25,2724.0,Drip Irrigation Kits
24,2021-02-26,3429.0,Drip Irrigation Kits
25,2021-02-27,3429.0,Drip Irrigation Kits
26,2021-02-28,3429.0,Drip Irrigation Kits
27,2021-03-01,3342.0,Drip Irrigation Kits
28,2021-03-02,3342.0,Drip Irrigation Kits
29,2021-03-03,3342.0,Drip Irrigation Kits
30,2021-03-04,3296.0,Drip Irrigation Kits
31,2021-03-05,3790.0,Drip Irrigation Kits
32,2021-03-06,2681.0,Drip Irrigation Kits
33,2021-03-07,2681.0,Drip Irrigation Kits
34,2021-03-08,2681.0,Drip Irrigation Kits
35,2021-03-09,2627.0,Drip Irrigation Kits
36,2021-03-10,2781.0,Drip Irrigation Kits
37,2021-03-11,2781.0,Drip Irrigation Kits
38,2021-03-12,2781.0,Drip Irrigation Kits
39,2021-03-13,3194.0,Drip Irrigation Kits
40,2021-03-14,3194.0,Drip Irrigation Kits
41,2021-03-15,2690.0,Drip Irrigation Kits
42,2021-03-16,2955.0,Drip Irrigation Kits
43,2021-03-17,2955.0,Drip Irrigation Kits
44,2021-03-18,2955.0,Drip Irrigation Kits
45,2021-03-19,3333.0,Drip Irrigation Kits
46,2021-03-20,3325.0,Drip Irrigation Kits
47,2021-03-21,3325.0,Drip Irrigation Kits
48,2021-03-22,3325.0,Drip Irrigation Kits
49,2021-03-23,2955.0,Drip Irrigation Kits
50,2021-03-24,2663.0,Drip Irrigation Kits
51,2021-03-25,2663.0,Drip Irrigation Kits
52,2021-03-26,2927.0,Drip Irrigation Kits
53,2021-03-27,2927.0,Drip Irrigation Kits
54,2021-03-28,2927.0,Drip Irrigation Kits
55,2021-03-29,4594.0,Drip Irrigation Kits
56,2021-03-30,4594.0,Drip Irrigation Kits
57,2021-03-31,4594.0,Drip Irrigation Kits
58,2021-04-01,4256.0,Drip Irrigation Kits
59,2021-04-02,4256.0,Drip Irrigation Kits
60,2021-04-03,4256.0,Drip Irrigation Kits
61,2021-04-04,6202.0,Drip Irrigation Kits
62,2021-04-05,3140.0,Drip Irrigation Kits
63,2021-04-06,3140.0,Drip Irrigation Kits
64,2021-04-07,3140.0,Drip Irrigation Kits
65,2021-04-08,5033.0,Drip Irrigation Kits
66,2021-04-09,5033.0,Drip Irrigation Kits
67,2021-04-10,4390.0,Drip Irrigation Kits
68,2021-04-11,4390.0,Drip Irrigation Kits
69,2021-04-12,4390.0,Drip Irrigation Kits
70,2021-04-13,4547.0,Drip Irrigation Kits
71,2021-04-14,3668.0,Drip Irrigation Kits
72,2021-04-15,3668.0,Drip Irrigation Kits
73,2021-04-16,3668.0,Drip Irrigation Kits
74,2021-04-17,3919.0,Drip Irrigation Kits
75,2021-04-18,4063.0,Drip Irrigation Kits
76,2021-04-19,4063.0,Drip Irrigation Kits
77,2021-04-20,2815.0,Drip Irrigation Kits
78,2021-04-21,2815.0,Drip Irrigation Kits
79,2021-04-22,3007.0,Drip Irrigation Kits
80,2021-04-23,3007.0,Drip Irrigation Kits
81,2021-04-24,3007.0,Drip Irrigation Kits
82,2021-04-25,3760.0,Drip Irrigation Kits
83,2021-04-26,3760.0,Drip Irrigation Kits
84,2021-04-27,3914.0,Drip Irrigation Kits
85,2021-04-28,3914.0,Drip Irrigation Kits
86,2021-04-29,3914.0,Drip Irrigation Kits
87,2021-04-30,4684.0,Drip Irrigation Kits
88,2021-05-01,4684.0,Drip Irrigation Kits
89,2021-05-02,4684.0,Drip Irrigation Kits
90,2021-05-03,5209.0,Drip Irrigation Kits
91,2021-05-04,5209.0,Drip Irrigation Kits
92,2021-05-05,5888.0,Drip Irrigation Kits
93,2021-05-06,5888.0,Drip Irrigation Kits
94,2021-05-07,4370.0,Drip Irrigation Kits
95,2021-05-08,4370.0,Drip Irrigation Kits
96,2021-05-09,4194.0,Drip Irrigation Kits
97,2021-05-10,4194.0,Drip Irrigation Kits
98,2021-05-11,4194.0,Drip Irrigation Kits
99,2021-05-12,3437.0,Drip Irrigation Kits
100,2021-05-13,4314.0,Drip Irrigation Kits
101,2021-05-14,4314.0,Drip Irrigation Kits
102,2021-05-15,3496.0,Drip Irrigation Kits
103,2021-05-16,3496.0,Drip Irrigation Kits
104,2021-05-17,3925.0,Drip Irrigation Kits
105,2021-05-18,3925.0,Drip Irrigation Kits
106,2021-05-19,3987.0,Drip Irrigation Kits
107,2021-05-20,4612.0,Drip Irrigation Kits
108,2021-05-21,4612.0,Drip Irrigation Kits
109,2021-05-22,3681.0,Drip Irrigation Kits
110,2021-05-23,3681.0,Drip Irrigation Kits
111,2021-05-24,5257.0,Drip Irrigation Kits
112,2021-05-25,4179.0,Drip Irrigation Kits
113,2021-05-26,4179.0,Drip Irrigation Kits
114,2021-05-27,3852.0,Drip Irrigation Kits
115,2021-05-28,4477.0,Drip Irrigation Kits
116,2021-05-29,3801.0,Drip Irrigation Kits
117,2021-05-30,3801.0,Drip Irrigation Kits
118,2021-05-31,4810.0,Drip Irrigation Kits
119,2021-06-01,4196.0,Drip Irrigation Kits
120,2021-06-02,4196.0,Drip Irrigation Kits
121,2021-06-03,6173.0,Drip Irrigation Kits
122,2021-06-04,4472.0,Drip Irrigation Kits
123,2021-06-05,4472.0,Drip Irrigation Kits
124,2021-06-06,4991.0,Drip Irrigation Kits
125,2021-06-07,4758.0,Drip Irrigation Kits
126,2021-06-08,4758.0,Drip Irrigation Kits
127,2021-06-09,3831.0,Drip Irrigation Kits
128,2021-06-10,4626.0,Drip Irrigation Kits
129,2021-06-11,4629.0,Drip Irrigation Kits
130,2021-06-12,4629.0,Drip Irrigation Kits
131,2021-06-13,4451.0,Drip Irrigation Kits
132,2021-06-14,4451.0,Drip Irrigation Kits
133,2021-06-15,4385.0,Drip Irrigation Kits
134,2021-06-16,4385.0,Drip Irrigation Kits
135,2021-06-17,3990.0,Drip Irrigation Kits
136,2021-06-18,3990.0,Drip Irrigation Kits
137,2021-06-19,5292.0,Drip Irrigation Kits
138,2021-06-20,3230.0,Drip Irrigation Kits
139,2021-06-21,2915.0,Drip Irrigation Kits
140,2021-06-22,2127.0,Drip Irrigation Kits
141,2021-06-23,2131.0,Drip Irrigation Kits
142,2021-06-24,2264.0,Drip Irrigation Kits
143,2021-06-25,2262.0,Drip Irrigation Kits
144,2021-06-26,2706.0,Drip Irrigation Kits
145,2021-06-27,2362.0,Drip Irrigation Kits
146,2021-06-28,2362.0,Drip Irrigation Kits
147,2021-06-29,2644.0,Drip Irrigation Kits
148,2021-06-30,3203.0,Drip Irrigation Kits
149,2021-07-01,3207.0,Drip Irrigation Kits
150,2021-07-02,2591.0,Drip Irrigation Kits
151,2021-07-03,2591.0,Drip Irrigation Kits
152,2021-07-04,3711.0,Drip Irrigation Kits
153,2021-07-05,2541.0,Drip Irrigation Kits
154,2021-07-06,2541.0,Drip Irrigation Kits
155,2021-07-07,2541.0,Drip Irrigation Kits
156,2021-07-08,3010.0,Drip Irrigation Kits
157,2021-07-09,2672.0,Drip Irrigation Kits
158,2021-07-10,2672.0,Drip Irrigation Kits
159,2021-07-11,3098.0,Drip Irrigation Kits
