,date,value,name_B083RVW4L2
0,2020-05-27,2103.0,Laser & Inkjet Printer Labels
1,2020-05-28,2376.0,Laser & Inkjet Printer Labels
2,2020-05-29,2376.0,Laser & Inkjet Printer Labels
3,2020-05-30,2376.0,Laser & Inkjet Printer Labels
4,2020-05-31,2376.0,Laser & Inkjet Printer Labels
5,2020-06-01,2376.0,Laser & Inkjet Printer Labels
6,2020-06-02,2188.0,Laser & Inkjet Printer Labels
7,2020-06-03,2188.0,Laser & Inkjet Printer Labels
8,2020-06-04,2188.0,Laser & Inkjet Printer Labels
9,2020-06-05,1974.0,Laser & Inkjet Printer Labels
10,2020-06-06,1974.0,Laser & Inkjet Printer Labels
11,2020-06-07,1974.0,Laser & Inkjet Printer Labels
12,2020-06-08,1925.0,Laser & Inkjet Printer Labels
13,2020-06-09,1925.0,Laser & Inkjet Printer Labels
14,2020-06-10,1671.0,Laser & Inkjet Printer Labels
15,2020-06-11,1671.0,Laser & Inkjet Printer Labels
16,2020-06-12,1671.0,Laser & Inkjet Printer Labels
17,2020-06-13,1506.0,Laser & Inkjet Printer Labels
18,2020-06-14,1506.0,Laser & Inkjet Printer Labels
19,2020-06-15,1506.0,Laser & Inkjet Printer Labels
20,2020-06-16,1586.0,Laser & Inkjet Printer Labels
21,2020-06-17,1586.0,Laser & Inkjet Printer Labels
22,2020-06-18,1372.0,Laser & Inkjet Printer Labels
23,2020-06-19,1372.0,Laser & Inkjet Printer Labels
24,2020-06-20,1372.0,Laser & Inkjet Printer Labels
25,2020-06-21,1140.0,Laser & Inkjet Printer Labels
26,2020-06-22,1140.0,Laser & Inkjet Printer Labels
27,2020-06-23,1469.0,Laser & Inkjet Printer Labels
28,2020-06-24,1382.0,Laser & Inkjet Printer Labels
29,2020-06-25,1382.0,Laser & Inkjet Printer Labels
30,2020-06-26,1382.0,Laser & Inkjet Printer Labels
31,2020-06-27,1382.0,Laser & Inkjet Printer Labels
32,2020-06-28,1626.0,Laser & Inkjet Printer Labels
33,2020-06-29,1626.0,Laser & Inkjet Printer Labels
34,2020-06-30,1626.0,Laser & Inkjet Printer Labels
35,2020-07-01,1294.0,Laser & Inkjet Printer Labels
36,2020-07-02,1665.0,Laser & Inkjet Printer Labels
37,2020-07-03,1665.0,Laser & Inkjet Printer Labels
38,2020-07-04,1610.0,Laser & Inkjet Printer Labels
39,2020-07-05,1610.0,Laser & Inkjet Printer Labels
40,2020-07-06,1765.0,Laser & Inkjet Printer Labels
41,2020-07-07,1765.0,Laser & Inkjet Printer Labels
42,2020-07-08,1765.0,Laser & Inkjet Printer Labels
43,2020-07-09,1608.0,Laser & Inkjet Printer Labels
44,2020-07-10,1608.0,Laser & Inkjet Printer Labels
45,2020-07-11,1732.0,Laser & Inkjet Printer Labels
46,2020-07-12,1473.0,Laser & Inkjet Printer Labels
47,2020-07-13,1473.0,Laser & Inkjet Printer Labels
48,2020-07-14,1473.0,Laser & Inkjet Printer Labels
49,2020-07-15,1473.0,Laser & Inkjet Printer Labels
50,2020-07-16,1585.0,Laser & Inkjet Printer Labels
51,2020-07-17,1585.0,Laser & Inkjet Printer Labels
52,2020-07-18,1639.0,Laser & Inkjet Printer Labels
53,2020-07-19,1639.0,Laser & Inkjet Printer Labels
54,2020-07-20,1639.0,Laser & Inkjet Printer Labels
55,2020-07-21,1617.0,Laser & Inkjet Printer Labels
56,2020-07-22,1405.0,Laser & Inkjet Printer Labels
57,2020-07-23,1405.0,Laser & Inkjet Printer Labels
58,2020-07-24,1405.0,Laser & Inkjet Printer Labels
59,2020-07-25,1405.0,Laser & Inkjet Printer Labels
60,2020-07-26,2189.0,Laser & Inkjet Printer Labels
61,2020-07-27,1954.0,Laser & Inkjet Printer Labels
62,2020-07-28,1954.0,Laser & Inkjet Printer Labels
63,2020-07-29,1915.0,Laser & Inkjet Printer Labels
64,2020-07-30,1915.0,Laser & Inkjet Printer Labels
65,2020-07-31,1915.0,Laser & Inkjet Printer Labels
66,2020-08-01,1915.0,Laser & Inkjet Printer Labels
67,2020-08-02,1915.0,Laser & Inkjet Printer Labels
68,2020-08-03,1915.0,Laser & Inkjet Printer Labels
69,2020-08-04,3475.0,Laser & Inkjet Printer Labels
70,2020-08-05,3269.0,Laser & Inkjet Printer Labels
71,2020-08-06,3269.0,Laser & Inkjet Printer Labels
72,2020-08-07,3269.0,Laser & Inkjet Printer Labels
73,2020-08-08,3269.0,Laser & Inkjet Printer Labels
74,2020-08-09,4324.0,Laser & Inkjet Printer Labels
75,2020-08-10,4135.0,Laser & Inkjet Printer Labels
76,2020-08-11,4135.0,Laser & Inkjet Printer Labels
77,2020-08-12,4135.0,Laser & Inkjet Printer Labels
78,2020-08-13,3695.0,Laser & Inkjet Printer Labels
79,2020-08-14,3695.0,Laser & Inkjet Printer Labels
80,2020-08-15,3695.0,Laser & Inkjet Printer Labels
81,2020-08-16,3819.0,Laser & Inkjet Printer Labels
82,2020-08-17,3819.0,Laser & Inkjet Printer Labels
83,2020-08-18,3819.0,Laser & Inkjet Printer Labels
84,2020-08-19,4433.0,Laser & Inkjet Printer Labels
85,2020-08-20,4433.0,Laser & Inkjet Printer Labels
86,2020-08-21,4433.0,Laser & Inkjet Printer Labels
87,2020-08-22,4433.0,Laser & Inkjet Printer Labels
88,2020-08-23,3632.0,Laser & Inkjet Printer Labels
89,2020-08-24,3632.0,Laser & Inkjet Printer Labels
90,2020-08-25,3632.0,Laser & Inkjet Printer Labels
91,2020-08-26,4305.0,Laser & Inkjet Printer Labels
92,2020-08-27,4305.0,Laser & Inkjet Printer Labels
93,2020-08-28,4305.0,Laser & Inkjet Printer Labels
94,2020-08-29,8002.0,Laser & Inkjet Printer Labels
95,2020-08-30,8002.0,Laser & Inkjet Printer Labels
96,2020-08-31,8002.0,Laser & Inkjet Printer Labels
97,2020-09-01,8002.0,Laser & Inkjet Printer Labels
98,2020-09-02,8002.0,Laser & Inkjet Printer Labels
99,2020-09-03,8002.0,Laser & Inkjet Printer Labels
100,2020-09-04,12848.0,Laser & Inkjet Printer Labels
101,2020-09-05,12848.0,Laser & Inkjet Printer Labels
102,2020-09-06,12848.0,Laser & Inkjet Printer Labels
103,2020-09-07,12848.0,Laser & Inkjet Printer Labels
104,2020-09-08,9015.0,Laser & Inkjet Printer Labels
105,2020-09-09,9015.0,Laser & Inkjet Printer Labels
106,2020-09-10,9015.0,Laser & Inkjet Printer Labels
107,2020-09-11,3770.0,Laser & Inkjet Printer Labels
108,2020-09-12,3770.0,Laser & Inkjet Printer Labels
