,date,value,name_B0127CJN6U
0,2018-07-11,16541.0,Kitchen & Dining Features
1,2018-07-12,21592.0,Kitchen & Dining Features
2,2018-07-13,21253.0,Kitchen & Dining Features
3,2018-07-14,15391.0,Kitchen & Dining Features
4,2018-07-15,19730.0,Kitchen & Dining Features
5,2018-07-16,19730.0,Kitchen & Dining Features
6,2018-07-17,19730.0,Kitchen & Dining Features
7,2018-07-18,27415.0,Kitchen & Dining Features
8,2018-07-19,27415.0,Kitchen & Dining Features
9,2018-07-20,27415.0,Kitchen & Dining Features
10,2018-07-21,27415.0,Kitchen & Dining Features
11,2018-07-22,27415.0,Kitchen & Dining Features
12,2018-07-23,23557.0,Kitchen & Dining Features
13,2018-07-24,23557.0,Kitchen & Dining Features
14,2018-07-25,23557.0,Kitchen & Dining Features
15,2018-07-26,23557.0,Kitchen & Dining Features
16,2018-07-27,23557.0,Kitchen & Dining Features
17,2018-07-28,23557.0,Kitchen & Dining Features
18,2018-07-29,23557.0,Kitchen & Dining Features
19,2018-07-30,23557.0,Kitchen & Dining Features
20,2018-07-31,23557.0,Kitchen & Dining Features
21,2018-08-01,23557.0,Kitchen & Dining Features
22,2018-08-02,23557.0,Kitchen & Dining Features
23,2018-08-03,18075.0,Kitchen & Dining Features
24,2018-08-04,22764.0,Kitchen & Dining Features
25,2018-08-05,10590.0,Kitchen & Dining Features
26,2018-08-06,17901.0,Kitchen & Dining Features
27,2018-08-07,17901.0,Kitchen & Dining Features
28,2018-08-08,13071.0,Kitchen & Dining Features
29,2018-08-09,17323.0,Kitchen & Dining Features
30,2018-08-10,21697.0,Kitchen & Dining Features
31,2018-08-11,21697.0,Kitchen & Dining Features
32,2018-08-12,21697.0,Kitchen & Dining Features
33,2018-08-13,18881.0,Kitchen & Dining Features
34,2018-08-14,22099.0,Kitchen & Dining Features
35,2018-08-15,22099.0,Kitchen & Dining Features
36,2018-08-16,22099.0,Kitchen & Dining Features
37,2018-08-17,22099.0,Kitchen & Dining Features
38,2018-08-18,14007.0,Kitchen & Dining Features
39,2018-08-19,14007.0,Kitchen & Dining Features
40,2018-08-20,14007.0,Kitchen & Dining Features
41,2018-08-21,14007.0,Kitchen & Dining Features
42,2018-08-22,14007.0,Kitchen & Dining Features
43,2018-08-23,22206.0,Kitchen & Dining Features
44,2018-08-24,22206.0,Kitchen & Dining Features
45,2018-08-25,22206.0,Kitchen & Dining Features
46,2018-08-26,22206.0,Kitchen & Dining Features
47,2018-08-27,40823.0,Kitchen & Dining Features
48,2018-08-28,28260.0,Kitchen & Dining Features
49,2018-08-29,34095.0,Kitchen & Dining Features
50,2018-08-30,34095.0,Kitchen & Dining Features
51,2018-08-31,34095.0,Kitchen & Dining Features
52,2018-09-01,34095.0,Kitchen & Dining Features
53,2018-09-02,22772.0,Kitchen & Dining Features
54,2018-09-03,27563.0,Kitchen & Dining Features
55,2018-09-04,15768.0,Kitchen & Dining Features
56,2018-09-05,15768.0,Kitchen & Dining Features
57,2018-09-06,15768.0,Kitchen & Dining Features
58,2018-09-07,30809.0,Kitchen & Dining Features
59,2018-09-08,36418.0,Kitchen & Dining Features
60,2018-09-09,36418.0,Kitchen & Dining Features
61,2018-09-10,52228.0,Kitchen & Dining Features
62,2018-09-11,52228.0,Kitchen & Dining Features
63,2018-09-12,52228.0,Kitchen & Dining Features
64,2018-09-13,41871.0,Kitchen & Dining Features
65,2018-09-14,46537.0,Kitchen & Dining Features
66,2018-09-15,46910.0,Kitchen & Dining Features
67,2018-09-16,41596.0,Kitchen & Dining Features
68,2018-09-17,41596.0,Kitchen & Dining Features
69,2018-09-18,38813.0,Kitchen & Dining Features
70,2018-09-19,30496.0,Kitchen & Dining Features
71,2018-09-20,20572.0,Kitchen & Dining Features
72,2018-09-21,21100.0,Kitchen & Dining Features
73,2018-09-22,29234.0,Kitchen & Dining Features
74,2018-09-23,33313.0,Kitchen & Dining Features
75,2018-09-24,33313.0,Kitchen & Dining Features
76,2018-09-25,38944.0,Kitchen & Dining Features
77,2018-09-26,41052.0,Kitchen & Dining Features
78,2018-09-27,41052.0,Kitchen & Dining Features
79,2018-09-28,43730.0,Kitchen & Dining Features
80,2018-09-29,43730.0,Kitchen & Dining Features
81,2018-09-30,39559.0,Kitchen & Dining Features
82,2018-10-01,53936.0,Kitchen & Dining Features
83,2018-10-02,58420.0,Kitchen & Dining Features
84,2018-10-03,58420.0,Kitchen & Dining Features
85,2018-10-04,58420.0,Kitchen & Dining Features
86,2018-10-05,55642.0,Kitchen & Dining Features
87,2018-10-06,45962.0,Kitchen & Dining Features
88,2018-10-07,83827.0,Kitchen & Dining Features
89,2018-10-08,83827.0,Kitchen & Dining Features
90,2018-10-09,107442.0,Kitchen & Dining Features
91,2018-10-10,107442.0,Kitchen & Dining Features
92,2018-10-11,107442.0,Kitchen & Dining Features
93,2018-10-12,107442.0,Kitchen & Dining Features
94,2018-10-13,72447.0,Kitchen & Dining Features
95,2018-10-14,51484.0,Kitchen & Dining Features
96,2018-10-15,51484.0,Kitchen & Dining Features
97,2018-10-16,51484.0,Kitchen & Dining Features
98,2018-10-17,48646.0,Kitchen & Dining Features
99,2018-10-18,48646.0,Kitchen & Dining Features
100,2018-10-19,73539.0,Kitchen & Dining Features
101,2018-10-20,82283.0,Kitchen & Dining Features
102,2018-10-21,82283.0,Kitchen & Dining Features
103,2018-10-22,70649.0,Kitchen & Dining Features
104,2018-10-23,70649.0,Kitchen & Dining Features
105,2018-10-24,70649.0,Kitchen & Dining Features
106,2018-10-25,70649.0,Kitchen & Dining Features
107,2018-10-26,93783.0,Kitchen & Dining Features
108,2018-10-27,90238.0,Kitchen & Dining Features
109,2018-10-28,68403.0,Kitchen & Dining Features
110,2018-10-29,63960.0,Kitchen & Dining Features
111,2018-10-30,83587.0,Kitchen & Dining Features
112,2018-10-31,83587.0,Kitchen & Dining Features
113,2018-11-01,109067.0,Kitchen & Dining Features
