,date,value,name_B088FJCP9Y
117,2020-10-06,2150.0,Personal Video Players & Accessories
118,2020-10-07,3044.0,Personal Video Players & Accessories
119,2020-10-08,3841.0,Personal Video Players & Accessories
120,2020-10-09,3841.0,Personal Video Players & Accessories
121,2020-10-10,3841.0,Personal Video Players & Accessories
122,2020-10-11,3841.0,Personal Video Players & Accessories
123,2020-10-12,3841.0,Personal Video Players & Accessories
124,2020-10-13,3841.0,Personal Video Players & Accessories
125,2020-10-14,3841.0,Personal Video Players & Accessories
126,2020-10-15,3841.0,Personal Video Players & Accessories
127,2020-10-16,3841.0,Personal Video Players & Accessories
128,2020-10-17,3841.0,Personal Video Players & Accessories
129,2020-10-18,3841.0,Personal Video Players & Accessories
130,2020-10-19,3841.0,Personal Video Players & Accessories
131,2020-10-20,3841.0,Personal Video Players & Accessories
132,2020-10-21,3841.0,Personal Video Players & Accessories
133,2020-10-22,3841.0,Personal Video Players & Accessories
134,2020-10-23,3841.0,Personal Video Players & Accessories
135,2020-10-24,3841.0,Personal Video Players & Accessories
136,2020-10-25,3841.0,Personal Video Players & Accessories
137,2020-10-26,3841.0,Personal Video Players & Accessories
138,2020-10-27,3841.0,Personal Video Players & Accessories
139,2020-10-28,3841.0,Personal Video Players & Accessories
140,2020-10-29,3841.0,Personal Video Players & Accessories
141,2020-10-30,3841.0,Personal Video Players & Accessories
142,2020-10-31,3841.0,Personal Video Players & Accessories
143,2020-11-01,3841.0,Personal Video Players & Accessories
144,2020-11-02,3841.0,Personal Video Players & Accessories
145,2020-11-03,3841.0,Personal Video Players & Accessories
146,2020-11-04,3841.0,Personal Video Players & Accessories
147,2020-11-05,3841.0,Personal Video Players & Accessories
148,2020-11-06,3841.0,Personal Video Players & Accessories
149,2020-11-07,3841.0,Personal Video Players & Accessories
150,2020-11-08,3841.0,Personal Video Players & Accessories
151,2020-11-09,3841.0,Personal Video Players & Accessories
152,2020-11-10,2205.0,Personal Video Players & Accessories
153,2020-11-11,2004.0,Personal Video Players & Accessories
154,2020-11-12,1749.0,Personal Video Players & Accessories
155,2020-11-13,1749.0,Personal Video Players & Accessories
156,2020-11-14,1796.0,Personal Video Players & Accessories
157,2020-11-15,1843.0,Personal Video Players & Accessories
158,2020-11-16,1801.0,Personal Video Players & Accessories
159,2020-11-17,1765.0,Personal Video Players & Accessories
160,2020-11-18,1765.0,Personal Video Players & Accessories
161,2020-11-19,1506.0,Personal Video Players & Accessories
162,2020-11-20,1479.0,Personal Video Players & Accessories
163,2020-11-21,1549.0,Personal Video Players & Accessories
164,2020-11-22,1912.0,Personal Video Players & Accessories
165,2020-11-23,1675.0,Personal Video Players & Accessories
166,2020-11-24,1675.0,Personal Video Players & Accessories
167,2020-11-25,1444.0,Personal Video Players & Accessories
168,2020-11-26,1444.0,Personal Video Players & Accessories
169,2020-11-27,1444.0,Personal Video Players & Accessories
170,2020-11-28,910.0,Personal Video Players & Accessories
171,2020-11-29,910.0,Personal Video Players & Accessories
172,2020-11-30,1102.0,Personal Video Players & Accessories
173,2020-12-01,1102.0,Personal Video Players & Accessories
174,2020-12-02,1117.0,Personal Video Players & Accessories
175,2020-12-03,1117.0,Personal Video Players & Accessories
176,2020-12-04,1117.0,Personal Video Players & Accessories
177,2020-12-05,445.0,Personal Video Players & Accessories
178,2020-12-06,445.0,Personal Video Players & Accessories
179,2020-12-07,591.0,Personal Video Players & Accessories
180,2020-12-08,502.0,Personal Video Players & Accessories
181,2020-12-09,528.0,Personal Video Players & Accessories
182,2020-12-10,528.0,Personal Video Players & Accessories
183,2020-12-11,486.0,Personal Video Players & Accessories
184,2020-12-12,486.0,Personal Video Players & Accessories
185,2020-12-13,486.0,Personal Video Players & Accessories
186,2020-12-14,382.0,Personal Video Players & Accessories
187,2020-12-15,382.0,Personal Video Players & Accessories
188,2020-12-16,281.0,Personal Video Players & Accessories
