,date,value,name_B07RMHL5K7
0,2020-05-22,1072.0,Plush Pillows
1,2020-05-23,1365.0,Plush Pillows
2,2020-05-24,1365.0,Plush Pillows
3,2020-05-25,1365.0,Plush Pillows
4,2020-05-26,1715.0,Plush Pillows
5,2020-05-27,1722.0,Plush Pillows
6,2020-05-28,1950.0,Plush Pillows
7,2020-05-29,1623.0,Plush Pillows
8,2020-05-30,1944.0,Plush Pillows
9,2020-05-31,1356.0,Plush Pillows
10,2020-06-01,2131.0,Plush Pillows
11,2020-06-02,2146.0,Plush Pillows
12,2020-06-03,2117.0,Plush Pillows
13,2020-06-04,1476.0,Plush Pillows
14,2020-06-05,1787.0,Plush Pillows
15,2020-06-06,1787.0,Plush Pillows
16,2020-06-07,2007.0,Plush Pillows
17,2020-06-08,2007.0,Plush Pillows
18,2020-06-09,2007.0,Plush Pillows
19,2020-06-10,2007.0,Plush Pillows
20,2020-06-11,2034.0,Plush Pillows
21,2020-06-12,2480.0,Plush Pillows
22,2020-06-13,1475.0,Plush Pillows
23,2020-06-14,1475.0,Plush Pillows
24,2020-06-15,1715.0,Plush Pillows
25,2020-06-16,1955.0,Plush Pillows
26,2020-06-17,1865.0,Plush Pillows
27,2020-06-18,1865.0,Plush Pillows
28,2020-06-19,2180.0,Plush Pillows
29,2020-06-20,1748.0,Plush Pillows
30,2020-06-21,1530.0,Plush Pillows
31,2020-06-22,1606.0,Plush Pillows
32,2020-06-23,1520.0,Plush Pillows
33,2020-06-24,1846.0,Plush Pillows
34,2020-06-25,1846.0,Plush Pillows
35,2020-06-26,1470.0,Plush Pillows
36,2020-06-27,1470.0,Plush Pillows
37,2020-06-28,1470.0,Plush Pillows
38,2020-06-29,1359.0,Plush Pillows
39,2020-06-30,1359.0,Plush Pillows
40,2020-07-01,1311.0,Plush Pillows
41,2020-07-02,1349.0,Plush Pillows
42,2020-07-03,1257.0,Plush Pillows
43,2020-07-04,1257.0,Plush Pillows
44,2020-07-05,1257.0,Plush Pillows
45,2020-07-06,1369.0,Plush Pillows
46,2020-07-07,1410.0,Plush Pillows
47,2020-07-08,1050.0,Plush Pillows
48,2020-07-09,1372.0,Plush Pillows
49,2020-07-10,1372.0,Plush Pillows
50,2020-07-11,1124.0,Plush Pillows
51,2020-07-12,1186.0,Plush Pillows
52,2020-07-13,1076.0,Plush Pillows
53,2020-07-14,1399.0,Plush Pillows
54,2020-07-15,1000.0,Plush Pillows
55,2020-07-16,1167.0,Plush Pillows
56,2020-07-17,1249.0,Plush Pillows
57,2020-07-18,863.0,Plush Pillows
58,2020-07-19,1017.0,Plush Pillows
59,2020-07-20,1078.0,Plush Pillows
60,2020-07-21,1159.0,Plush Pillows
61,2020-07-22,1159.0,Plush Pillows
62,2020-07-23,1159.0,Plush Pillows
63,2020-07-24,1103.0,Plush Pillows
64,2020-07-25,1141.0,Plush Pillows
65,2020-07-26,1102.0,Plush Pillows
66,2020-07-27,1298.0,Plush Pillows
