,date,value,name_B08MVRYWTY
69,2021-05-16,12546.0,Pre-Stretched Canvas
70,2021-05-17,14105.0,Pre-Stretched Canvas
71,2021-05-18,10255.0,Pre-Stretched Canvas
72,2021-05-19,8272.0,Pre-Stretched Canvas
73,2021-05-20,5625.0,Pre-Stretched Canvas
74,2021-05-21,7170.0,Pre-Stretched Canvas
75,2021-05-22,5782.0,Pre-Stretched Canvas
76,2021-05-23,6068.0,Pre-Stretched Canvas
77,2021-05-24,6032.0,Pre-Stretched Canvas
78,2021-05-25,3427.0,Pre-Stretched Canvas
79,2021-05-26,5507.0,Pre-Stretched Canvas
80,2021-05-27,4268.0,Pre-Stretched Canvas
81,2021-05-28,4159.0,Pre-Stretched Canvas
82,2021-05-29,3228.0,Pre-Stretched Canvas
83,2021-05-30,3291.0,Pre-Stretched Canvas
84,2021-05-31,1903.0,Pre-Stretched Canvas
85,2021-06-01,1960.0,Pre-Stretched Canvas
86,2021-06-02,1479.0,Pre-Stretched Canvas
87,2021-06-03,1493.0,Pre-Stretched Canvas
88,2021-06-04,1605.0,Pre-Stretched Canvas
89,2021-06-05,1344.0,Pre-Stretched Canvas
90,2021-06-06,1779.0,Pre-Stretched Canvas
91,2021-06-07,1410.0,Pre-Stretched Canvas
92,2021-06-08,1466.0,Pre-Stretched Canvas
93,2021-06-09,1515.0,Pre-Stretched Canvas
94,2021-06-10,1585.0,Pre-Stretched Canvas
95,2021-06-11,1434.0,Pre-Stretched Canvas
96,2021-06-12,1097.0,Pre-Stretched Canvas
97,2021-06-13,1260.0,Pre-Stretched Canvas
98,2021-06-14,1010.0,Pre-Stretched Canvas
99,2021-06-15,1007.0,Pre-Stretched Canvas
100,2021-06-16,1413.0,Pre-Stretched Canvas
101,2021-06-17,1640.0,Pre-Stretched Canvas
102,2021-06-18,1925.0,Pre-Stretched Canvas
103,2021-06-19,1803.0,Pre-Stretched Canvas
104,2021-06-20,2326.0,Pre-Stretched Canvas
105,2021-06-21,2451.0,Pre-Stretched Canvas
106,2021-06-22,3656.0,Pre-Stretched Canvas
107,2021-06-23,3982.0,Pre-Stretched Canvas
108,2021-06-24,2886.0,Pre-Stretched Canvas
109,2021-06-25,2996.0,Pre-Stretched Canvas
110,2021-06-26,2666.0,Pre-Stretched Canvas
111,2021-06-27,2230.0,Pre-Stretched Canvas
112,2021-06-28,2268.0,Pre-Stretched Canvas
113,2021-06-29,3086.0,Pre-Stretched Canvas
114,2021-06-30,2900.0,Pre-Stretched Canvas
115,2021-07-01,3114.0,Pre-Stretched Canvas
116,2021-07-02,2679.0,Pre-Stretched Canvas
117,2021-07-03,2443.0,Pre-Stretched Canvas
118,2021-07-04,2458.0,Pre-Stretched Canvas
119,2021-07-05,2534.0,Pre-Stretched Canvas
120,2021-07-06,2650.0,Pre-Stretched Canvas
121,2021-07-07,2855.0,Pre-Stretched Canvas
122,2021-07-08,2383.0,Pre-Stretched Canvas
123,2021-07-09,2833.0,Pre-Stretched Canvas
124,2021-07-10,3133.0,Pre-Stretched Canvas
