,date,value,name_B08Q3VQFPH
0,2020-12-11,34213.0,Wood Carving Tools
1,2020-12-12,34213.0,Wood Carving Tools
2,2020-12-13,28214.0,Wood Carving Tools
3,2020-12-14,29579.0,Wood Carving Tools
4,2020-12-15,29579.0,Wood Carving Tools
5,2020-12-16,29579.0,Wood Carving Tools
6,2020-12-17,70430.0,Wood Carving Tools
7,2020-12-18,92242.0,Wood Carving Tools
8,2020-12-19,92242.0,Wood Carving Tools
9,2020-12-20,92242.0,Wood Carving Tools
10,2020-12-21,92242.0,Wood Carving Tools
11,2020-12-22,92242.0,Wood Carving Tools
12,2020-12-23,16790.0,Wood Carving Tools
13,2020-12-24,15525.0,Wood Carving Tools
14,2020-12-25,15525.0,Wood Carving Tools
15,2020-12-26,15525.0,Wood Carving Tools
16,2020-12-27,7751.0,Wood Carving Tools
17,2020-12-28,7751.0,Wood Carving Tools
18,2020-12-29,7751.0,Wood Carving Tools
19,2020-12-30,28815.0,Wood Carving Tools
20,2020-12-31,28815.0,Wood Carving Tools
21,2021-01-01,28815.0,Wood Carving Tools
22,2021-01-02,28815.0,Wood Carving Tools
23,2021-01-03,28815.0,Wood Carving Tools
24,2021-01-04,24328.0,Wood Carving Tools
25,2021-01-05,18129.0,Wood Carving Tools
26,2021-01-06,18129.0,Wood Carving Tools
27,2021-01-07,18129.0,Wood Carving Tools
28,2021-01-08,18129.0,Wood Carving Tools
29,2021-01-09,18129.0,Wood Carving Tools
30,2021-01-10,11732.0,Wood Carving Tools
31,2021-01-11,18849.0,Wood Carving Tools
32,2021-01-12,18849.0,Wood Carving Tools
33,2021-01-13,54035.0,Wood Carving Tools
34,2021-01-14,54035.0,Wood Carving Tools
35,2021-01-15,50321.0,Wood Carving Tools
36,2021-01-16,50321.0,Wood Carving Tools
37,2021-01-17,50321.0,Wood Carving Tools
38,2021-01-18,50321.0,Wood Carving Tools
39,2021-01-19,20693.0,Wood Carving Tools
40,2021-01-20,16538.0,Wood Carving Tools
41,2021-01-21,16538.0,Wood Carving Tools
42,2021-01-22,16538.0,Wood Carving Tools
43,2021-01-23,33907.0,Wood Carving Tools
44,2021-01-24,27544.0,Wood Carving Tools
45,2021-01-25,27544.0,Wood Carving Tools
46,2021-01-26,25001.0,Wood Carving Tools
47,2021-01-27,25001.0,Wood Carving Tools
48,2021-01-28,25001.0,Wood Carving Tools
49,2021-01-29,18380.0,Wood Carving Tools
50,2021-01-30,18380.0,Wood Carving Tools
51,2021-01-31,18380.0,Wood Carving Tools
52,2021-02-01,18380.0,Wood Carving Tools
53,2021-02-02,18380.0,Wood Carving Tools
54,2021-02-03,20559.0,Wood Carving Tools
55,2021-02-04,20559.0,Wood Carving Tools
56,2021-02-05,20559.0,Wood Carving Tools
57,2021-02-06,20559.0,Wood Carving Tools
58,2021-02-07,20559.0,Wood Carving Tools
59,2021-02-08,61167.0,Wood Carving Tools
60,2021-02-09,61167.0,Wood Carving Tools
61,2021-02-10,61167.0,Wood Carving Tools
62,2021-02-11,61167.0,Wood Carving Tools
63,2021-02-12,61167.0,Wood Carving Tools
64,2021-02-13,61167.0,Wood Carving Tools
65,2021-02-14,61167.0,Wood Carving Tools
66,2021-02-15,61167.0,Wood Carving Tools
67,2021-02-16,61167.0,Wood Carving Tools
68,2021-02-17,61167.0,Wood Carving Tools
69,2021-02-18,61167.0,Wood Carving Tools
70,2021-02-19,52408.0,Wood Carving Tools
71,2021-02-20,52408.0,Wood Carving Tools
72,2021-02-21,52408.0,Wood Carving Tools
73,2021-02-22,52408.0,Wood Carving Tools
74,2021-02-23,52408.0,Wood Carving Tools
75,2021-02-24,28253.0,Wood Carving Tools
76,2021-02-25,28253.0,Wood Carving Tools
77,2021-02-26,22349.0,Wood Carving Tools
78,2021-02-27,22349.0,Wood Carving Tools
79,2021-02-28,22349.0,Wood Carving Tools
80,2021-03-01,22349.0,Wood Carving Tools
81,2021-03-02,22349.0,Wood Carving Tools
82,2021-03-03,22349.0,Wood Carving Tools
83,2021-03-04,22349.0,Wood Carving Tools
84,2021-03-05,22349.0,Wood Carving Tools
85,2021-03-06,20731.0,Wood Carving Tools
86,2021-03-07,20731.0,Wood Carving Tools
87,2021-03-08,20731.0,Wood Carving Tools
88,2021-03-09,21099.0,Wood Carving Tools
89,2021-03-10,41948.0,Wood Carving Tools
90,2021-03-11,41948.0,Wood Carving Tools
91,2021-03-12,43117.0,Wood Carving Tools
92,2021-03-13,43117.0,Wood Carving Tools
93,2021-03-14,43117.0,Wood Carving Tools
94,2021-03-15,43117.0,Wood Carving Tools
95,2021-03-16,23205.0,Wood Carving Tools
96,2021-03-17,23205.0,Wood Carving Tools
97,2021-03-18,23205.0,Wood Carving Tools
98,2021-03-19,23205.0,Wood Carving Tools
99,2021-03-20,23205.0,Wood Carving Tools
100,2021-03-21,23205.0,Wood Carving Tools
101,2021-03-22,23205.0,Wood Carving Tools
102,2021-03-23,23205.0,Wood Carving Tools
103,2021-03-24,23205.0,Wood Carving Tools
104,2021-03-25,23333.0,Wood Carving Tools
105,2021-03-26,27700.0,Wood Carving Tools
106,2021-03-27,27700.0,Wood Carving Tools
107,2021-03-28,27700.0,Wood Carving Tools
108,2021-03-29,27700.0,Wood Carving Tools
109,2021-03-30,27700.0,Wood Carving Tools
110,2021-03-31,20104.0,Wood Carving Tools
111,2021-04-01,20104.0,Wood Carving Tools
112,2021-04-02,20104.0,Wood Carving Tools
113,2021-04-03,20104.0,Wood Carving Tools
114,2021-04-04,20104.0,Wood Carving Tools
115,2021-04-05,20104.0,Wood Carving Tools
116,2021-04-06,17639.0,Wood Carving Tools
117,2021-04-07,17639.0,Wood Carving Tools
118,2021-04-08,17639.0,Wood Carving Tools
119,2021-04-09,17639.0,Wood Carving Tools
120,2021-04-10,10005.0,Wood Carving Tools
121,2021-04-11,10005.0,Wood Carving Tools
122,2021-04-12,10005.0,Wood Carving Tools
123,2021-04-13,10005.0,Wood Carving Tools
124,2021-04-14,21194.0,Wood Carving Tools
125,2021-04-15,21194.0,Wood Carving Tools
126,2021-04-16,24929.0,Wood Carving Tools
127,2021-04-17,31256.0,Wood Carving Tools
128,2021-04-18,31256.0,Wood Carving Tools
129,2021-04-19,31256.0,Wood Carving Tools
130,2021-04-20,21805.0,Wood Carving Tools
131,2021-04-21,21805.0,Wood Carving Tools
132,2021-04-22,21805.0,Wood Carving Tools
133,2021-04-23,21310.0,Wood Carving Tools
134,2021-04-24,21310.0,Wood Carving Tools
135,2021-04-25,21310.0,Wood Carving Tools
136,2021-04-26,21310.0,Wood Carving Tools
137,2021-04-27,21310.0,Wood Carving Tools
138,2021-04-28,18307.0,Wood Carving Tools
139,2021-04-29,18307.0,Wood Carving Tools
140,2021-04-30,23292.0,Wood Carving Tools
141,2021-05-01,23292.0,Wood Carving Tools
142,2021-05-02,23292.0,Wood Carving Tools
143,2021-05-03,23292.0,Wood Carving Tools
144,2021-05-04,23292.0,Wood Carving Tools
145,2021-05-05,16686.0,Wood Carving Tools
146,2021-05-06,16686.0,Wood Carving Tools
147,2021-05-07,21195.0,Wood Carving Tools
148,2021-05-08,21195.0,Wood Carving Tools
149,2021-05-09,21195.0,Wood Carving Tools
150,2021-05-10,10844.0,Wood Carving Tools
151,2021-05-11,13124.0,Wood Carving Tools
152,2021-05-12,13124.0,Wood Carving Tools
153,2021-05-13,21902.0,Wood Carving Tools
154,2021-05-14,21902.0,Wood Carving Tools
155,2021-05-15,24206.0,Wood Carving Tools
156,2021-05-16,24206.0,Wood Carving Tools
157,2021-05-17,24206.0,Wood Carving Tools
158,2021-05-18,12667.0,Wood Carving Tools
159,2021-05-19,12667.0,Wood Carving Tools
160,2021-05-20,12667.0,Wood Carving Tools
161,2021-05-21,21954.0,Wood Carving Tools
162,2021-05-22,21954.0,Wood Carving Tools
163,2021-05-23,15129.0,Wood Carving Tools
164,2021-05-24,15129.0,Wood Carving Tools
165,2021-05-25,15219.0,Wood Carving Tools
166,2021-05-26,18207.0,Wood Carving Tools
167,2021-05-27,11701.0,Wood Carving Tools
168,2021-05-28,11905.0,Wood Carving Tools
169,2021-05-29,11905.0,Wood Carving Tools
170,2021-05-30,11905.0,Wood Carving Tools
171,2021-05-31,11905.0,Wood Carving Tools
172,2021-06-01,6507.0,Wood Carving Tools
173,2021-06-02,4286.0,Wood Carving Tools
174,2021-06-03,5996.0,Wood Carving Tools
175,2021-06-04,5996.0,Wood Carving Tools
176,2021-06-05,5996.0,Wood Carving Tools
177,2021-06-06,5779.0,Wood Carving Tools
178,2021-06-07,7704.0,Wood Carving Tools
179,2021-06-08,7704.0,Wood Carving Tools
180,2021-06-09,7704.0,Wood Carving Tools
181,2021-06-10,7704.0,Wood Carving Tools
182,2021-06-11,13603.0,Wood Carving Tools
183,2021-06-12,13603.0,Wood Carving Tools
184,2021-06-13,13603.0,Wood Carving Tools
185,2021-06-14,13603.0,Wood Carving Tools
186,2021-06-15,6574.0,Wood Carving Tools
187,2021-06-16,6574.0,Wood Carving Tools
188,2021-06-17,9516.0,Wood Carving Tools
189,2021-06-18,10840.0,Wood Carving Tools
190,2021-06-19,10840.0,Wood Carving Tools
191,2021-06-20,10735.0,Wood Carving Tools
192,2021-06-21,9935.0,Wood Carving Tools
193,2021-06-22,9935.0,Wood Carving Tools
194,2021-06-23,21819.0,Wood Carving Tools
195,2021-06-24,21819.0,Wood Carving Tools
196,2021-06-25,21819.0,Wood Carving Tools
197,2021-06-26,17343.0,Wood Carving Tools
198,2021-06-27,17343.0,Wood Carving Tools
199,2021-06-28,17343.0,Wood Carving Tools
200,2021-06-29,17317.0,Wood Carving Tools
201,2021-06-30,17317.0,Wood Carving Tools
202,2021-07-01,25431.0,Wood Carving Tools
203,2021-07-02,25431.0,Wood Carving Tools
204,2021-07-03,16063.0,Wood Carving Tools
205,2021-07-04,16063.0,Wood Carving Tools
206,2021-07-05,13085.0,Wood Carving Tools
207,2021-07-06,13085.0,Wood Carving Tools
208,2021-07-07,17361.0,Wood Carving Tools
209,2021-07-08,16759.0,Wood Carving Tools
210,2021-07-09,22408.0,Wood Carving Tools
