,date,value,name_B084ZSPRNB
0,2020-05-09,162459.0,Floating Shelves
1,2020-05-10,162459.0,Floating Shelves
2,2020-05-11,194395.0,Floating Shelves
3,2020-05-12,120262.0,Floating Shelves
4,2020-05-13,197489.0,Floating Shelves
5,2020-05-14,197489.0,Floating Shelves
6,2020-05-15,189293.0,Floating Shelves
7,2020-05-16,239995.0,Floating Shelves
8,2020-05-17,208289.0,Floating Shelves
9,2020-05-18,255461.0,Floating Shelves
10,2020-05-19,255461.0,Floating Shelves
11,2020-05-20,180570.0,Floating Shelves
12,2020-05-21,180570.0,Floating Shelves
13,2020-05-22,180570.0,Floating Shelves
14,2020-05-23,100347.0,Floating Shelves
15,2020-05-24,100347.0,Floating Shelves
16,2020-05-25,100347.0,Floating Shelves
17,2020-05-26,100347.0,Floating Shelves
18,2020-05-27,100347.0,Floating Shelves
19,2020-05-28,87147.0,Floating Shelves
20,2020-05-29,87147.0,Floating Shelves
21,2020-05-30,87147.0,Floating Shelves
22,2020-05-31,87147.0,Floating Shelves
23,2020-06-01,87147.0,Floating Shelves
24,2020-06-02,87147.0,Floating Shelves
25,2020-06-03,88021.0,Floating Shelves
26,2020-06-04,88021.0,Floating Shelves
27,2020-06-05,88021.0,Floating Shelves
28,2020-06-06,88021.0,Floating Shelves
29,2020-06-07,88021.0,Floating Shelves
30,2020-06-08,88021.0,Floating Shelves
31,2020-06-09,477151.0,Floating Shelves
32,2020-06-10,477151.0,Floating Shelves
33,2020-06-11,477151.0,Floating Shelves
34,2020-06-12,477151.0,Floating Shelves
35,2020-06-13,477151.0,Floating Shelves
36,2020-06-14,477151.0,Floating Shelves
37,2020-06-15,477151.0,Floating Shelves
38,2020-06-16,477151.0,Floating Shelves
39,2020-06-17,477151.0,Floating Shelves
40,2020-06-18,477151.0,Floating Shelves
41,2020-06-19,477151.0,Floating Shelves
42,2020-06-20,477151.0,Floating Shelves
43,2020-06-21,477151.0,Floating Shelves
44,2020-06-22,477151.0,Floating Shelves
45,2020-06-23,477151.0,Floating Shelves
46,2020-06-24,736994.0,Floating Shelves
47,2020-06-25,736994.0,Floating Shelves
48,2020-06-26,736994.0,Floating Shelves
49,2020-06-27,736994.0,Floating Shelves
50,2020-06-28,736994.0,Floating Shelves
51,2020-06-29,736994.0,Floating Shelves
52,2020-06-30,736994.0,Floating Shelves
53,2020-07-01,736994.0,Floating Shelves
54,2020-07-02,736994.0,Floating Shelves
55,2020-07-03,736994.0,Floating Shelves
56,2020-07-04,736994.0,Floating Shelves
57,2020-07-05,736994.0,Floating Shelves
58,2020-07-06,736994.0,Floating Shelves
59,2020-07-07,736994.0,Floating Shelves
60,2020-07-08,736994.0,Floating Shelves
61,2020-07-09,736994.0,Floating Shelves
62,2020-07-10,736994.0,Floating Shelves
63,2020-07-11,736994.0,Floating Shelves
64,2020-07-12,736994.0,Floating Shelves
65,2020-07-13,736994.0,Floating Shelves
66,2020-07-14,736994.0,Floating Shelves
67,2020-07-15,736994.0,Floating Shelves
68,2020-07-16,736994.0,Floating Shelves
69,2020-07-17,736994.0,Floating Shelves
70,2020-07-18,736994.0,Floating Shelves
71,2020-07-19,736994.0,Floating Shelves
72,2020-07-20,736994.0,Floating Shelves
73,2020-07-21,736994.0,Floating Shelves
