,date,value,name_B07H5P4279
0,2019-10-26,13213.0,Comforters
1,2019-10-27,14753.0,Comforters
2,2019-10-28,10962.0,Comforters
3,2019-10-29,10411.0,Comforters
4,2019-10-30,10515.0,Comforters
5,2019-10-31,8378.0,Comforters
6,2019-11-01,9951.0,Comforters
7,2019-11-02,11626.0,Comforters
8,2019-11-03,12676.0,Comforters
9,2019-11-04,13580.0,Comforters
10,2019-11-05,12322.0,Comforters
11,2019-11-06,12613.0,Comforters
12,2019-11-07,7752.0,Comforters
13,2019-11-08,9532.0,Comforters
14,2019-11-09,10546.0,Comforters
15,2019-11-10,10546.0,Comforters
16,2019-11-11,10546.0,Comforters
17,2019-11-12,10546.0,Comforters
18,2019-11-13,12038.0,Comforters
19,2019-11-14,12038.0,Comforters
20,2019-11-15,10784.0,Comforters
21,2019-11-16,10784.0,Comforters
22,2019-11-17,10784.0,Comforters
23,2019-11-18,10784.0,Comforters
24,2019-11-19,14314.0,Comforters
25,2019-11-20,14314.0,Comforters
26,2019-11-21,9491.0,Comforters
27,2019-11-22,13572.0,Comforters
28,2019-11-23,11413.0,Comforters
29,2019-11-24,11413.0,Comforters
30,2019-11-25,17063.0,Comforters
31,2019-11-26,17772.0,Comforters
32,2019-11-27,16898.0,Comforters
33,2019-11-28,16898.0,Comforters
34,2019-11-29,16898.0,Comforters
35,2019-11-30,16898.0,Comforters
36,2019-12-01,11306.0,Comforters
37,2019-12-02,11882.0,Comforters
38,2019-12-03,11882.0,Comforters
39,2019-12-04,11882.0,Comforters
40,2019-12-05,11309.0,Comforters
41,2019-12-06,11309.0,Comforters
42,2019-12-07,11309.0,Comforters
43,2019-12-08,14311.0,Comforters
44,2019-12-09,14311.0,Comforters
45,2019-12-10,14832.0,Comforters
46,2019-12-11,11925.0,Comforters
47,2019-12-12,11925.0,Comforters
48,2019-12-13,11925.0,Comforters
49,2019-12-14,11925.0,Comforters
50,2019-12-15,11191.0,Comforters
51,2019-12-16,11191.0,Comforters
52,2019-12-17,11191.0,Comforters
53,2019-12-18,12924.0,Comforters
54,2019-12-19,12924.0,Comforters
