,date,value,name_B08KT9MXYR
0,2020-10-09,1158.0,Hammock Stands
1,2020-10-10,1238.0,Hammock Stands
2,2020-10-11,1238.0,Hammock Stands
3,2020-10-12,1424.0,Hammock Stands
4,2020-10-13,3200.0,Hammock Stands
5,2020-10-14,2137.0,Hammock Stands
6,2020-10-15,1955.0,Hammock Stands
7,2020-10-16,1530.0,Hammock Stands
8,2020-10-17,1530.0,Hammock Stands
9,2020-10-18,1530.0,Hammock Stands
10,2020-10-19,2317.0,Hammock Stands
11,2020-10-20,3235.0,Hammock Stands
12,2020-10-21,3235.0,Hammock Stands
13,2020-10-22,3901.0,Hammock Stands
14,2020-10-23,2415.0,Hammock Stands
15,2020-10-24,2817.0,Hammock Stands
16,2020-10-25,2817.0,Hammock Stands
17,2020-10-26,2817.0,Hammock Stands
18,2020-10-27,3264.0,Hammock Stands
19,2020-10-28,3264.0,Hammock Stands
20,2020-10-29,3264.0,Hammock Stands
21,2020-10-30,3264.0,Hammock Stands
22,2020-10-31,3355.0,Hammock Stands
23,2020-11-01,3355.0,Hammock Stands
24,2020-11-02,3446.0,Hammock Stands
25,2020-11-03,3446.0,Hammock Stands
26,2020-11-04,3081.0,Hammock Stands
27,2020-11-05,3081.0,Hammock Stands
28,2020-11-06,3081.0,Hammock Stands
29,2020-11-07,3064.0,Hammock Stands
30,2020-11-08,3064.0,Hammock Stands
31,2020-11-09,3769.0,Hammock Stands
32,2020-11-10,3001.0,Hammock Stands
33,2020-11-11,3546.0,Hammock Stands
34,2020-11-12,3057.0,Hammock Stands
35,2020-11-13,3057.0,Hammock Stands
36,2020-11-14,4230.0,Hammock Stands
37,2020-11-15,4230.0,Hammock Stands
38,2020-11-16,4230.0,Hammock Stands
39,2020-11-17,3789.0,Hammock Stands
40,2020-11-18,4728.0,Hammock Stands
41,2020-11-19,4041.0,Hammock Stands
42,2020-11-20,3597.0,Hammock Stands
43,2020-11-21,4608.0,Hammock Stands
44,2020-11-22,4608.0,Hammock Stands
45,2020-11-23,4719.0,Hammock Stands
46,2020-11-24,4719.0,Hammock Stands
47,2020-11-25,3079.0,Hammock Stands
48,2020-11-26,2764.0,Hammock Stands
49,2020-11-27,2759.0,Hammock Stands
50,2020-11-28,2759.0,Hammock Stands
51,2020-11-29,2759.0,Hammock Stands
52,2020-11-30,2526.0,Hammock Stands
53,2020-12-01,2126.0,Hammock Stands
54,2020-12-02,2560.0,Hammock Stands
55,2020-12-03,2971.0,Hammock Stands
56,2020-12-04,2123.0,Hammock Stands
57,2020-12-05,2131.0,Hammock Stands
58,2020-12-06,2237.0,Hammock Stands
59,2020-12-07,3083.0,Hammock Stands
60,2020-12-08,2769.0,Hammock Stands
61,2020-12-09,2863.0,Hammock Stands
62,2020-12-10,3074.0,Hammock Stands
63,2020-12-11,3007.0,Hammock Stands
64,2020-12-12,2643.0,Hammock Stands
65,2020-12-13,3039.0,Hammock Stands
66,2020-12-14,2804.0,Hammock Stands
67,2020-12-15,2381.0,Hammock Stands
68,2020-12-16,2751.0,Hammock Stands
69,2020-12-17,2645.0,Hammock Stands
70,2020-12-18,2139.0,Hammock Stands
71,2020-12-19,1933.0,Hammock Stands
72,2020-12-20,1746.0,Hammock Stands
73,2020-12-21,2432.0,Hammock Stands
74,2020-12-22,2432.0,Hammock Stands
75,2020-12-23,2148.0,Hammock Stands
76,2020-12-24,2729.0,Hammock Stands
77,2020-12-25,3008.0,Hammock Stands
78,2020-12-26,2766.0,Hammock Stands
79,2020-12-27,2374.0,Hammock Stands
80,2020-12-28,2988.0,Hammock Stands
81,2020-12-29,3627.0,Hammock Stands
82,2020-12-30,4625.0,Hammock Stands
83,2020-12-31,4715.0,Hammock Stands
84,2021-01-01,4285.0,Hammock Stands
85,2021-01-02,3382.0,Hammock Stands
86,2021-01-03,2551.0,Hammock Stands
87,2021-01-04,3167.0,Hammock Stands
88,2021-01-05,3031.0,Hammock Stands
89,2021-01-06,2429.0,Hammock Stands
90,2021-01-07,2688.0,Hammock Stands
91,2021-01-08,2375.0,Hammock Stands
92,2021-01-09,2474.0,Hammock Stands
93,2021-01-10,2236.0,Hammock Stands
94,2021-01-11,2390.0,Hammock Stands
95,2021-01-12,1534.0,Hammock Stands
96,2021-01-13,2135.0,Hammock Stands
97,2021-01-14,2796.0,Hammock Stands
98,2021-01-15,2306.0,Hammock Stands
99,2021-01-16,1578.0,Hammock Stands
100,2021-01-17,1880.0,Hammock Stands
101,2021-01-18,1632.0,Hammock Stands
102,2021-01-19,1670.0,Hammock Stands
103,2021-01-20,1864.0,Hammock Stands
104,2021-01-21,1864.0,Hammock Stands
105,2021-01-22,1628.0,Hammock Stands
106,2021-01-23,1628.0,Hammock Stands
107,2021-01-24,2226.0,Hammock Stands
108,2021-01-25,2052.0,Hammock Stands
109,2021-01-26,2052.0,Hammock Stands
110,2021-01-27,2005.0,Hammock Stands
111,2021-01-28,2005.0,Hammock Stands
112,2021-01-29,1711.0,Hammock Stands
113,2021-01-30,1711.0,Hammock Stands
114,2021-01-31,1711.0,Hammock Stands
115,2021-02-01,1565.0,Hammock Stands
116,2021-02-02,1769.0,Hammock Stands
117,2021-02-03,1769.0,Hammock Stands
118,2021-02-04,1769.0,Hammock Stands
119,2021-02-05,1127.0,Hammock Stands
120,2021-02-06,1180.0,Hammock Stands
121,2021-02-07,936.0,Hammock Stands
122,2021-02-08,1209.0,Hammock Stands
123,2021-02-09,1151.0,Hammock Stands
124,2021-02-10,1269.0,Hammock Stands
125,2021-02-11,1269.0,Hammock Stands
126,2021-02-12,1269.0,Hammock Stands
127,2021-02-13,1358.0,Hammock Stands
128,2021-02-14,1358.0,Hammock Stands
129,2021-02-15,1653.0,Hammock Stands
