,date,value,name_B08Z4141B9
0,2021-05-28,8477.0,Soft-Sided Carriers
1,2021-05-29,9846.0,Soft-Sided Carriers
2,2021-05-30,9846.0,Soft-Sided Carriers
3,2021-05-31,9846.0,Soft-Sided Carriers
4,2021-06-01,13666.0,Soft-Sided Carriers
5,2021-06-02,12301.0,Soft-Sided Carriers
6,2021-06-03,9784.0,Soft-Sided Carriers
7,2021-06-04,9392.0,Soft-Sided Carriers
8,2021-06-05,9392.0,Soft-Sided Carriers
9,2021-06-06,9392.0,Soft-Sided Carriers
10,2021-06-07,13301.0,Soft-Sided Carriers
11,2021-06-08,13301.0,Soft-Sided Carriers
12,2021-06-09,10094.0,Soft-Sided Carriers
13,2021-06-10,9089.0,Soft-Sided Carriers
14,2021-06-11,9089.0,Soft-Sided Carriers
15,2021-06-12,7205.0,Soft-Sided Carriers
16,2021-06-13,7205.0,Soft-Sided Carriers
17,2021-06-14,7205.0,Soft-Sided Carriers
18,2021-06-15,9003.0,Soft-Sided Carriers
19,2021-06-16,9003.0,Soft-Sided Carriers
20,2021-06-17,10149.0,Soft-Sided Carriers
21,2021-06-18,10098.0,Soft-Sided Carriers
22,2021-06-19,7620.0,Soft-Sided Carriers
23,2021-06-20,7620.0,Soft-Sided Carriers
24,2021-06-21,8978.0,Soft-Sided Carriers
25,2021-06-22,4692.0,Soft-Sided Carriers
26,2021-06-23,4356.0,Soft-Sided Carriers
27,2021-06-24,4356.0,Soft-Sided Carriers
28,2021-06-25,4356.0,Soft-Sided Carriers
29,2021-06-26,6867.0,Soft-Sided Carriers
30,2021-06-27,6867.0,Soft-Sided Carriers
31,2021-06-28,6896.0,Soft-Sided Carriers
32,2021-06-29,6606.0,Soft-Sided Carriers
33,2021-06-30,6606.0,Soft-Sided Carriers
34,2021-07-01,7698.0,Soft-Sided Carriers
35,2021-07-02,7698.0,Soft-Sided Carriers
36,2021-07-03,7698.0,Soft-Sided Carriers
37,2021-07-04,7698.0,Soft-Sided Carriers
38,2021-07-05,9947.0,Soft-Sided Carriers
39,2021-07-06,8784.0,Soft-Sided Carriers
40,2021-07-07,8784.0,Soft-Sided Carriers
41,2021-07-08,8784.0,Soft-Sided Carriers
42,2021-07-09,9820.0,Soft-Sided Carriers
