,date,value,name_B08Y6YDP6B
0,2021-05-22,108870.0,Open Storage Bins
1,2021-05-23,108870.0,Open Storage Bins
2,2021-05-24,108870.0,Open Storage Bins
3,2021-05-25,71514.0,Open Storage Bins
4,2021-05-26,71514.0,Open Storage Bins
5,2021-05-27,71514.0,Open Storage Bins
6,2021-05-28,45202.0,Open Storage Bins
7,2021-05-29,28127.0,Open Storage Bins
8,2021-05-30,36867.0,Open Storage Bins
9,2021-05-31,36867.0,Open Storage Bins
10,2021-06-01,36867.0,Open Storage Bins
11,2021-06-02,56527.0,Open Storage Bins
12,2021-06-03,67993.0,Open Storage Bins
13,2021-06-04,48346.0,Open Storage Bins
14,2021-06-05,48619.0,Open Storage Bins
15,2021-06-06,48619.0,Open Storage Bins
16,2021-06-07,52410.0,Open Storage Bins
17,2021-06-08,59183.0,Open Storage Bins
18,2021-06-09,44897.0,Open Storage Bins
19,2021-06-10,49835.0,Open Storage Bins
20,2021-06-11,49835.0,Open Storage Bins
21,2021-06-12,63946.0,Open Storage Bins
22,2021-06-13,63354.0,Open Storage Bins
23,2021-06-14,76322.0,Open Storage Bins
24,2021-06-15,76322.0,Open Storage Bins
25,2021-06-16,63951.0,Open Storage Bins
26,2021-06-17,57141.0,Open Storage Bins
27,2021-06-18,51357.0,Open Storage Bins
28,2021-06-19,53363.0,Open Storage Bins
29,2021-06-20,64333.0,Open Storage Bins
30,2021-06-21,45810.0,Open Storage Bins
31,2021-06-22,63557.0,Open Storage Bins
32,2021-06-23,75345.0,Open Storage Bins
33,2021-06-24,50813.0,Open Storage Bins
34,2021-06-25,46306.0,Open Storage Bins
35,2021-06-26,41870.0,Open Storage Bins
36,2021-06-27,51517.0,Open Storage Bins
37,2021-06-28,39676.0,Open Storage Bins
38,2021-06-29,43759.0,Open Storage Bins
39,2021-06-30,48758.0,Open Storage Bins
40,2021-07-01,50745.0,Open Storage Bins
41,2021-07-02,39804.0,Open Storage Bins
42,2021-07-03,28521.0,Open Storage Bins
43,2021-07-04,39936.0,Open Storage Bins
44,2021-07-05,38732.0,Open Storage Bins
45,2021-07-06,37866.0,Open Storage Bins
46,2021-07-07,42063.0,Open Storage Bins
47,2021-07-08,42063.0,Open Storage Bins
48,2021-07-09,31373.0,Open Storage Bins
