,date,value,name_B08VJ15XFQ
109,2021-05-25,7169.0,Muscle Stimulators & Accessories
110,2021-05-26,7169.0,Muscle Stimulators & Accessories
111,2021-05-27,6711.0,Muscle Stimulators & Accessories
112,2021-05-28,6711.0,Muscle Stimulators & Accessories
113,2021-05-29,6584.0,Muscle Stimulators & Accessories
114,2021-05-30,6584.0,Muscle Stimulators & Accessories
115,2021-05-31,7035.0,Muscle Stimulators & Accessories
116,2021-06-01,7035.0,Muscle Stimulators & Accessories
117,2021-06-02,6656.0,Muscle Stimulators & Accessories
118,2021-06-03,6656.0,Muscle Stimulators & Accessories
119,2021-06-04,6656.0,Muscle Stimulators & Accessories
120,2021-06-05,5701.0,Muscle Stimulators & Accessories
121,2021-06-06,5701.0,Muscle Stimulators & Accessories
122,2021-06-07,6492.0,Muscle Stimulators & Accessories
123,2021-06-08,6492.0,Muscle Stimulators & Accessories
124,2021-06-09,7954.0,Muscle Stimulators & Accessories
125,2021-06-10,7901.0,Muscle Stimulators & Accessories
126,2021-06-11,7901.0,Muscle Stimulators & Accessories
127,2021-06-12,5250.0,Muscle Stimulators & Accessories
128,2021-06-13,5250.0,Muscle Stimulators & Accessories
129,2021-06-14,8188.0,Muscle Stimulators & Accessories
130,2021-06-15,8067.0,Muscle Stimulators & Accessories
131,2021-06-16,7837.0,Muscle Stimulators & Accessories
132,2021-06-17,5503.0,Muscle Stimulators & Accessories
133,2021-06-18,6183.0,Muscle Stimulators & Accessories
134,2021-06-19,5815.0,Muscle Stimulators & Accessories
135,2021-06-20,5815.0,Muscle Stimulators & Accessories
136,2021-06-21,6259.0,Muscle Stimulators & Accessories
137,2021-06-22,6925.0,Muscle Stimulators & Accessories
138,2021-06-23,5972.0,Muscle Stimulators & Accessories
139,2021-06-24,5509.0,Muscle Stimulators & Accessories
140,2021-06-25,5509.0,Muscle Stimulators & Accessories
141,2021-06-26,5680.0,Muscle Stimulators & Accessories
142,2021-06-27,5680.0,Muscle Stimulators & Accessories
143,2021-06-28,5680.0,Muscle Stimulators & Accessories
144,2021-06-29,7728.0,Muscle Stimulators & Accessories
145,2021-06-30,7906.0,Muscle Stimulators & Accessories
146,2021-07-01,7906.0,Muscle Stimulators & Accessories
147,2021-07-02,6379.0,Muscle Stimulators & Accessories
148,2021-07-03,6379.0,Muscle Stimulators & Accessories
149,2021-07-04,6379.0,Muscle Stimulators & Accessories
150,2021-07-05,7129.0,Muscle Stimulators & Accessories
151,2021-07-06,6405.0,Muscle Stimulators & Accessories
152,2021-07-07,6405.0,Muscle Stimulators & Accessories
153,2021-07-08,6405.0,Muscle Stimulators & Accessories
154,2021-07-09,7728.0,Muscle Stimulators & Accessories
155,2021-07-10,8048.0,Muscle Stimulators & Accessories
