,date,value,name_B08T8MGW33
0,2021-01-19,215.0,Molding & Casting
1,2021-01-20,227.0,Molding & Casting
2,2021-01-21,227.0,Molding & Casting
3,2021-01-22,217.0,Molding & Casting
4,2021-01-23,217.0,Molding & Casting
5,2021-01-24,217.0,Molding & Casting
6,2021-01-25,261.0,Molding & Casting
7,2021-01-26,261.0,Molding & Casting
8,2021-01-27,241.0,Molding & Casting
9,2021-01-28,255.0,Molding & Casting
10,2021-01-29,209.0,Molding & Casting
11,2021-01-30,252.0,Molding & Casting
12,2021-01-31,252.0,Molding & Casting
13,2021-02-01,269.0,Molding & Casting
14,2021-02-02,296.0,Molding & Casting
15,2021-02-03,296.0,Molding & Casting
16,2021-02-04,226.0,Molding & Casting
17,2021-02-05,211.0,Molding & Casting
18,2021-02-06,211.0,Molding & Casting
19,2021-02-07,249.0,Molding & Casting
20,2021-02-08,269.0,Molding & Casting
21,2021-02-09,264.0,Molding & Casting
22,2021-02-10,267.0,Molding & Casting
23,2021-02-11,225.0,Molding & Casting
24,2021-02-12,261.0,Molding & Casting
25,2021-02-13,261.0,Molding & Casting
26,2021-02-14,261.0,Molding & Casting
27,2021-02-15,268.0,Molding & Casting
28,2021-02-16,268.0,Molding & Casting
29,2021-02-17,191.0,Molding & Casting
30,2021-02-18,258.0,Molding & Casting
31,2021-02-19,265.0,Molding & Casting
32,2021-02-20,265.0,Molding & Casting
33,2021-02-21,365.0,Molding & Casting
34,2021-02-22,390.0,Molding & Casting
35,2021-02-23,429.0,Molding & Casting
36,2021-02-24,410.0,Molding & Casting
37,2021-02-25,410.0,Molding & Casting
38,2021-02-26,410.0,Molding & Casting
39,2021-02-27,395.0,Molding & Casting
40,2021-02-28,395.0,Molding & Casting
41,2021-03-01,436.0,Molding & Casting
42,2021-03-02,436.0,Molding & Casting
43,2021-03-03,420.0,Molding & Casting
44,2021-03-04,420.0,Molding & Casting
45,2021-03-05,566.0,Molding & Casting
46,2021-03-06,566.0,Molding & Casting
47,2021-03-07,566.0,Molding & Casting
48,2021-03-08,454.0,Molding & Casting
49,2021-03-09,454.0,Molding & Casting
50,2021-03-10,454.0,Molding & Casting
51,2021-03-11,447.0,Molding & Casting
52,2021-03-12,447.0,Molding & Casting
53,2021-03-13,476.0,Molding & Casting
54,2021-03-14,476.0,Molding & Casting
55,2021-03-15,424.0,Molding & Casting
56,2021-03-16,530.0,Molding & Casting
57,2021-03-17,465.0,Molding & Casting
58,2021-03-18,465.0,Molding & Casting
59,2021-03-19,502.0,Molding & Casting
60,2021-03-20,493.0,Molding & Casting
61,2021-03-21,493.0,Molding & Casting
62,2021-03-22,573.0,Molding & Casting
63,2021-03-23,521.0,Molding & Casting
64,2021-03-24,629.0,Molding & Casting
65,2021-03-25,629.0,Molding & Casting
66,2021-03-26,502.0,Molding & Casting
67,2021-03-27,540.0,Molding & Casting
68,2021-03-28,540.0,Molding & Casting
69,2021-03-29,659.0,Molding & Casting
70,2021-03-30,639.0,Molding & Casting
71,2021-03-31,668.0,Molding & Casting
72,2021-04-01,467.0,Molding & Casting
73,2021-04-02,467.0,Molding & Casting
74,2021-04-03,467.0,Molding & Casting
75,2021-04-04,484.0,Molding & Casting
76,2021-04-05,484.0,Molding & Casting
77,2021-04-06,484.0,Molding & Casting
78,2021-04-07,603.0,Molding & Casting
79,2021-04-08,603.0,Molding & Casting
80,2021-04-09,595.0,Molding & Casting
81,2021-04-10,486.0,Molding & Casting
82,2021-04-11,486.0,Molding & Casting
83,2021-04-12,489.0,Molding & Casting
84,2021-04-13,613.0,Molding & Casting
85,2021-04-14,589.0,Molding & Casting
86,2021-04-15,589.0,Molding & Casting
87,2021-04-16,589.0,Molding & Casting
88,2021-04-17,566.0,Molding & Casting
89,2021-04-18,486.0,Molding & Casting
90,2021-04-19,508.0,Molding & Casting
91,2021-04-20,508.0,Molding & Casting
92,2021-04-21,500.0,Molding & Casting
93,2021-04-22,539.0,Molding & Casting
94,2021-04-23,539.0,Molding & Casting
95,2021-04-24,486.0,Molding & Casting
96,2021-04-25,486.0,Molding & Casting
97,2021-04-26,560.0,Molding & Casting
98,2021-04-27,612.0,Molding & Casting
99,2021-04-28,612.0,Molding & Casting
100,2021-04-29,450.0,Molding & Casting
101,2021-04-30,450.0,Molding & Casting
102,2021-05-01,514.0,Molding & Casting
103,2021-05-02,425.0,Molding & Casting
104,2021-05-03,425.0,Molding & Casting
105,2021-05-04,539.0,Molding & Casting
106,2021-05-05,520.0,Molding & Casting
107,2021-05-06,520.0,Molding & Casting
108,2021-05-07,517.0,Molding & Casting
109,2021-05-08,538.0,Molding & Casting
110,2021-05-09,538.0,Molding & Casting
111,2021-05-10,670.0,Molding & Casting
112,2021-05-11,670.0,Molding & Casting
113,2021-05-12,565.0,Molding & Casting
114,2021-05-13,565.0,Molding & Casting
115,2021-05-14,538.0,Molding & Casting
116,2021-05-15,491.0,Molding & Casting
117,2021-05-16,491.0,Molding & Casting
118,2021-05-17,596.0,Molding & Casting
119,2021-05-18,641.0,Molding & Casting
120,2021-05-19,771.0,Molding & Casting
121,2021-05-20,771.0,Molding & Casting
122,2021-05-21,634.0,Molding & Casting
123,2021-05-22,663.0,Molding & Casting
124,2021-05-23,577.0,Molding & Casting
125,2021-05-24,606.0,Molding & Casting
126,2021-05-25,606.0,Molding & Casting
127,2021-05-26,599.0,Molding & Casting
128,2021-05-27,662.0,Molding & Casting
129,2021-05-28,586.0,Molding & Casting
130,2021-05-29,586.0,Molding & Casting
131,2021-05-30,586.0,Molding & Casting
132,2021-05-31,647.0,Molding & Casting
133,2021-06-01,647.0,Molding & Casting
134,2021-06-02,577.0,Molding & Casting
135,2021-06-03,577.0,Molding & Casting
136,2021-06-04,662.0,Molding & Casting
137,2021-06-05,662.0,Molding & Casting
138,2021-06-06,595.0,Molding & Casting
139,2021-06-07,592.0,Molding & Casting
140,2021-06-08,679.0,Molding & Casting
141,2021-06-09,655.0,Molding & Casting
142,2021-06-10,661.0,Molding & Casting
143,2021-06-11,567.0,Molding & Casting
144,2021-06-12,613.0,Molding & Casting
145,2021-06-13,559.0,Molding & Casting
146,2021-06-14,559.0,Molding & Casting
147,2021-06-15,655.0,Molding & Casting
148,2021-06-16,638.0,Molding & Casting
149,2021-06-17,621.0,Molding & Casting
150,2021-06-18,543.0,Molding & Casting
151,2021-06-19,543.0,Molding & Casting
152,2021-06-20,809.0,Molding & Casting
153,2021-06-21,809.0,Molding & Casting
154,2021-06-22,1082.0,Molding & Casting
155,2021-06-23,1231.0,Molding & Casting
156,2021-06-24,1087.0,Molding & Casting
157,2021-06-25,1087.0,Molding & Casting
158,2021-06-26,642.0,Molding & Casting
159,2021-06-27,690.0,Molding & Casting
160,2021-06-28,583.0,Molding & Casting
161,2021-06-29,734.0,Molding & Casting
162,2021-06-30,632.0,Molding & Casting
163,2021-07-01,479.0,Molding & Casting
164,2021-07-02,479.0,Molding & Casting
165,2021-07-03,479.0,Molding & Casting
166,2021-07-04,608.0,Molding & Casting
167,2021-07-05,721.0,Molding & Casting
168,2021-07-06,721.0,Molding & Casting
169,2021-07-07,583.0,Molding & Casting
170,2021-07-08,667.0,Molding & Casting
171,2021-07-09,649.0,Molding & Casting
