,date,value,name_B08HCK7SHD
0,2020-09-10,42664.0,Educational Charts & Posters
1,2020-09-11,42664.0,Educational Charts & Posters
2,2020-09-12,42664.0,Educational Charts & Posters
3,2020-09-13,5622.0,Educational Charts & Posters
4,2020-09-14,5622.0,Educational Charts & Posters
5,2020-09-15,5622.0,Educational Charts & Posters
6,2020-09-16,1990.0,Educational Charts & Posters
7,2020-09-17,1990.0,Educational Charts & Posters
8,2020-09-18,1603.0,Educational Charts & Posters
9,2020-09-19,1603.0,Educational Charts & Posters
10,2020-09-20,1603.0,Educational Charts & Posters
11,2020-09-21,1603.0,Educational Charts & Posters
12,2020-09-22,2187.0,Educational Charts & Posters
13,2020-09-23,2187.0,Educational Charts & Posters
14,2020-09-24,2187.0,Educational Charts & Posters
15,2020-09-25,2194.0,Educational Charts & Posters
16,2020-09-26,2194.0,Educational Charts & Posters
17,2020-09-27,2298.0,Educational Charts & Posters
18,2020-09-28,2980.0,Educational Charts & Posters
19,2020-09-29,2253.0,Educational Charts & Posters
20,2020-09-30,2451.0,Educational Charts & Posters
21,2020-10-01,2451.0,Educational Charts & Posters
22,2020-10-02,2451.0,Educational Charts & Posters
23,2020-10-03,2315.0,Educational Charts & Posters
24,2020-10-04,2653.0,Educational Charts & Posters
25,2020-10-05,2653.0,Educational Charts & Posters
26,2020-10-06,2653.0,Educational Charts & Posters
27,2020-10-07,2808.0,Educational Charts & Posters
28,2020-10-08,2808.0,Educational Charts & Posters
29,2020-10-09,2808.0,Educational Charts & Posters
30,2020-10-10,2518.0,Educational Charts & Posters
31,2020-10-11,2518.0,Educational Charts & Posters
32,2020-10-12,2518.0,Educational Charts & Posters
33,2020-10-13,2908.0,Educational Charts & Posters
34,2020-10-14,2908.0,Educational Charts & Posters
35,2020-10-15,2908.0,Educational Charts & Posters
36,2020-10-16,3069.0,Educational Charts & Posters
37,2020-10-17,3107.0,Educational Charts & Posters
38,2020-10-18,3107.0,Educational Charts & Posters
39,2020-10-19,4009.0,Educational Charts & Posters
40,2020-10-20,4009.0,Educational Charts & Posters
41,2020-10-21,4009.0,Educational Charts & Posters
42,2020-10-22,3238.0,Educational Charts & Posters
43,2020-10-23,3136.0,Educational Charts & Posters
44,2020-10-24,3136.0,Educational Charts & Posters
45,2020-10-25,2952.0,Educational Charts & Posters
46,2020-10-26,2952.0,Educational Charts & Posters
47,2020-10-27,2952.0,Educational Charts & Posters
48,2020-10-28,3279.0,Educational Charts & Posters
49,2020-10-29,3279.0,Educational Charts & Posters
50,2020-10-30,2261.0,Educational Charts & Posters
51,2020-10-31,2261.0,Educational Charts & Posters
52,2020-11-01,2732.0,Educational Charts & Posters
53,2020-11-02,2732.0,Educational Charts & Posters
54,2020-11-03,2732.0,Educational Charts & Posters
55,2020-11-04,3596.0,Educational Charts & Posters
56,2020-11-05,3777.0,Educational Charts & Posters
57,2020-11-06,3537.0,Educational Charts & Posters
58,2020-11-07,3331.0,Educational Charts & Posters
59,2020-11-08,3331.0,Educational Charts & Posters
60,2020-11-09,3331.0,Educational Charts & Posters
61,2020-11-10,3770.0,Educational Charts & Posters
62,2020-11-11,3770.0,Educational Charts & Posters
63,2020-11-12,3770.0,Educational Charts & Posters
64,2020-11-13,3770.0,Educational Charts & Posters
65,2020-11-14,3770.0,Educational Charts & Posters
66,2020-11-15,2188.0,Educational Charts & Posters
67,2020-11-16,2188.0,Educational Charts & Posters
68,2020-11-17,2188.0,Educational Charts & Posters
69,2020-11-18,3562.0,Educational Charts & Posters
70,2020-11-19,4804.0,Educational Charts & Posters
71,2020-11-20,3809.0,Educational Charts & Posters
72,2020-11-21,3809.0,Educational Charts & Posters
73,2020-11-22,3809.0,Educational Charts & Posters
74,2020-11-23,4105.0,Educational Charts & Posters
75,2020-11-24,6744.0,Educational Charts & Posters
76,2020-11-25,6744.0,Educational Charts & Posters
77,2020-11-26,6495.0,Educational Charts & Posters
78,2020-11-27,6495.0,Educational Charts & Posters
79,2020-11-28,6495.0,Educational Charts & Posters
80,2020-11-29,6495.0,Educational Charts & Posters
81,2020-11-30,7068.0,Educational Charts & Posters
82,2020-12-01,7068.0,Educational Charts & Posters
83,2020-12-02,7068.0,Educational Charts & Posters
84,2020-12-03,4679.0,Educational Charts & Posters
85,2020-12-04,4679.0,Educational Charts & Posters
86,2020-12-05,4679.0,Educational Charts & Posters
87,2020-12-06,4679.0,Educational Charts & Posters
88,2020-12-07,7010.0,Educational Charts & Posters
89,2020-12-08,5736.0,Educational Charts & Posters
90,2020-12-09,6179.0,Educational Charts & Posters
