,date,value,name_B07TKZ16R9
0,2020-01-27,147836.0,Sheet & Pillowcase Sets
1,2020-01-28,140885.0,Sheet & Pillowcase Sets
2,2020-01-29,227137.0,Sheet & Pillowcase Sets
3,2020-01-30,107489.0,Sheet & Pillowcase Sets
4,2020-01-31,107489.0,Sheet & Pillowcase Sets
5,2020-02-01,107489.0,Sheet & Pillowcase Sets
6,2020-02-02,107489.0,Sheet & Pillowcase Sets
7,2020-02-03,238134.0,Sheet & Pillowcase Sets
8,2020-02-04,238134.0,Sheet & Pillowcase Sets
9,2020-02-05,216440.0,Sheet & Pillowcase Sets
10,2020-02-06,330366.0,Sheet & Pillowcase Sets
11,2020-02-07,330366.0,Sheet & Pillowcase Sets
12,2020-02-08,330366.0,Sheet & Pillowcase Sets
13,2020-02-09,330366.0,Sheet & Pillowcase Sets
14,2020-02-10,191665.0,Sheet & Pillowcase Sets
15,2020-02-11,263599.0,Sheet & Pillowcase Sets
16,2020-02-12,263599.0,Sheet & Pillowcase Sets
17,2020-02-13,263599.0,Sheet & Pillowcase Sets
18,2020-02-14,263599.0,Sheet & Pillowcase Sets
19,2020-02-15,192721.0,Sheet & Pillowcase Sets
20,2020-02-16,192721.0,Sheet & Pillowcase Sets
21,2020-02-17,85356.0,Sheet & Pillowcase Sets
22,2020-02-18,85356.0,Sheet & Pillowcase Sets
23,2020-02-19,194291.0,Sheet & Pillowcase Sets
24,2020-02-20,94386.0,Sheet & Pillowcase Sets
25,2020-02-21,94386.0,Sheet & Pillowcase Sets
26,2020-02-22,94386.0,Sheet & Pillowcase Sets
27,2020-02-23,63135.0,Sheet & Pillowcase Sets
28,2020-02-24,105132.0,Sheet & Pillowcase Sets
29,2020-02-25,146848.0,Sheet & Pillowcase Sets
30,2020-02-26,63144.0,Sheet & Pillowcase Sets
31,2020-02-27,97373.0,Sheet & Pillowcase Sets
32,2020-02-28,107985.0,Sheet & Pillowcase Sets
33,2020-02-29,107985.0,Sheet & Pillowcase Sets
34,2020-03-01,107985.0,Sheet & Pillowcase Sets
35,2020-03-02,63950.0,Sheet & Pillowcase Sets
36,2020-03-03,73074.0,Sheet & Pillowcase Sets
37,2020-03-04,73074.0,Sheet & Pillowcase Sets
38,2020-03-05,73074.0,Sheet & Pillowcase Sets
39,2020-03-06,73074.0,Sheet & Pillowcase Sets
40,2020-03-07,73074.0,Sheet & Pillowcase Sets
41,2020-03-08,38013.0,Sheet & Pillowcase Sets
42,2020-03-09,38013.0,Sheet & Pillowcase Sets
43,2020-03-10,38013.0,Sheet & Pillowcase Sets
44,2020-03-11,38013.0,Sheet & Pillowcase Sets
45,2020-03-12,38013.0,Sheet & Pillowcase Sets
46,2020-03-13,28320.0,Sheet & Pillowcase Sets
47,2020-03-14,28320.0,Sheet & Pillowcase Sets
