,date,value,name_B08CZFMQ6M
0,2020-07-21,7608.0,Swings
1,2020-07-22,7608.0,Swings
2,2020-07-23,11680.0,Swings
3,2020-07-24,11680.0,Swings
4,2020-07-25,11680.0,Swings
5,2020-07-26,10646.0,Swings
6,2020-07-27,10646.0,Swings
7,2020-07-28,19484.0,Swings
8,2020-07-29,19484.0,Swings
9,2020-07-30,19484.0,Swings
10,2020-07-31,26357.0,Swings
11,2020-08-01,26357.0,Swings
12,2020-08-02,26357.0,Swings
13,2020-08-03,29614.0,Swings
14,2020-08-04,29614.0,Swings
15,2020-08-05,29614.0,Swings
16,2020-08-06,29614.0,Swings
17,2020-08-07,20109.0,Swings
18,2020-08-08,20109.0,Swings
19,2020-08-09,20109.0,Swings
20,2020-08-10,10852.0,Swings
21,2020-08-11,10852.0,Swings
22,2020-08-12,10852.0,Swings
23,2020-08-13,12957.0,Swings
24,2020-08-14,12957.0,Swings
25,2020-08-15,12957.0,Swings
26,2020-08-16,13392.0,Swings
27,2020-08-17,13392.0,Swings
28,2020-08-18,10278.0,Swings
29,2020-08-19,10278.0,Swings
30,2020-08-20,10278.0,Swings
31,2020-08-21,9229.0,Swings
32,2020-08-22,9229.0,Swings
33,2020-08-23,9229.0,Swings
34,2020-08-24,8523.0,Swings
35,2020-08-25,8523.0,Swings
36,2020-08-26,8523.0,Swings
37,2020-08-27,14959.0,Swings
38,2020-08-28,15415.0,Swings
39,2020-08-29,15415.0,Swings
40,2020-08-30,15415.0,Swings
41,2020-08-31,9785.0,Swings
42,2020-09-01,9785.0,Swings
43,2020-09-02,11289.0,Swings
44,2020-09-03,11289.0,Swings
45,2020-09-04,11289.0,Swings
46,2020-09-05,6940.0,Swings
47,2020-09-06,6940.0,Swings
48,2020-09-07,5373.0,Swings
49,2020-09-08,3785.0,Swings
50,2020-09-09,3785.0,Swings
51,2020-09-10,5475.0,Swings
52,2020-09-11,5475.0,Swings
53,2020-09-12,5475.0,Swings
54,2020-09-13,3931.0,Swings
55,2020-09-14,4341.0,Swings
56,2020-09-15,7089.0,Swings
57,2020-09-16,7089.0,Swings
58,2020-09-17,7089.0,Swings
59,2020-09-18,7230.0,Swings
60,2020-09-19,5542.0,Swings
61,2020-09-20,5542.0,Swings
62,2020-09-21,6039.0,Swings
63,2020-09-22,6039.0,Swings
64,2020-09-23,5164.0,Swings
65,2020-09-24,5164.0,Swings
66,2020-09-25,5338.0,Swings
67,2020-09-26,5338.0,Swings
68,2020-09-27,5338.0,Swings
69,2020-09-28,6667.0,Swings
70,2020-09-29,6667.0,Swings
71,2020-09-30,9502.0,Swings
72,2020-10-01,9502.0,Swings
73,2020-10-02,8872.0,Swings
74,2020-10-03,8872.0,Swings
75,2020-10-04,8872.0,Swings
76,2020-10-05,5238.0,Swings
77,2020-10-06,5740.0,Swings
78,2020-10-07,4751.0,Swings
79,2020-10-08,4751.0,Swings
80,2020-10-09,4751.0,Swings
81,2020-10-10,5310.0,Swings
82,2020-10-11,5310.0,Swings
83,2020-10-12,5310.0,Swings
84,2020-10-13,5109.0,Swings
85,2020-10-14,5109.0,Swings
86,2020-10-15,5622.0,Swings
87,2020-10-16,7360.0,Swings
88,2020-10-17,7360.0,Swings
89,2020-10-18,7360.0,Swings
90,2020-10-19,9519.0,Swings
91,2020-10-20,9519.0,Swings
92,2020-10-21,7468.0,Swings
93,2020-10-22,7468.0,Swings
94,2020-10-23,7468.0,Swings
95,2020-10-24,7468.0,Swings
96,2020-10-25,8015.0,Swings
97,2020-10-26,8015.0,Swings
98,2020-10-27,13027.0,Swings
99,2020-10-28,13027.0,Swings
100,2020-10-29,13027.0,Swings
101,2020-10-30,15151.0,Swings
102,2020-10-31,15151.0,Swings
103,2020-11-01,15151.0,Swings
104,2020-11-02,13121.0,Swings
105,2020-11-03,12818.0,Swings
106,2020-11-04,12818.0,Swings
107,2020-11-05,12818.0,Swings
108,2020-11-06,10467.0,Swings
109,2020-11-07,10467.0,Swings
110,2020-11-08,9216.0,Swings
111,2020-11-09,9216.0,Swings
112,2020-11-10,9216.0,Swings
113,2020-11-11,9216.0,Swings
114,2020-11-12,13317.0,Swings
115,2020-11-13,15129.0,Swings
116,2020-11-14,15129.0,Swings
117,2020-11-15,15129.0,Swings
118,2020-11-16,11521.0,Swings
119,2020-11-17,13180.0,Swings
120,2020-11-18,13180.0,Swings
121,2020-11-19,13180.0,Swings
122,2020-11-20,17152.0,Swings
123,2020-11-21,17152.0,Swings
124,2020-11-22,17152.0,Swings
125,2020-11-23,13991.0,Swings
126,2020-11-24,13991.0,Swings
127,2020-11-25,13991.0,Swings
