,date,value,name_B07XGJ3K6M
0,2021-04-07,17958.0,Towel Sets
1,2021-04-08,17199.0,Towel Sets
2,2021-04-09,17199.0,Towel Sets
3,2021-04-10,14379.0,Towel Sets
4,2021-04-11,14379.0,Towel Sets
5,2021-04-12,19582.0,Towel Sets
6,2021-04-13,13851.0,Towel Sets
7,2021-04-14,13851.0,Towel Sets
8,2021-04-15,19020.0,Towel Sets
9,2021-04-16,19020.0,Towel Sets
10,2021-04-17,19020.0,Towel Sets
11,2021-04-18,18665.0,Towel Sets
12,2021-04-19,22340.0,Towel Sets
13,2021-04-20,22340.0,Towel Sets
14,2021-04-21,22340.0,Towel Sets
15,2021-04-22,22340.0,Towel Sets
16,2021-04-23,20685.0,Towel Sets
17,2021-04-24,18903.0,Towel Sets
18,2021-04-25,18903.0,Towel Sets
19,2021-04-26,18903.0,Towel Sets
20,2021-04-27,19476.0,Towel Sets
21,2021-04-28,19476.0,Towel Sets
22,2021-04-29,19476.0,Towel Sets
23,2021-04-30,22973.0,Towel Sets
24,2021-05-01,22973.0,Towel Sets
25,2021-05-02,22973.0,Towel Sets
26,2021-05-03,21341.0,Towel Sets
27,2021-05-04,21341.0,Towel Sets
28,2021-05-05,26850.0,Towel Sets
29,2021-05-06,19222.0,Towel Sets
30,2021-05-07,19222.0,Towel Sets
31,2021-05-08,19222.0,Towel Sets
32,2021-05-09,19222.0,Towel Sets
33,2021-05-10,22294.0,Towel Sets
34,2021-05-11,22294.0,Towel Sets
35,2021-05-12,18039.0,Towel Sets
36,2021-05-13,18039.0,Towel Sets
37,2021-05-14,18039.0,Towel Sets
38,2021-05-15,15259.0,Towel Sets
39,2021-05-16,15259.0,Towel Sets
40,2021-05-17,13760.0,Towel Sets
41,2021-05-18,15993.0,Towel Sets
42,2021-05-19,20397.0,Towel Sets
43,2021-05-20,17347.0,Towel Sets
44,2021-05-21,17347.0,Towel Sets
45,2021-05-22,17347.0,Towel Sets
46,2021-05-23,17347.0,Towel Sets
47,2021-05-24,26417.0,Towel Sets
48,2021-05-25,21505.0,Towel Sets
49,2021-05-26,21505.0,Towel Sets
50,2021-05-27,29735.0,Towel Sets
51,2021-05-28,28495.0,Towel Sets
52,2021-05-29,28495.0,Towel Sets
53,2021-05-30,17888.0,Towel Sets
54,2021-05-31,17888.0,Towel Sets
55,2021-06-01,17888.0,Towel Sets
56,2021-06-02,19187.0,Towel Sets
57,2021-06-03,22855.0,Towel Sets
58,2021-06-04,20970.0,Towel Sets
59,2021-06-05,20970.0,Towel Sets
60,2021-06-06,20970.0,Towel Sets
61,2021-06-07,18330.0,Towel Sets
62,2021-06-08,18330.0,Towel Sets
63,2021-06-09,17292.0,Towel Sets
64,2021-06-10,20454.0,Towel Sets
65,2021-06-11,20454.0,Towel Sets
66,2021-06-12,20454.0,Towel Sets
67,2021-06-13,14040.0,Towel Sets
68,2021-06-14,14040.0,Towel Sets
69,2021-06-15,14040.0,Towel Sets
70,2021-06-16,17378.0,Towel Sets
