,date,value,name_B0828CB3YP
0,2019-12-12,56861.0,Lunch Bags
1,2019-12-13,56861.0,Lunch Bags
2,2019-12-14,56861.0,Lunch Bags
3,2019-12-15,41516.0,Lunch Bags
4,2019-12-16,24736.0,Lunch Bags
5,2019-12-17,24736.0,Lunch Bags
6,2019-12-18,24736.0,Lunch Bags
7,2019-12-19,16146.0,Lunch Bags
8,2019-12-20,12495.0,Lunch Bags
9,2019-12-21,12495.0,Lunch Bags
10,2019-12-22,12495.0,Lunch Bags
11,2019-12-23,12593.0,Lunch Bags
12,2019-12-24,12593.0,Lunch Bags
13,2019-12-25,12593.0,Lunch Bags
14,2019-12-26,15404.0,Lunch Bags
15,2019-12-27,15859.0,Lunch Bags
16,2019-12-28,15859.0,Lunch Bags
17,2019-12-29,15859.0,Lunch Bags
18,2019-12-30,15859.0,Lunch Bags
19,2019-12-31,6762.0,Lunch Bags
20,2020-01-01,6762.0,Lunch Bags
21,2020-01-02,6762.0,Lunch Bags
22,2020-01-03,5235.0,Lunch Bags
23,2020-01-04,5235.0,Lunch Bags
24,2020-01-05,5235.0,Lunch Bags
25,2020-01-06,4958.0,Lunch Bags
26,2020-01-07,3009.0,Lunch Bags
27,2020-01-08,2992.0,Lunch Bags
28,2020-01-09,3386.0,Lunch Bags
29,2020-01-10,3386.0,Lunch Bags
30,2020-01-11,3386.0,Lunch Bags
31,2020-01-12,5271.0,Lunch Bags
32,2020-01-13,4402.0,Lunch Bags
33,2020-01-14,4919.0,Lunch Bags
34,2020-01-15,4387.0,Lunch Bags
35,2020-01-16,4484.0,Lunch Bags
36,2020-01-17,4488.0,Lunch Bags
37,2020-01-18,4126.0,Lunch Bags
38,2020-01-19,4126.0,Lunch Bags
39,2020-01-20,5730.0,Lunch Bags
40,2020-01-21,5730.0,Lunch Bags
41,2020-01-22,5730.0,Lunch Bags
42,2020-01-23,8260.0,Lunch Bags
43,2020-01-24,8260.0,Lunch Bags
44,2020-01-25,8260.0,Lunch Bags
45,2020-01-26,8198.0,Lunch Bags
46,2020-01-27,8198.0,Lunch Bags
47,2020-01-28,8198.0,Lunch Bags
48,2020-01-29,6805.0,Lunch Bags
49,2020-01-30,7470.0,Lunch Bags
50,2020-01-31,7470.0,Lunch Bags
51,2020-02-01,9154.0,Lunch Bags
52,2020-02-02,9154.0,Lunch Bags
53,2020-02-03,9154.0,Lunch Bags
54,2020-02-04,9154.0,Lunch Bags
55,2020-02-05,9154.0,Lunch Bags
56,2020-02-06,9154.0,Lunch Bags
57,2020-02-07,8623.0,Lunch Bags
58,2020-02-08,10693.0,Lunch Bags
59,2020-02-09,10693.0,Lunch Bags
60,2020-02-10,10693.0,Lunch Bags
61,2020-02-11,10693.0,Lunch Bags
62,2020-02-12,10693.0,Lunch Bags
63,2020-02-13,37164.0,Lunch Bags
64,2020-02-14,37164.0,Lunch Bags
65,2020-02-15,37164.0,Lunch Bags
66,2020-02-16,37164.0,Lunch Bags
67,2020-02-17,37164.0,Lunch Bags
68,2020-02-18,68265.0,Lunch Bags
69,2020-02-19,68265.0,Lunch Bags
70,2020-02-20,68265.0,Lunch Bags
71,2020-02-21,68265.0,Lunch Bags
72,2020-02-22,68265.0,Lunch Bags
73,2020-02-23,68265.0,Lunch Bags
74,2020-02-24,68265.0,Lunch Bags
75,2020-02-25,68265.0,Lunch Bags
76,2020-02-26,68265.0,Lunch Bags
77,2020-02-27,127515.0,Lunch Bags
78,2020-02-28,127515.0,Lunch Bags
79,2020-02-29,127515.0,Lunch Bags
80,2020-03-01,127515.0,Lunch Bags
81,2020-03-02,127515.0,Lunch Bags
82,2020-03-03,132813.0,Lunch Bags
83,2020-03-04,132813.0,Lunch Bags
84,2020-03-05,132813.0,Lunch Bags
85,2020-03-06,132813.0,Lunch Bags
86,2020-03-07,132813.0,Lunch Bags
87,2020-03-08,132813.0,Lunch Bags
88,2020-03-09,-1.0,Lunch Bags
