,date,value,name_B0894H4YTM
0,2020-06-30,82143.0,Throw Pillow Covers
1,2020-07-01,82143.0,Throw Pillow Covers
2,2020-07-02,82143.0,Throw Pillow Covers
3,2020-07-03,82143.0,Throw Pillow Covers
4,2020-07-04,31605.0,Throw Pillow Covers
5,2020-07-05,31605.0,Throw Pillow Covers
6,2020-07-06,31605.0,Throw Pillow Covers
7,2020-07-07,24603.0,Throw Pillow Covers
8,2020-07-08,24603.0,Throw Pillow Covers
9,2020-07-09,27214.0,Throw Pillow Covers
10,2020-07-10,27214.0,Throw Pillow Covers
11,2020-07-11,27214.0,Throw Pillow Covers
12,2020-07-12,27214.0,Throw Pillow Covers
13,2020-07-13,38668.0,Throw Pillow Covers
14,2020-07-14,38668.0,Throw Pillow Covers
15,2020-07-15,27471.0,Throw Pillow Covers
16,2020-07-16,44022.0,Throw Pillow Covers
17,2020-07-17,44022.0,Throw Pillow Covers
18,2020-07-18,36764.0,Throw Pillow Covers
19,2020-07-19,36764.0,Throw Pillow Covers
20,2020-07-20,36764.0,Throw Pillow Covers
21,2020-07-21,36764.0,Throw Pillow Covers
22,2020-07-22,36764.0,Throw Pillow Covers
23,2020-07-23,36764.0,Throw Pillow Covers
24,2020-07-24,33677.0,Throw Pillow Covers
25,2020-07-25,33677.0,Throw Pillow Covers
26,2020-07-26,33677.0,Throw Pillow Covers
27,2020-07-27,28794.0,Throw Pillow Covers
28,2020-07-28,28794.0,Throw Pillow Covers
29,2020-07-29,35512.0,Throw Pillow Covers
30,2020-07-30,32896.0,Throw Pillow Covers
31,2020-07-31,24405.0,Throw Pillow Covers
32,2020-08-01,24405.0,Throw Pillow Covers
33,2020-08-02,24405.0,Throw Pillow Covers
34,2020-08-03,26932.0,Throw Pillow Covers
35,2020-08-04,26932.0,Throw Pillow Covers
36,2020-08-05,16991.0,Throw Pillow Covers
37,2020-08-06,19132.0,Throw Pillow Covers
38,2020-08-07,19132.0,Throw Pillow Covers
39,2020-08-08,19132.0,Throw Pillow Covers
40,2020-08-09,14575.0,Throw Pillow Covers
41,2020-08-10,11974.0,Throw Pillow Covers
42,2020-08-11,11974.0,Throw Pillow Covers
43,2020-08-12,12924.0,Throw Pillow Covers
44,2020-08-13,11668.0,Throw Pillow Covers
45,2020-08-14,11669.0,Throw Pillow Covers
46,2020-08-15,11669.0,Throw Pillow Covers
47,2020-08-16,11669.0,Throw Pillow Covers
48,2020-08-17,12774.0,Throw Pillow Covers
49,2020-08-18,12774.0,Throw Pillow Covers
50,2020-08-19,10888.0,Throw Pillow Covers
51,2020-08-20,7696.0,Throw Pillow Covers
