,date,value,name_B08TT3W72H
0,2021-03-26,27311.0,Flags
1,2021-03-27,17213.0,Flags
2,2021-03-28,17213.0,Flags
3,2021-03-29,10458.0,Flags
4,2021-03-30,13290.0,Flags
5,2021-03-31,10089.0,Flags
6,2021-04-01,6493.0,Flags
7,2021-04-02,6605.0,Flags
8,2021-04-03,9258.0,Flags
9,2021-04-04,7758.0,Flags
10,2021-04-05,7774.0,Flags
11,2021-04-06,6717.0,Flags
12,2021-04-07,4810.0,Flags
13,2021-04-08,4110.0,Flags
14,2021-04-09,3832.0,Flags
15,2021-04-10,4372.0,Flags
16,2021-04-11,4344.0,Flags
17,2021-04-12,5030.0,Flags
18,2021-04-13,5842.0,Flags
19,2021-04-14,5445.0,Flags
20,2021-04-15,5612.0,Flags
21,2021-04-16,5235.0,Flags
22,2021-04-17,3229.0,Flags
23,2021-04-18,4946.0,Flags
24,2021-04-19,3788.0,Flags
25,2021-04-20,3361.0,Flags
26,2021-04-21,3958.0,Flags
27,2021-04-22,3955.0,Flags
28,2021-04-23,3686.0,Flags
29,2021-04-24,2875.0,Flags
30,2021-04-25,3234.0,Flags
31,2021-04-26,2842.0,Flags
32,2021-04-27,2842.0,Flags
33,2021-04-28,2529.0,Flags
34,2021-04-29,2189.0,Flags
35,2021-04-30,1559.0,Flags
36,2021-05-01,1620.0,Flags
37,2021-05-02,1620.0,Flags
38,2021-05-03,1980.0,Flags
39,2021-05-04,1719.0,Flags
40,2021-05-05,2299.0,Flags
41,2021-05-06,1912.0,Flags
42,2021-05-07,2077.0,Flags
43,2021-05-08,1924.0,Flags
44,2021-05-09,1743.0,Flags
45,2021-05-10,2091.0,Flags
46,2021-05-11,2161.0,Flags
47,2021-05-12,1500.0,Flags
48,2021-05-13,1368.0,Flags
49,2021-05-14,1505.0,Flags
50,2021-05-15,1140.0,Flags
51,2021-05-16,1119.0,Flags
52,2021-05-17,1659.0,Flags
53,2021-05-18,1659.0,Flags
54,2021-05-19,1674.0,Flags
55,2021-05-20,1647.0,Flags
56,2021-05-21,2488.0,Flags
57,2021-05-22,2061.0,Flags
58,2021-05-23,1878.0,Flags
59,2021-05-24,2789.0,Flags
60,2021-05-25,1842.0,Flags
61,2021-05-26,1633.0,Flags
62,2021-05-27,1688.0,Flags
63,2021-05-28,1657.0,Flags
64,2021-05-29,1482.0,Flags
65,2021-05-30,1689.0,Flags
66,2021-05-31,1643.0,Flags
67,2021-06-01,1668.0,Flags
68,2021-06-02,1709.0,Flags
69,2021-06-03,1878.0,Flags
70,2021-06-04,1576.0,Flags
71,2021-06-05,1182.0,Flags
72,2021-06-06,933.0,Flags
73,2021-06-07,923.0,Flags
74,2021-06-08,976.0,Flags
75,2021-06-09,1109.0,Flags
76,2021-06-10,1319.0,Flags
77,2021-06-11,1451.0,Flags
78,2021-06-12,589.0,Flags
79,2021-06-13,536.0,Flags
80,2021-06-14,292.0,Flags
81,2021-06-15,231.0,Flags
82,2021-06-16,248.0,Flags
83,2021-06-17,360.0,Flags
84,2021-06-18,397.0,Flags
85,2021-06-19,273.0,Flags
86,2021-06-20,468.0,Flags
87,2021-06-21,586.0,Flags
88,2021-06-22,1196.0,Flags
89,2021-06-23,1585.0,Flags
90,2021-06-24,1729.0,Flags
91,2021-06-25,2355.0,Flags
92,2021-06-26,1380.0,Flags
93,2021-06-27,1975.0,Flags
94,2021-06-28,2468.0,Flags
95,2021-06-29,4178.0,Flags
96,2021-06-30,1603.0,Flags
97,2021-07-01,3433.0,Flags
98,2021-07-02,2441.0,Flags
99,2021-07-03,1077.0,Flags
100,2021-07-04,1077.0,Flags
101,2021-07-05,582.0,Flags
102,2021-07-06,711.0,Flags
103,2021-07-07,793.0,Flags
104,2021-07-08,965.0,Flags
105,2021-07-09,965.0,Flags
106,2021-07-10,1713.0,Flags
