,date,value,name_B0848F8N74
0,2020-02-03,6924.0,Aprons
1,2020-02-04,4055.0,Aprons
2,2020-02-05,3882.0,Aprons
3,2020-02-06,3656.0,Aprons
4,2020-02-07,3656.0,Aprons
5,2020-02-08,3656.0,Aprons
6,2020-02-09,5399.0,Aprons
7,2020-02-10,5399.0,Aprons
8,2020-02-11,5399.0,Aprons
9,2020-02-12,3787.0,Aprons
10,2020-02-13,3259.0,Aprons
11,2020-02-14,3259.0,Aprons
12,2020-02-15,3469.0,Aprons
13,2020-02-16,3469.0,Aprons
14,2020-02-17,3469.0,Aprons
15,2020-02-18,4668.0,Aprons
16,2020-02-19,3649.0,Aprons
17,2020-02-20,3649.0,Aprons
18,2020-02-21,1434.0,Aprons
19,2020-02-22,937.0,Aprons
20,2020-02-23,937.0,Aprons
21,2020-02-24,1707.0,Aprons
22,2020-02-25,1707.0,Aprons
23,2020-02-26,3653.0,Aprons
24,2020-02-27,3328.0,Aprons
25,2020-02-28,4176.0,Aprons
26,2020-02-29,3651.0,Aprons
27,2020-03-01,3651.0,Aprons
28,2020-03-02,3651.0,Aprons
29,2020-03-03,4821.0,Aprons
30,2020-03-04,3645.0,Aprons
31,2020-03-05,4300.0,Aprons
32,2020-03-06,4114.0,Aprons
33,2020-03-07,3450.0,Aprons
34,2020-03-08,3450.0,Aprons
35,2020-03-09,6116.0,Aprons
36,2020-03-10,-1.0,Aprons
37,2020-03-11,-1.0,Aprons
38,2020-03-12,-1.0,Aprons
39,2020-03-13,-1.0,Aprons
40,2020-03-14,-1.0,Aprons
41,2020-03-15,-1.0,Aprons
42,2020-03-16,-1.0,Aprons
43,2020-03-17,-1.0,Aprons
44,2020-03-18,-1.0,Aprons
45,2020-03-19,-1.0,Aprons
46,2020-03-20,-1.0,Aprons
47,2020-03-21,-1.0,Aprons
48,2020-03-22,-1.0,Aprons
49,2020-03-23,-1.0,Aprons
50,2020-03-24,-1.0,Aprons
51,2020-03-25,-1.0,Aprons
52,2020-03-26,-1.0,Aprons
53,2020-03-27,-1.0,Aprons
54,2020-03-28,-1.0,Aprons
55,2020-03-29,-1.0,Aprons
56,2020-03-30,-1.0,Aprons
57,2020-03-31,-1.0,Aprons
58,2020-04-01,-1.0,Aprons
59,2020-04-02,-1.0,Aprons
60,2020-04-03,-1.0,Aprons
61,2020-04-04,-1.0,Aprons
62,2020-04-05,-1.0,Aprons
63,2020-04-06,-1.0,Aprons
64,2020-04-07,-1.0,Aprons
