,date,value,name_B07SR7CJNN
0,2019-06-11,59812.0,Pots
1,2019-06-12,78597.0,Pots
2,2019-06-13,61581.0,Pots
3,2019-06-14,35247.0,Pots
4,2019-06-15,67892.0,Pots
5,2019-06-16,77181.0,Pots
6,2019-06-17,46594.0,Pots
7,2019-06-18,28247.0,Pots
8,2019-06-19,33707.0,Pots
9,2019-06-20,40738.0,Pots
10,2019-06-21,49031.0,Pots
11,2019-06-22,37150.0,Pots
12,2019-06-23,46949.0,Pots
13,2019-06-24,45614.0,Pots
14,2019-06-25,53120.0,Pots
15,2019-06-26,46066.0,Pots
16,2019-06-27,48010.0,Pots
17,2019-06-28,29421.0,Pots
18,2019-06-29,46245.0,Pots
19,2019-06-30,67214.0,Pots
20,2019-07-01,28776.0,Pots
21,2019-07-02,45119.0,Pots
22,2019-07-03,38449.0,Pots
23,2019-07-04,51152.0,Pots
24,2019-07-05,52055.0,Pots
25,2019-07-06,57534.0,Pots
26,2019-07-07,46701.0,Pots
27,2019-07-08,73216.0,Pots
28,2019-07-09,39052.0,Pots
29,2019-07-10,33157.0,Pots
30,2019-07-11,25575.0,Pots
31,2019-07-12,25575.0,Pots
32,2019-07-13,16797.0,Pots
33,2019-07-14,25191.0,Pots
34,2019-07-15,25191.0,Pots
35,2019-07-16,20440.0,Pots
36,2019-07-17,31160.0,Pots
37,2019-07-18,31160.0,Pots
38,2019-07-19,32457.0,Pots
39,2019-07-20,46529.0,Pots
40,2019-07-21,32459.0,Pots
41,2019-07-22,32459.0,Pots
42,2019-07-23,32459.0,Pots
43,2019-07-24,32459.0,Pots
44,2019-07-25,22503.0,Pots
45,2019-07-26,23168.0,Pots
46,2019-07-27,34885.0,Pots
47,2019-07-28,18293.0,Pots
48,2019-07-29,18293.0,Pots
49,2019-07-30,14242.0,Pots
50,2019-07-31,14242.0,Pots
51,2019-08-01,12264.0,Pots
52,2019-08-02,12264.0,Pots
53,2019-08-03,9832.0,Pots
54,2019-08-04,9832.0,Pots
55,2019-08-05,9832.0,Pots
56,2019-08-06,20852.0,Pots
57,2019-08-07,20852.0,Pots
58,2019-08-08,20852.0,Pots
59,2019-08-09,34886.0,Pots
60,2019-08-10,34886.0,Pots
61,2019-08-11,34886.0,Pots
62,2019-08-12,21545.0,Pots
63,2019-08-13,21545.0,Pots
64,2019-08-14,14157.0,Pots
65,2019-08-15,14157.0,Pots
66,2019-08-16,11619.0,Pots
67,2019-08-17,12510.0,Pots
68,2019-08-18,12510.0,Pots
69,2019-08-19,7349.0,Pots
70,2019-08-20,9496.0,Pots
71,2019-08-21,8405.0,Pots
72,2019-08-22,8405.0,Pots
73,2019-08-23,15154.0,Pots
74,2019-08-24,8115.0,Pots
75,2019-08-25,13975.0,Pots
76,2019-08-26,12638.0,Pots
77,2019-08-27,12638.0,Pots
78,2019-08-28,13561.0,Pots
79,2019-08-29,9540.0,Pots
80,2019-08-30,9540.0,Pots
81,2019-08-31,9540.0,Pots
82,2019-09-01,11325.0,Pots
83,2019-09-02,9068.0,Pots
84,2019-09-03,8415.0,Pots
85,2019-09-04,11442.0,Pots
86,2019-09-05,10597.0,Pots
87,2019-09-06,8936.0,Pots
88,2019-09-07,12236.0,Pots
89,2019-09-08,13507.0,Pots
90,2019-09-09,16909.0,Pots
91,2019-09-10,16909.0,Pots
92,2019-09-11,7405.0,Pots
93,2019-09-12,7978.0,Pots
94,2019-09-13,7273.0,Pots
95,2019-09-14,5660.0,Pots
96,2019-09-15,8548.0,Pots
97,2019-09-16,8836.0,Pots
98,2019-09-17,5496.0,Pots
99,2019-09-18,6221.0,Pots
100,2019-09-19,5284.0,Pots
101,2019-09-20,6078.0,Pots
102,2019-09-21,7900.0,Pots
103,2019-09-22,9657.0,Pots
104,2019-09-23,11425.0,Pots
105,2019-09-24,8174.0,Pots
106,2019-09-25,5809.0,Pots
107,2019-09-26,7842.0,Pots
108,2019-09-27,5535.0,Pots
109,2019-09-28,6384.0,Pots
110,2019-09-29,7993.0,Pots
111,2019-09-30,7993.0,Pots
112,2019-10-01,7967.0,Pots
113,2019-10-02,6906.0,Pots
114,2019-10-03,8323.0,Pots
115,2019-10-04,8323.0,Pots
116,2019-10-05,8323.0,Pots
117,2019-10-06,11240.0,Pots
118,2019-10-07,11240.0,Pots
119,2019-10-08,11240.0,Pots
120,2019-10-09,11639.0,Pots
121,2019-10-10,11639.0,Pots
122,2019-10-11,11639.0,Pots
123,2019-10-12,20225.0,Pots
124,2019-10-13,20225.0,Pots
125,2019-10-14,23843.0,Pots
126,2019-10-15,23843.0,Pots
127,2019-10-16,18817.0,Pots
128,2019-10-17,9781.0,Pots
129,2019-10-18,17146.0,Pots
130,2019-10-19,11880.0,Pots
131,2019-10-20,10162.0,Pots
132,2019-10-21,8015.0,Pots
133,2019-10-22,6164.0,Pots
134,2019-10-23,6581.0,Pots
135,2019-10-24,5725.0,Pots
136,2019-10-25,7943.0,Pots
137,2019-10-26,8725.0,Pots
138,2019-10-27,11475.0,Pots
139,2019-10-28,7739.0,Pots
140,2019-10-29,4897.0,Pots
141,2019-10-30,5607.0,Pots
142,2019-10-31,5226.0,Pots
143,2019-11-01,7217.0,Pots
144,2019-11-02,7217.0,Pots
145,2019-11-03,6924.0,Pots
146,2019-11-04,6924.0,Pots
147,2019-11-05,6946.0,Pots
148,2019-11-06,4421.0,Pots
149,2019-11-07,3770.0,Pots
150,2019-11-08,3770.0,Pots
151,2019-11-09,3747.0,Pots
152,2019-11-10,3747.0,Pots
153,2019-11-11,3747.0,Pots
154,2019-11-12,4342.0,Pots
155,2019-11-13,4427.0,Pots
156,2019-11-14,4427.0,Pots
157,2019-11-15,4427.0,Pots
158,2019-11-16,4427.0,Pots
159,2019-11-17,4427.0,Pots
160,2019-11-18,4147.0,Pots
161,2019-11-19,4147.0,Pots
162,2019-11-20,4147.0,Pots
163,2019-11-21,2572.0,Pots
164,2019-11-22,2572.0,Pots
165,2019-11-23,2572.0,Pots
166,2019-11-24,5309.0,Pots
167,2019-11-25,5309.0,Pots
168,2019-11-26,5309.0,Pots
169,2019-11-27,5309.0,Pots
170,2019-11-28,5309.0,Pots
171,2019-11-29,5309.0,Pots
172,2019-11-30,5309.0,Pots
173,2019-12-01,5309.0,Pots
174,2019-12-02,8094.0,Pots
175,2019-12-03,3319.0,Pots
176,2019-12-04,3319.0,Pots
177,2019-12-05,3319.0,Pots
178,2019-12-06,3319.0,Pots
179,2019-12-07,2349.0,Pots
180,2019-12-08,2349.0,Pots
181,2019-12-09,2972.0,Pots
182,2019-12-10,2972.0,Pots
183,2019-12-11,2363.0,Pots
184,2019-12-12,2363.0,Pots
185,2019-12-13,2363.0,Pots
186,2019-12-14,2175.0,Pots
187,2019-12-15,2175.0,Pots
188,2019-12-16,3414.0,Pots
189,2019-12-17,4147.0,Pots
190,2019-12-18,4071.0,Pots
191,2019-12-19,4477.0,Pots
192,2019-12-20,4789.0,Pots
193,2019-12-21,4789.0,Pots
194,2019-12-22,5642.0,Pots
195,2019-12-23,5642.0,Pots
196,2019-12-24,5642.0,Pots
197,2019-12-25,7575.0,Pots
198,2019-12-26,10230.0,Pots
199,2019-12-27,10230.0,Pots
200,2019-12-28,10230.0,Pots
201,2019-12-29,7536.0,Pots
202,2019-12-30,7536.0,Pots
203,2019-12-31,3985.0,Pots
204,2020-01-01,3985.0,Pots
205,2020-01-02,3985.0,Pots
206,2020-01-03,4068.0,Pots
207,2020-01-04,3860.0,Pots
208,2020-01-05,3860.0,Pots
209,2020-01-06,2532.0,Pots
210,2020-01-07,2532.0,Pots
211,2020-01-08,2532.0,Pots
212,2020-01-09,2532.0,Pots
213,2020-01-10,2532.0,Pots
214,2020-01-11,2532.0,Pots
215,2020-01-12,4653.0,Pots
216,2020-01-13,4653.0,Pots
217,2020-01-14,4653.0,Pots
218,2020-01-15,2129.0,Pots
219,2020-01-16,2129.0,Pots
220,2020-01-17,2129.0,Pots
221,2020-01-18,3263.0,Pots
222,2020-01-19,3263.0,Pots
223,2020-01-20,3263.0,Pots
224,2020-01-21,3263.0,Pots
225,2020-01-22,3263.0,Pots
226,2020-01-23,2773.0,Pots
227,2020-01-24,3036.0,Pots
228,2020-01-25,3036.0,Pots
229,2020-01-26,4042.0,Pots
230,2020-01-27,4110.0,Pots
231,2020-01-28,4110.0,Pots
