,date,value,name_B086Y7PTRZ
0,2020-04-14,31552.0,Shower Curtains
1,2020-04-15,31552.0,Shower Curtains
2,2020-04-16,31552.0,Shower Curtains
3,2020-04-17,30232.0,Shower Curtains
4,2020-04-18,30232.0,Shower Curtains
5,2020-04-19,30232.0,Shower Curtains
6,2020-04-20,30232.0,Shower Curtains
7,2020-04-21,30232.0,Shower Curtains
8,2020-04-22,30232.0,Shower Curtains
9,2020-04-23,30232.0,Shower Curtains
10,2020-04-24,24505.0,Shower Curtains
11,2020-04-25,24505.0,Shower Curtains
12,2020-04-26,24505.0,Shower Curtains
13,2020-04-27,24505.0,Shower Curtains
14,2020-04-28,24505.0,Shower Curtains
15,2020-04-29,24505.0,Shower Curtains
16,2020-04-30,24505.0,Shower Curtains
17,2020-05-01,24505.0,Shower Curtains
18,2020-05-02,25503.0,Shower Curtains
19,2020-05-03,25503.0,Shower Curtains
20,2020-05-04,25503.0,Shower Curtains
21,2020-05-05,25503.0,Shower Curtains
22,2020-05-06,25503.0,Shower Curtains
23,2020-05-07,27653.0,Shower Curtains
24,2020-05-08,27653.0,Shower Curtains
25,2020-05-09,27653.0,Shower Curtains
26,2020-05-10,27653.0,Shower Curtains
27,2020-05-11,31593.0,Shower Curtains
28,2020-05-12,31593.0,Shower Curtains
29,2020-05-13,31593.0,Shower Curtains
30,2020-05-14,31593.0,Shower Curtains
31,2020-05-15,31593.0,Shower Curtains
32,2020-05-16,31593.0,Shower Curtains
33,2020-05-17,31593.0,Shower Curtains
34,2020-05-18,26678.0,Shower Curtains
35,2020-05-19,26678.0,Shower Curtains
36,2020-05-20,26678.0,Shower Curtains
37,2020-05-21,26678.0,Shower Curtains
38,2020-05-22,30201.0,Shower Curtains
39,2020-05-23,30201.0,Shower Curtains
40,2020-05-24,20547.0,Shower Curtains
41,2020-05-25,23669.0,Shower Curtains
42,2020-05-26,19611.0,Shower Curtains
43,2020-05-27,17395.0,Shower Curtains
44,2020-05-28,23879.0,Shower Curtains
