,date,value,name_B093YZYP6W
0,2021-05-06,106.0,Flags
1,2021-05-07,104.0,Flags
2,2021-05-08,104.0,Flags
3,2021-05-09,88.0,Flags
4,2021-05-10,88.0,Flags
5,2021-05-11,71.0,Flags
6,2021-05-12,71.0,Flags
7,2021-05-13,81.0,Flags
8,2021-05-14,81.0,Flags
9,2021-05-15,70.0,Flags
10,2021-05-16,70.0,Flags
11,2021-05-17,69.0,Flags
12,2021-05-18,84.0,Flags
13,2021-05-19,79.0,Flags
14,2021-05-20,74.0,Flags
15,2021-05-21,74.0,Flags
16,2021-05-22,70.0,Flags
17,2021-05-23,70.0,Flags
18,2021-05-24,78.0,Flags
19,2021-05-25,77.0,Flags
20,2021-05-26,77.0,Flags
21,2021-05-27,77.0,Flags
22,2021-05-28,64.0,Flags
23,2021-05-29,64.0,Flags
24,2021-05-30,64.0,Flags
25,2021-05-31,57.0,Flags
26,2021-06-01,54.0,Flags
27,2021-06-02,54.0,Flags
28,2021-06-03,82.0,Flags
29,2021-06-04,82.0,Flags
30,2021-06-05,91.0,Flags
31,2021-06-06,91.0,Flags
32,2021-06-07,91.0,Flags
33,2021-06-08,117.0,Flags
34,2021-06-09,117.0,Flags
35,2021-06-10,92.0,Flags
36,2021-06-11,92.0,Flags
37,2021-06-12,75.0,Flags
38,2021-06-13,75.0,Flags
39,2021-06-14,78.0,Flags
40,2021-06-15,78.0,Flags
41,2021-06-16,60.0,Flags
42,2021-06-17,60.0,Flags
43,2021-06-18,79.0,Flags
44,2021-06-19,79.0,Flags
45,2021-06-20,70.0,Flags
46,2021-06-21,79.0,Flags
47,2021-06-22,79.0,Flags
48,2021-06-23,156.0,Flags
49,2021-06-24,135.0,Flags
50,2021-06-25,68.0,Flags
51,2021-06-26,57.0,Flags
52,2021-06-27,57.0,Flags
53,2021-06-28,35.0,Flags
54,2021-06-29,36.0,Flags
55,2021-06-30,40.0,Flags
56,2021-07-01,40.0,Flags
57,2021-07-02,46.0,Flags
58,2021-07-03,38.0,Flags
59,2021-07-04,63.0,Flags
60,2021-07-05,63.0,Flags
61,2021-07-06,92.0,Flags
62,2021-07-07,101.0,Flags
63,2021-07-08,135.0,Flags
64,2021-07-09,135.0,Flags
65,2021-07-10,128.0,Flags
