,date,value,name_B08NCNCSL7
0,2021-02-11,4065.0,Drip Pans
1,2021-02-12,4065.0,Drip Pans
2,2021-02-13,4065.0,Drip Pans
3,2021-02-14,4065.0,Drip Pans
4,2021-02-15,3281.0,Drip Pans
5,2021-02-16,3281.0,Drip Pans
6,2021-02-17,4662.0,Drip Pans
7,2021-02-18,4662.0,Drip Pans
8,2021-02-19,4662.0,Drip Pans
9,2021-02-20,8399.0,Drip Pans
10,2021-02-21,8399.0,Drip Pans
11,2021-02-22,8399.0,Drip Pans
12,2021-02-23,5586.0,Drip Pans
13,2021-02-24,5586.0,Drip Pans
14,2021-02-25,4453.0,Drip Pans
15,2021-02-26,4453.0,Drip Pans
16,2021-02-27,4453.0,Drip Pans
17,2021-02-28,6337.0,Drip Pans
18,2021-03-01,6337.0,Drip Pans
19,2021-03-02,7146.0,Drip Pans
20,2021-03-03,11570.0,Drip Pans
21,2021-03-04,11570.0,Drip Pans
22,2021-03-05,11570.0,Drip Pans
23,2021-03-06,6686.0,Drip Pans
24,2021-03-07,6686.0,Drip Pans
25,2021-03-08,6686.0,Drip Pans
26,2021-03-09,14300.0,Drip Pans
27,2021-03-10,14300.0,Drip Pans
28,2021-03-11,14300.0,Drip Pans
29,2021-03-12,14078.0,Drip Pans
30,2021-03-13,14078.0,Drip Pans
31,2021-03-14,14078.0,Drip Pans
32,2021-03-15,14078.0,Drip Pans
33,2021-03-16,74717.0,Drip Pans
34,2021-03-17,74717.0,Drip Pans
35,2021-03-18,74717.0,Drip Pans
36,2021-03-19,74717.0,Drip Pans
37,2021-03-20,74717.0,Drip Pans
38,2021-03-21,74717.0,Drip Pans
39,2021-03-22,135584.0,Drip Pans
40,2021-03-23,135584.0,Drip Pans
41,2021-03-24,135584.0,Drip Pans
42,2021-03-25,135584.0,Drip Pans
43,2021-03-26,33720.0,Drip Pans
44,2021-03-27,12966.0,Drip Pans
45,2021-03-28,12966.0,Drip Pans
46,2021-03-29,12966.0,Drip Pans
47,2021-03-30,12265.0,Drip Pans
48,2021-03-31,12265.0,Drip Pans
49,2021-04-01,12265.0,Drip Pans
50,2021-04-02,12265.0,Drip Pans
51,2021-04-03,4422.0,Drip Pans
52,2021-04-04,5353.0,Drip Pans
53,2021-04-05,5353.0,Drip Pans
54,2021-04-06,5353.0,Drip Pans
55,2021-04-07,3754.0,Drip Pans
56,2021-04-08,3754.0,Drip Pans
57,2021-04-09,4943.0,Drip Pans
58,2021-04-10,4943.0,Drip Pans
