,date,value,name_B07PGQ4BYY
0,2020-05-28,34639.0,Paper & Paper Crafts
1,2020-05-29,34639.0,Paper & Paper Crafts
2,2020-05-30,34639.0,Paper & Paper Crafts
3,2020-05-31,34639.0,Paper & Paper Crafts
4,2020-06-01,34639.0,Paper & Paper Crafts
5,2020-06-02,34639.0,Paper & Paper Crafts
6,2020-06-03,41189.0,Paper & Paper Crafts
7,2020-06-04,41189.0,Paper & Paper Crafts
8,2020-06-05,41189.0,Paper & Paper Crafts
9,2020-06-06,41189.0,Paper & Paper Crafts
10,2020-06-07,41189.0,Paper & Paper Crafts
11,2020-06-08,41189.0,Paper & Paper Crafts
12,2020-06-09,41189.0,Paper & Paper Crafts
13,2020-06-10,41189.0,Paper & Paper Crafts
14,2020-06-11,41189.0,Paper & Paper Crafts
15,2020-06-12,41189.0,Paper & Paper Crafts
16,2020-06-13,7976.0,Paper & Paper Crafts
17,2020-06-14,7976.0,Paper & Paper Crafts
18,2020-06-15,7976.0,Paper & Paper Crafts
19,2020-06-16,3777.0,Paper & Paper Crafts
20,2020-06-17,3777.0,Paper & Paper Crafts
21,2020-06-18,3777.0,Paper & Paper Crafts
22,2020-06-19,3121.0,Paper & Paper Crafts
23,2020-06-20,3121.0,Paper & Paper Crafts
24,2020-06-21,3121.0,Paper & Paper Crafts
25,2020-06-22,3121.0,Paper & Paper Crafts
26,2020-06-23,3121.0,Paper & Paper Crafts
27,2020-06-24,2711.0,Paper & Paper Crafts
28,2020-06-25,2711.0,Paper & Paper Crafts
29,2020-06-26,2711.0,Paper & Paper Crafts
30,2020-06-27,2711.0,Paper & Paper Crafts
31,2020-06-28,2711.0,Paper & Paper Crafts
32,2020-06-29,1607.0,Paper & Paper Crafts
33,2020-06-30,1768.0,Paper & Paper Crafts
34,2020-07-01,1768.0,Paper & Paper Crafts
35,2020-07-02,1768.0,Paper & Paper Crafts
36,2020-07-03,1604.0,Paper & Paper Crafts
37,2020-07-04,1604.0,Paper & Paper Crafts
38,2020-07-05,1420.0,Paper & Paper Crafts
39,2020-07-06,1420.0,Paper & Paper Crafts
40,2020-07-07,1420.0,Paper & Paper Crafts
41,2020-07-08,1420.0,Paper & Paper Crafts
42,2020-07-09,1420.0,Paper & Paper Crafts
43,2020-07-10,1420.0,Paper & Paper Crafts
44,2020-07-11,1862.0,Paper & Paper Crafts
45,2020-07-12,2321.0,Paper & Paper Crafts
46,2020-07-13,2321.0,Paper & Paper Crafts
47,2020-07-14,2321.0,Paper & Paper Crafts
48,2020-07-15,4420.0,Paper & Paper Crafts
49,2020-07-16,4420.0,Paper & Paper Crafts
50,2020-07-17,4420.0,Paper & Paper Crafts
51,2020-07-18,4420.0,Paper & Paper Crafts
52,2020-07-19,4420.0,Paper & Paper Crafts
53,2020-07-20,4420.0,Paper & Paper Crafts
54,2020-07-21,4420.0,Paper & Paper Crafts
55,2020-07-22,21262.0,Paper & Paper Crafts
56,2020-07-23,21262.0,Paper & Paper Crafts
57,2020-07-24,21262.0,Paper & Paper Crafts
58,2020-07-25,21262.0,Paper & Paper Crafts
59,2020-07-26,23517.0,Paper & Paper Crafts
60,2020-07-27,23517.0,Paper & Paper Crafts
61,2020-07-28,23517.0,Paper & Paper Crafts
62,2020-07-29,30056.0,Paper & Paper Crafts
63,2020-07-30,30056.0,Paper & Paper Crafts
64,2020-07-31,30056.0,Paper & Paper Crafts
65,2020-08-01,30056.0,Paper & Paper Crafts
66,2020-08-02,30056.0,Paper & Paper Crafts
67,2020-08-03,30056.0,Paper & Paper Crafts
68,2020-08-04,30056.0,Paper & Paper Crafts
69,2020-08-05,30056.0,Paper & Paper Crafts
70,2020-08-06,30056.0,Paper & Paper Crafts
71,2020-08-07,30056.0,Paper & Paper Crafts
72,2020-08-08,30056.0,Paper & Paper Crafts
73,2020-08-09,30056.0,Paper & Paper Crafts
74,2020-08-10,30056.0,Paper & Paper Crafts
75,2020-08-11,30056.0,Paper & Paper Crafts
76,2020-08-12,56172.0,Paper & Paper Crafts
77,2020-08-13,56172.0,Paper & Paper Crafts
78,2020-08-14,62384.0,Paper & Paper Crafts
79,2020-08-15,62384.0,Paper & Paper Crafts
80,2020-08-16,62384.0,Paper & Paper Crafts
81,2020-08-17,62384.0,Paper & Paper Crafts
82,2020-08-18,62384.0,Paper & Paper Crafts
83,2020-08-19,62384.0,Paper & Paper Crafts
84,2020-08-20,6737.0,Paper & Paper Crafts
85,2020-08-21,6737.0,Paper & Paper Crafts
86,2020-08-22,6737.0,Paper & Paper Crafts
87,2020-08-23,6737.0,Paper & Paper Crafts
88,2020-08-24,1938.0,Paper & Paper Crafts
89,2020-08-25,1938.0,Paper & Paper Crafts
90,2020-08-26,1938.0,Paper & Paper Crafts
