,date,value,name_B0869G5ZGQ
0,2020-03-25,6855.0,Under-Bed Storage
1,2020-03-26,6714.0,Under-Bed Storage
2,2020-03-27,16646.0,Under-Bed Storage
3,2020-03-28,8005.0,Under-Bed Storage
4,2020-03-29,7532.0,Under-Bed Storage
5,2020-03-30,7343.0,Under-Bed Storage
6,2020-03-31,7522.0,Under-Bed Storage
7,2020-04-01,9294.0,Under-Bed Storage
8,2020-04-02,7476.0,Under-Bed Storage
9,2020-04-03,9323.0,Under-Bed Storage
10,2020-04-04,7268.0,Under-Bed Storage
11,2020-04-05,9703.0,Under-Bed Storage
12,2020-04-06,9200.0,Under-Bed Storage
13,2020-04-07,9341.0,Under-Bed Storage
14,2020-04-08,8110.0,Under-Bed Storage
15,2020-04-09,9748.0,Under-Bed Storage
16,2020-04-10,10664.0,Under-Bed Storage
17,2020-04-11,12755.0,Under-Bed Storage
18,2020-04-12,12129.0,Under-Bed Storage
19,2020-04-13,12340.0,Under-Bed Storage
20,2020-04-14,10973.0,Under-Bed Storage
21,2020-04-15,8568.0,Under-Bed Storage
22,2020-04-16,9129.0,Under-Bed Storage
23,2020-04-17,9013.0,Under-Bed Storage
24,2020-04-18,8443.0,Under-Bed Storage
25,2020-04-19,6647.0,Under-Bed Storage
26,2020-04-20,7750.0,Under-Bed Storage
27,2020-04-21,8244.0,Under-Bed Storage
28,2020-04-22,8270.0,Under-Bed Storage
29,2020-04-23,8172.0,Under-Bed Storage
30,2020-04-24,7765.0,Under-Bed Storage
31,2020-04-25,9894.0,Under-Bed Storage
32,2020-04-26,12251.0,Under-Bed Storage
33,2020-04-27,9800.0,Under-Bed Storage
34,2020-04-28,11873.0,Under-Bed Storage
35,2020-04-29,11191.0,Under-Bed Storage
36,2020-04-30,10881.0,Under-Bed Storage
37,2020-05-01,10588.0,Under-Bed Storage
38,2020-05-02,10930.0,Under-Bed Storage
39,2020-05-03,7662.0,Under-Bed Storage
40,2020-05-04,8691.0,Under-Bed Storage
41,2020-05-05,8147.0,Under-Bed Storage
42,2020-05-06,7663.0,Under-Bed Storage
43,2020-05-07,7663.0,Under-Bed Storage
44,2020-05-08,7663.0,Under-Bed Storage
45,2020-05-09,7663.0,Under-Bed Storage
46,2020-05-10,7663.0,Under-Bed Storage
47,2020-05-11,7663.0,Under-Bed Storage
48,2020-05-12,-1.0,Under-Bed Storage
