,date,value,name_B00ZKIIBZS
0,2020-05-27,9053.0,Essential Oil Sets
1,2020-05-28,10867.0,Essential Oil Sets
2,2020-05-29,10867.0,Essential Oil Sets
3,2020-05-30,10867.0,Essential Oil Sets
4,2020-05-31,10867.0,Essential Oil Sets
5,2020-06-01,10867.0,Essential Oil Sets
6,2020-06-02,10867.0,Essential Oil Sets
7,2020-06-03,8138.0,Essential Oil Sets
8,2020-06-04,8138.0,Essential Oil Sets
9,2020-06-05,9882.0,Essential Oil Sets
10,2020-06-06,9882.0,Essential Oil Sets
11,2020-06-07,9765.0,Essential Oil Sets
12,2020-06-08,8372.0,Essential Oil Sets
13,2020-06-09,8372.0,Essential Oil Sets
14,2020-06-10,8372.0,Essential Oil Sets
15,2020-06-11,10177.0,Essential Oil Sets
16,2020-06-12,8560.0,Essential Oil Sets
17,2020-06-13,8560.0,Essential Oil Sets
18,2020-06-14,8560.0,Essential Oil Sets
19,2020-06-15,7263.0,Essential Oil Sets
20,2020-06-16,8652.0,Essential Oil Sets
21,2020-06-17,8652.0,Essential Oil Sets
22,2020-06-18,8652.0,Essential Oil Sets
23,2020-06-19,8428.0,Essential Oil Sets
24,2020-06-20,8428.0,Essential Oil Sets
25,2020-06-21,8428.0,Essential Oil Sets
26,2020-06-22,8428.0,Essential Oil Sets
27,2020-06-23,8226.0,Essential Oil Sets
28,2020-06-24,8226.0,Essential Oil Sets
29,2020-06-25,8226.0,Essential Oil Sets
30,2020-06-26,9218.0,Essential Oil Sets
31,2020-06-27,9218.0,Essential Oil Sets
32,2020-06-28,9218.0,Essential Oil Sets
33,2020-06-29,8397.0,Essential Oil Sets
34,2020-06-30,8397.0,Essential Oil Sets
35,2020-07-01,8397.0,Essential Oil Sets
36,2020-07-02,8397.0,Essential Oil Sets
37,2020-07-03,8397.0,Essential Oil Sets
38,2020-07-04,8397.0,Essential Oil Sets
39,2020-07-05,8397.0,Essential Oil Sets
40,2020-07-06,10339.0,Essential Oil Sets
41,2020-07-07,10339.0,Essential Oil Sets
42,2020-07-08,10339.0,Essential Oil Sets
43,2020-07-09,10339.0,Essential Oil Sets
44,2020-07-10,10339.0,Essential Oil Sets
45,2020-07-11,8748.0,Essential Oil Sets
46,2020-07-12,8748.0,Essential Oil Sets
47,2020-07-13,9173.0,Essential Oil Sets
48,2020-07-14,11560.0,Essential Oil Sets
49,2020-07-15,11560.0,Essential Oil Sets
50,2020-07-16,14256.0,Essential Oil Sets
51,2020-07-17,14256.0,Essential Oil Sets
52,2020-07-18,14256.0,Essential Oil Sets
53,2020-07-19,14256.0,Essential Oil Sets
54,2020-07-20,13928.0,Essential Oil Sets
55,2020-07-21,11820.0,Essential Oil Sets
56,2020-07-22,11820.0,Essential Oil Sets
57,2020-07-23,11820.0,Essential Oil Sets
58,2020-07-24,11820.0,Essential Oil Sets
59,2020-07-25,11820.0,Essential Oil Sets
60,2020-07-26,15467.0,Essential Oil Sets
61,2020-07-27,14952.0,Essential Oil Sets
62,2020-07-28,14952.0,Essential Oil Sets
63,2020-07-29,16006.0,Essential Oil Sets
64,2020-07-30,16006.0,Essential Oil Sets
65,2020-07-31,9404.0,Essential Oil Sets
66,2020-08-01,11628.0,Essential Oil Sets
67,2020-08-02,11628.0,Essential Oil Sets
68,2020-08-03,13136.0,Essential Oil Sets
69,2020-08-04,13136.0,Essential Oil Sets
70,2020-08-05,13136.0,Essential Oil Sets
71,2020-08-06,12795.0,Essential Oil Sets
72,2020-08-07,12019.0,Essential Oil Sets
73,2020-08-08,12019.0,Essential Oil Sets
74,2020-08-09,12019.0,Essential Oil Sets
75,2020-08-10,9621.0,Essential Oil Sets
76,2020-08-11,9621.0,Essential Oil Sets
77,2020-08-12,11026.0,Essential Oil Sets
78,2020-08-13,10585.0,Essential Oil Sets
79,2020-08-14,10585.0,Essential Oil Sets
80,2020-08-15,9825.0,Essential Oil Sets
81,2020-08-16,9825.0,Essential Oil Sets
82,2020-08-17,9953.0,Essential Oil Sets
83,2020-08-18,9953.0,Essential Oil Sets
84,2020-08-19,9953.0,Essential Oil Sets
85,2020-08-20,9953.0,Essential Oil Sets
86,2020-08-21,10653.0,Essential Oil Sets
87,2020-08-22,10653.0,Essential Oil Sets
88,2020-08-23,10653.0,Essential Oil Sets
89,2020-08-24,11536.0,Essential Oil Sets
90,2020-08-25,10541.0,Essential Oil Sets
91,2020-08-26,10541.0,Essential Oil Sets
92,2020-08-27,10285.0,Essential Oil Sets
93,2020-08-28,10285.0,Essential Oil Sets
94,2020-08-29,10285.0,Essential Oil Sets
95,2020-08-30,10075.0,Essential Oil Sets
96,2020-08-31,10075.0,Essential Oil Sets
97,2020-09-01,9445.0,Essential Oil Sets
98,2020-09-02,9445.0,Essential Oil Sets
99,2020-09-03,9237.0,Essential Oil Sets
100,2020-09-04,9237.0,Essential Oil Sets
101,2020-09-05,11223.0,Essential Oil Sets
102,2020-09-06,11223.0,Essential Oil Sets
103,2020-09-07,11223.0,Essential Oil Sets
104,2020-09-08,11223.0,Essential Oil Sets
105,2020-09-09,11223.0,Essential Oil Sets
106,2020-09-10,9598.0,Essential Oil Sets
107,2020-09-11,9598.0,Essential Oil Sets
108,2020-09-12,7734.0,Essential Oil Sets
109,2020-09-13,7734.0,Essential Oil Sets
110,2020-09-14,7734.0,Essential Oil Sets
111,2020-09-15,7291.0,Essential Oil Sets
112,2020-09-16,7291.0,Essential Oil Sets
113,2020-09-17,7291.0,Essential Oil Sets
114,2020-09-18,7291.0,Essential Oil Sets
115,2020-09-19,7291.0,Essential Oil Sets
116,2020-09-20,7850.0,Essential Oil Sets
117,2020-09-21,7850.0,Essential Oil Sets
118,2020-09-22,9020.0,Essential Oil Sets
119,2020-09-23,9020.0,Essential Oil Sets
120,2020-09-24,9020.0,Essential Oil Sets
121,2020-09-25,9549.0,Essential Oil Sets
122,2020-09-26,9549.0,Essential Oil Sets
123,2020-09-27,9549.0,Essential Oil Sets
124,2020-09-28,8601.0,Essential Oil Sets
125,2020-09-29,8601.0,Essential Oil Sets
126,2020-09-30,8601.0,Essential Oil Sets
127,2020-10-01,10734.0,Essential Oil Sets
128,2020-10-02,10734.0,Essential Oil Sets
129,2020-10-03,10734.0,Essential Oil Sets
130,2020-10-04,10734.0,Essential Oil Sets
131,2020-10-05,10734.0,Essential Oil Sets
132,2020-10-06,9661.0,Essential Oil Sets
133,2020-10-07,9184.0,Essential Oil Sets
134,2020-10-08,9184.0,Essential Oil Sets
135,2020-10-09,9184.0,Essential Oil Sets
136,2020-10-10,9912.0,Essential Oil Sets
137,2020-10-11,7693.0,Essential Oil Sets
138,2020-10-12,7693.0,Essential Oil Sets
139,2020-10-13,7693.0,Essential Oil Sets
140,2020-10-14,7693.0,Essential Oil Sets
141,2020-10-15,7693.0,Essential Oil Sets
142,2020-10-16,9933.0,Essential Oil Sets
143,2020-10-17,10485.0,Essential Oil Sets
144,2020-10-18,10485.0,Essential Oil Sets
145,2020-10-19,10485.0,Essential Oil Sets
146,2020-10-20,10485.0,Essential Oil Sets
147,2020-10-21,10629.0,Essential Oil Sets
148,2020-10-22,10629.0,Essential Oil Sets
149,2020-10-23,10629.0,Essential Oil Sets
150,2020-10-24,10629.0,Essential Oil Sets
151,2020-10-25,10629.0,Essential Oil Sets
152,2020-10-26,10629.0,Essential Oil Sets
153,2020-10-27,12776.0,Essential Oil Sets
154,2020-10-28,12776.0,Essential Oil Sets
155,2020-10-29,12776.0,Essential Oil Sets
156,2020-10-30,13308.0,Essential Oil Sets
157,2020-10-31,11890.0,Essential Oil Sets
158,2020-11-01,11890.0,Essential Oil Sets
159,2020-11-02,11890.0,Essential Oil Sets
160,2020-11-03,10807.0,Essential Oil Sets
161,2020-11-04,10807.0,Essential Oil Sets
162,2020-11-05,10807.0,Essential Oil Sets
163,2020-11-06,10807.0,Essential Oil Sets
164,2020-11-07,14096.0,Essential Oil Sets
165,2020-11-08,14096.0,Essential Oil Sets
166,2020-11-09,14096.0,Essential Oil Sets
167,2020-11-10,14096.0,Essential Oil Sets
168,2020-11-11,14096.0,Essential Oil Sets
169,2020-11-12,13531.0,Essential Oil Sets
170,2020-11-13,13531.0,Essential Oil Sets
171,2020-11-14,13531.0,Essential Oil Sets
172,2020-11-15,10608.0,Essential Oil Sets
173,2020-11-16,10608.0,Essential Oil Sets
174,2020-11-17,12188.0,Essential Oil Sets
175,2020-11-18,12074.0,Essential Oil Sets
176,2020-11-19,13142.0,Essential Oil Sets
177,2020-11-20,13142.0,Essential Oil Sets
178,2020-11-21,13142.0,Essential Oil Sets
179,2020-11-22,13142.0,Essential Oil Sets
180,2020-11-23,10398.0,Essential Oil Sets
181,2020-11-24,10398.0,Essential Oil Sets
182,2020-11-25,10398.0,Essential Oil Sets
183,2020-11-26,10398.0,Essential Oil Sets
184,2020-11-27,14934.0,Essential Oil Sets
185,2020-11-28,14934.0,Essential Oil Sets
186,2020-11-29,14597.0,Essential Oil Sets
187,2020-11-30,14597.0,Essential Oil Sets
188,2020-12-01,14597.0,Essential Oil Sets
189,2020-12-02,13341.0,Essential Oil Sets
190,2020-12-03,13341.0,Essential Oil Sets
191,2020-12-04,10791.0,Essential Oil Sets
192,2020-12-05,10791.0,Essential Oil Sets
193,2020-12-06,10791.0,Essential Oil Sets
194,2020-12-07,8620.0,Essential Oil Sets
195,2020-12-08,8620.0,Essential Oil Sets
196,2020-12-09,9504.0,Essential Oil Sets
197,2020-12-10,9504.0,Essential Oil Sets
198,2020-12-11,7242.0,Essential Oil Sets
199,2020-12-12,7242.0,Essential Oil Sets
200,2020-12-13,7242.0,Essential Oil Sets
201,2020-12-14,6356.0,Essential Oil Sets
202,2020-12-15,6356.0,Essential Oil Sets
203,2020-12-16,7400.0,Essential Oil Sets
204,2020-12-17,7400.0,Essential Oil Sets
205,2020-12-18,7400.0,Essential Oil Sets
206,2020-12-19,7400.0,Essential Oil Sets
207,2020-12-20,7006.0,Essential Oil Sets
208,2020-12-21,7006.0,Essential Oil Sets
209,2020-12-22,7006.0,Essential Oil Sets
210,2020-12-23,8484.0,Essential Oil Sets
211,2020-12-24,8484.0,Essential Oil Sets
212,2020-12-25,8484.0,Essential Oil Sets
