,date,value,name_B07MKZFKWG
0,2020-05-26,38824.0,Fat Burners
1,2020-05-27,53809.0,Fat Burners
2,2020-05-28,40446.0,Fat Burners
3,2020-05-29,40446.0,Fat Burners
4,2020-05-30,40446.0,Fat Burners
5,2020-05-31,40446.0,Fat Burners
6,2020-06-01,40446.0,Fat Burners
7,2020-06-02,40446.0,Fat Burners
8,2020-06-03,40446.0,Fat Burners
9,2020-06-04,40446.0,Fat Burners
10,2020-06-05,40446.0,Fat Burners
11,2020-06-06,36690.0,Fat Burners
12,2020-06-07,36690.0,Fat Burners
13,2020-06-08,39776.0,Fat Burners
14,2020-06-09,39776.0,Fat Burners
15,2020-06-10,39776.0,Fat Burners
16,2020-06-11,39776.0,Fat Burners
17,2020-06-12,37919.0,Fat Burners
18,2020-06-13,37919.0,Fat Burners
19,2020-06-14,37919.0,Fat Burners
20,2020-06-15,37919.0,Fat Burners
21,2020-06-16,37919.0,Fat Burners
22,2020-06-17,37919.0,Fat Burners
23,2020-06-18,38555.0,Fat Burners
24,2020-06-19,38555.0,Fat Burners
25,2020-06-20,38555.0,Fat Burners
26,2020-06-21,38555.0,Fat Burners
27,2020-06-22,38555.0,Fat Burners
28,2020-06-23,32850.0,Fat Burners
29,2020-06-24,32850.0,Fat Burners
30,2020-06-25,32850.0,Fat Burners
31,2020-06-26,32850.0,Fat Burners
32,2020-06-27,32850.0,Fat Burners
33,2020-06-28,32850.0,Fat Burners
34,2020-06-29,32850.0,Fat Burners
35,2020-06-30,32850.0,Fat Burners
36,2020-07-01,41277.0,Fat Burners
37,2020-07-02,41277.0,Fat Burners
38,2020-07-03,41277.0,Fat Burners
39,2020-07-04,41277.0,Fat Burners
40,2020-07-05,41277.0,Fat Burners
41,2020-07-06,41277.0,Fat Burners
42,2020-07-07,41277.0,Fat Burners
43,2020-07-08,41277.0,Fat Burners
44,2020-07-09,43258.0,Fat Burners
45,2020-07-10,43258.0,Fat Burners
46,2020-07-11,43258.0,Fat Burners
47,2020-07-12,43258.0,Fat Burners
48,2020-07-13,43258.0,Fat Burners
49,2020-07-14,43258.0,Fat Burners
50,2020-07-15,43258.0,Fat Burners
51,2020-07-16,33133.0,Fat Burners
52,2020-07-17,33133.0,Fat Burners
53,2020-07-18,33133.0,Fat Burners
54,2020-07-19,33545.0,Fat Burners
55,2020-07-20,33545.0,Fat Burners
56,2020-07-21,33545.0,Fat Burners
57,2020-07-22,33545.0,Fat Burners
58,2020-07-23,33545.0,Fat Burners
59,2020-07-24,33545.0,Fat Burners
60,2020-07-25,33545.0,Fat Burners
61,2020-07-26,33545.0,Fat Burners
62,2020-07-27,33545.0,Fat Burners
63,2020-07-28,33545.0,Fat Burners
64,2020-07-29,30383.0,Fat Burners
65,2020-07-30,30383.0,Fat Burners
66,2020-07-31,35368.0,Fat Burners
67,2020-08-01,35368.0,Fat Burners
68,2020-08-02,35368.0,Fat Burners
69,2020-08-03,35368.0,Fat Burners
70,2020-08-04,35368.0,Fat Burners
71,2020-08-05,35368.0,Fat Burners
72,2020-08-06,43827.0,Fat Burners
73,2020-08-07,43827.0,Fat Burners
74,2020-08-08,43827.0,Fat Burners
75,2020-08-09,43827.0,Fat Burners
76,2020-08-10,43827.0,Fat Burners
77,2020-08-11,43827.0,Fat Burners
78,2020-08-12,31390.0,Fat Burners
79,2020-08-13,31390.0,Fat Burners
80,2020-08-14,31390.0,Fat Burners
81,2020-08-15,31390.0,Fat Burners
82,2020-08-16,31259.0,Fat Burners
83,2020-08-17,33644.0,Fat Burners
84,2020-08-18,33644.0,Fat Burners
85,2020-08-19,33644.0,Fat Burners
86,2020-08-20,37324.0,Fat Burners
87,2020-08-21,37324.0,Fat Burners
88,2020-08-22,37324.0,Fat Burners
89,2020-08-23,25292.0,Fat Burners
90,2020-08-24,25292.0,Fat Burners
91,2020-08-25,25292.0,Fat Burners
92,2020-08-26,28304.0,Fat Burners
93,2020-08-27,31672.0,Fat Burners
94,2020-08-28,31672.0,Fat Burners
95,2020-08-29,31672.0,Fat Burners
96,2020-08-30,31672.0,Fat Burners
97,2020-08-31,31672.0,Fat Burners
98,2020-09-01,31672.0,Fat Burners
99,2020-09-02,31672.0,Fat Burners
100,2020-09-03,31672.0,Fat Burners
101,2020-09-04,31672.0,Fat Burners
102,2020-09-05,31672.0,Fat Burners
103,2020-09-06,29961.0,Fat Burners
104,2020-09-07,29961.0,Fat Burners
105,2020-09-08,28126.0,Fat Burners
106,2020-09-09,28126.0,Fat Burners
107,2020-09-10,28126.0,Fat Burners
108,2020-09-11,28126.0,Fat Burners
109,2020-09-12,28126.0,Fat Burners
110,2020-09-13,28126.0,Fat Burners
111,2020-09-14,28126.0,Fat Burners
112,2020-09-15,28126.0,Fat Burners
113,2020-09-16,28126.0,Fat Burners
114,2020-09-17,28126.0,Fat Burners
115,2020-09-18,28126.0,Fat Burners
116,2020-09-19,28126.0,Fat Burners
117,2020-09-20,28126.0,Fat Burners
118,2020-09-21,28126.0,Fat Burners
119,2020-09-22,28126.0,Fat Burners
120,2020-09-23,27940.0,Fat Burners
121,2020-09-24,27940.0,Fat Burners
122,2020-09-25,27940.0,Fat Burners
123,2020-09-26,27940.0,Fat Burners
124,2020-09-27,27940.0,Fat Burners
125,2020-09-28,27940.0,Fat Burners
126,2020-09-29,27940.0,Fat Burners
127,2020-09-30,28029.0,Fat Burners
