,date,value,name_B074QVB1BV
0,2020-05-25,5893.0,Multiminerals
1,2020-05-26,4840.0,Multiminerals
2,2020-05-27,4839.0,Multiminerals
3,2020-05-28,4839.0,Multiminerals
4,2020-05-29,4839.0,Multiminerals
5,2020-05-30,3909.0,Multiminerals
6,2020-05-31,3616.0,Multiminerals
7,2020-06-01,3367.0,Multiminerals
8,2020-06-02,3367.0,Multiminerals
9,2020-06-03,3592.0,Multiminerals
10,2020-06-04,3716.0,Multiminerals
11,2020-06-05,4139.0,Multiminerals
12,2020-06-06,4139.0,Multiminerals
13,2020-06-07,4139.0,Multiminerals
14,2020-06-08,3526.0,Multiminerals
15,2020-06-09,3526.0,Multiminerals
16,2020-06-10,4066.0,Multiminerals
17,2020-06-11,4086.0,Multiminerals
18,2020-06-12,4086.0,Multiminerals
19,2020-06-13,3691.0,Multiminerals
20,2020-06-14,3909.0,Multiminerals
21,2020-06-15,3942.0,Multiminerals
22,2020-06-16,3942.0,Multiminerals
23,2020-06-17,3815.0,Multiminerals
24,2020-06-18,3567.0,Multiminerals
25,2020-06-19,3567.0,Multiminerals
26,2020-06-20,3567.0,Multiminerals
27,2020-06-21,3211.0,Multiminerals
28,2020-06-22,3211.0,Multiminerals
29,2020-06-23,3486.0,Multiminerals
30,2020-06-24,3486.0,Multiminerals
31,2020-06-25,3486.0,Multiminerals
32,2020-06-26,3654.0,Multiminerals
33,2020-06-27,3281.0,Multiminerals
34,2020-06-28,3320.0,Multiminerals
35,2020-06-29,3474.0,Multiminerals
36,2020-06-30,3474.0,Multiminerals
37,2020-07-01,3474.0,Multiminerals
38,2020-07-02,3352.0,Multiminerals
39,2020-07-03,3262.0,Multiminerals
40,2020-07-04,3161.0,Multiminerals
41,2020-07-05,3223.0,Multiminerals
42,2020-07-06,3350.0,Multiminerals
43,2020-07-07,3080.0,Multiminerals
44,2020-07-08,3059.0,Multiminerals
45,2020-07-09,3442.0,Multiminerals
46,2020-07-10,3442.0,Multiminerals
47,2020-07-11,3442.0,Multiminerals
48,2020-07-12,3618.0,Multiminerals
49,2020-07-13,3392.0,Multiminerals
50,2020-07-14,3392.0,Multiminerals
51,2020-07-15,3191.0,Multiminerals
52,2020-07-16,3094.0,Multiminerals
53,2020-07-17,2987.0,Multiminerals
54,2020-07-18,3094.0,Multiminerals
55,2020-07-19,3363.0,Multiminerals
56,2020-07-20,3363.0,Multiminerals
57,2020-07-21,3363.0,Multiminerals
58,2020-07-22,3047.0,Multiminerals
59,2020-07-23,3097.0,Multiminerals
60,2020-07-24,3173.0,Multiminerals
61,2020-07-25,3173.0,Multiminerals
62,2020-07-26,3335.0,Multiminerals
63,2020-07-27,3393.0,Multiminerals
