,date,value,name_B08WXCZJ3S
0,2021-03-18,86180.0,Shade Sails
1,2021-03-19,86180.0,Shade Sails
2,2021-03-20,86180.0,Shade Sails
3,2021-03-21,86180.0,Shade Sails
4,2021-03-22,86180.0,Shade Sails
5,2021-03-23,48473.0,Shade Sails
6,2021-03-24,90685.0,Shade Sails
7,2021-03-25,117582.0,Shade Sails
8,2021-03-26,117582.0,Shade Sails
9,2021-03-27,117582.0,Shade Sails
10,2021-03-28,29505.0,Shade Sails
11,2021-03-29,29505.0,Shade Sails
12,2021-03-30,29193.0,Shade Sails
13,2021-03-31,27858.0,Shade Sails
14,2021-04-01,38012.0,Shade Sails
15,2021-04-02,28858.0,Shade Sails
16,2021-04-03,18244.0,Shade Sails
17,2021-04-04,17567.0,Shade Sails
18,2021-04-05,12811.0,Shade Sails
19,2021-04-06,18143.0,Shade Sails
20,2021-04-07,20009.0,Shade Sails
21,2021-04-08,17493.0,Shade Sails
22,2021-04-09,12181.0,Shade Sails
23,2021-04-10,9711.0,Shade Sails
24,2021-04-11,5639.0,Shade Sails
25,2021-04-12,7413.0,Shade Sails
26,2021-04-13,7396.0,Shade Sails
27,2021-04-14,13135.0,Shade Sails
28,2021-04-15,13135.0,Shade Sails
29,2021-04-16,13135.0,Shade Sails
30,2021-04-17,17775.0,Shade Sails
31,2021-04-18,17775.0,Shade Sails
32,2021-04-19,17775.0,Shade Sails
33,2021-04-20,13194.0,Shade Sails
34,2021-04-21,13850.0,Shade Sails
35,2021-04-22,15193.0,Shade Sails
36,2021-04-23,18122.0,Shade Sails
37,2021-04-24,18122.0,Shade Sails
38,2021-04-25,15014.0,Shade Sails
39,2021-04-26,11498.0,Shade Sails
40,2021-04-27,14715.0,Shade Sails
41,2021-04-28,16304.0,Shade Sails
42,2021-04-29,9517.0,Shade Sails
43,2021-04-30,12723.0,Shade Sails
44,2021-05-01,12723.0,Shade Sails
45,2021-05-02,12723.0,Shade Sails
46,2021-05-03,9132.0,Shade Sails
47,2021-05-04,9132.0,Shade Sails
48,2021-05-05,9024.0,Shade Sails
49,2021-05-06,8202.0,Shade Sails
50,2021-05-07,7036.0,Shade Sails
51,2021-05-08,7835.0,Shade Sails
52,2021-05-09,7835.0,Shade Sails
53,2021-05-10,6942.0,Shade Sails
54,2021-05-11,6942.0,Shade Sails
55,2021-05-12,8836.0,Shade Sails
56,2021-05-13,10885.0,Shade Sails
57,2021-05-14,8872.0,Shade Sails
58,2021-05-15,8872.0,Shade Sails
59,2021-05-16,8872.0,Shade Sails
60,2021-05-17,6720.0,Shade Sails
61,2021-05-18,5657.0,Shade Sails
62,2021-05-19,6972.0,Shade Sails
63,2021-05-20,7681.0,Shade Sails
64,2021-05-21,7681.0,Shade Sails
65,2021-05-22,7956.0,Shade Sails
66,2021-05-23,7956.0,Shade Sails
67,2021-05-24,7956.0,Shade Sails
68,2021-05-25,6802.0,Shade Sails
69,2021-05-26,7695.0,Shade Sails
70,2021-05-27,6110.0,Shade Sails
71,2021-05-28,6479.0,Shade Sails
72,2021-05-29,6479.0,Shade Sails
73,2021-05-30,5052.0,Shade Sails
74,2021-05-31,5689.0,Shade Sails
75,2021-06-01,7012.0,Shade Sails
76,2021-06-02,5460.0,Shade Sails
77,2021-06-03,6450.0,Shade Sails
78,2021-06-04,7626.0,Shade Sails
79,2021-06-05,6929.0,Shade Sails
80,2021-06-06,6929.0,Shade Sails
81,2021-06-07,3314.0,Shade Sails
82,2021-06-08,3179.0,Shade Sails
83,2021-06-09,3271.0,Shade Sails
84,2021-06-10,3832.0,Shade Sails
85,2021-06-11,3832.0,Shade Sails
86,2021-06-12,3016.0,Shade Sails
87,2021-06-13,3016.0,Shade Sails
88,2021-06-14,2924.0,Shade Sails
89,2021-06-15,3067.0,Shade Sails
90,2021-06-16,2135.0,Shade Sails
91,2021-06-17,2684.0,Shade Sails
92,2021-06-18,2022.0,Shade Sails
93,2021-06-19,2022.0,Shade Sails
94,2021-06-20,1786.0,Shade Sails
95,2021-06-21,1946.0,Shade Sails
96,2021-06-22,1724.0,Shade Sails
97,2021-06-23,1906.0,Shade Sails
98,2021-06-24,2568.0,Shade Sails
99,2021-06-25,2568.0,Shade Sails
100,2021-06-26,3893.0,Shade Sails
101,2021-06-27,3541.0,Shade Sails
102,2021-06-28,3162.0,Shade Sails
103,2021-06-29,4717.0,Shade Sails
104,2021-06-30,4116.0,Shade Sails
105,2021-07-01,4116.0,Shade Sails
106,2021-07-02,5289.0,Shade Sails
107,2021-07-03,4588.0,Shade Sails
108,2021-07-04,4588.0,Shade Sails
109,2021-07-05,3298.0,Shade Sails
110,2021-07-06,3908.0,Shade Sails
111,2021-07-07,4092.0,Shade Sails
112,2021-07-08,4155.0,Shade Sails
113,2021-07-09,4620.0,Shade Sails
114,2021-07-10,4331.0,Shade Sails
115,2021-07-11,3454.0,Shade Sails
