,date,value,name_B07VBB2ZCD
0,2020-06-05,6412.0,Postcards
1,2020-06-06,6412.0,Postcards
2,2020-06-07,6412.0,Postcards
3,2020-06-08,6412.0,Postcards
4,2020-06-09,6412.0,Postcards
5,2020-06-10,7297.0,Postcards
6,2020-06-11,7297.0,Postcards
7,2020-06-12,6857.0,Postcards
8,2020-06-13,6857.0,Postcards
9,2020-06-14,6857.0,Postcards
10,2020-06-15,6857.0,Postcards
11,2020-06-16,6857.0,Postcards
12,2020-06-17,4572.0,Postcards
13,2020-06-18,4572.0,Postcards
14,2020-06-19,4572.0,Postcards
15,2020-06-20,6515.0,Postcards
16,2020-06-21,6515.0,Postcards
17,2020-06-22,6515.0,Postcards
18,2020-06-23,6515.0,Postcards
19,2020-06-24,6515.0,Postcards
20,2020-06-25,4974.0,Postcards
21,2020-06-26,4974.0,Postcards
22,2020-06-27,4974.0,Postcards
23,2020-06-28,4974.0,Postcards
24,2020-06-29,10408.0,Postcards
25,2020-06-30,10408.0,Postcards
26,2020-07-01,10408.0,Postcards
27,2020-07-02,7676.0,Postcards
28,2020-07-03,7676.0,Postcards
29,2020-07-04,7676.0,Postcards
30,2020-07-05,5976.0,Postcards
31,2020-07-06,5976.0,Postcards
32,2020-07-07,5976.0,Postcards
33,2020-07-08,5976.0,Postcards
34,2020-07-09,6908.0,Postcards
35,2020-07-10,6908.0,Postcards
36,2020-07-11,6908.0,Postcards
37,2020-07-12,6781.0,Postcards
38,2020-07-13,6781.0,Postcards
39,2020-07-14,6781.0,Postcards
40,2020-07-15,6781.0,Postcards
41,2020-07-16,7201.0,Postcards
42,2020-07-17,7201.0,Postcards
43,2020-07-18,7201.0,Postcards
44,2020-07-19,7201.0,Postcards
45,2020-07-20,7643.0,Postcards
46,2020-07-21,7643.0,Postcards
47,2020-07-22,7643.0,Postcards
48,2020-07-23,8259.0,Postcards
49,2020-07-24,8259.0,Postcards
50,2020-07-25,8259.0,Postcards
51,2020-07-26,8259.0,Postcards
52,2020-07-27,9752.0,Postcards
53,2020-07-28,9752.0,Postcards
54,2020-07-29,9752.0,Postcards
55,2020-07-30,9752.0,Postcards
56,2020-07-31,9752.0,Postcards
57,2020-08-01,9752.0,Postcards
58,2020-08-02,9752.0,Postcards
59,2020-08-03,10304.0,Postcards
60,2020-08-04,10304.0,Postcards
61,2020-08-05,10304.0,Postcards
62,2020-08-06,8785.0,Postcards
63,2020-08-07,8785.0,Postcards
64,2020-08-08,8785.0,Postcards
65,2020-08-09,8785.0,Postcards
66,2020-08-10,8785.0,Postcards
67,2020-08-11,11229.0,Postcards
68,2020-08-12,11229.0,Postcards
69,2020-08-13,11229.0,Postcards
70,2020-08-14,8972.0,Postcards
71,2020-08-15,8972.0,Postcards
72,2020-08-16,8972.0,Postcards
73,2020-08-17,14185.0,Postcards
74,2020-08-18,10501.0,Postcards
75,2020-08-19,10501.0,Postcards
76,2020-08-20,10501.0,Postcards
77,2020-08-21,12329.0,Postcards
78,2020-08-22,12329.0,Postcards
79,2020-08-23,12329.0,Postcards
80,2020-08-24,8924.0,Postcards
81,2020-08-25,8924.0,Postcards
82,2020-08-26,8924.0,Postcards
83,2020-08-27,6528.0,Postcards
84,2020-08-28,6528.0,Postcards
85,2020-08-29,7215.0,Postcards
86,2020-08-30,7215.0,Postcards
87,2020-08-31,7215.0,Postcards
88,2020-09-01,7215.0,Postcards
89,2020-09-02,8199.0,Postcards
90,2020-09-03,8199.0,Postcards
91,2020-09-04,8199.0,Postcards
92,2020-09-05,8199.0,Postcards
93,2020-09-06,8199.0,Postcards
94,2020-09-07,8199.0,Postcards
95,2020-09-08,7079.0,Postcards
96,2020-09-09,7079.0,Postcards
97,2020-09-10,7079.0,Postcards
98,2020-09-11,7079.0,Postcards
99,2020-09-12,7079.0,Postcards
100,2020-09-13,6217.0,Postcards
101,2020-09-14,6217.0,Postcards
102,2020-09-15,6217.0,Postcards
103,2020-09-16,6058.0,Postcards
104,2020-09-17,6058.0,Postcards
105,2020-09-18,6058.0,Postcards
106,2020-09-19,6058.0,Postcards
107,2020-09-20,7271.0,Postcards
108,2020-09-21,7271.0,Postcards
109,2020-09-22,7271.0,Postcards
110,2020-09-23,7271.0,Postcards
111,2020-09-24,5832.0,Postcards
112,2020-09-25,5832.0,Postcards
113,2020-09-26,5832.0,Postcards
114,2020-09-27,6718.0,Postcards
115,2020-09-28,6646.0,Postcards
116,2020-09-29,6646.0,Postcards
117,2020-09-30,6646.0,Postcards
118,2020-10-01,6646.0,Postcards
119,2020-10-02,7563.0,Postcards
120,2020-10-03,7563.0,Postcards
121,2020-10-04,7563.0,Postcards
122,2020-10-05,7563.0,Postcards
123,2020-10-06,7563.0,Postcards
124,2020-10-07,4548.0,Postcards
125,2020-10-08,4548.0,Postcards
126,2020-10-09,4548.0,Postcards
127,2020-10-10,4548.0,Postcards
128,2020-10-11,4548.0,Postcards
129,2020-10-12,4548.0,Postcards
130,2020-10-13,4548.0,Postcards
131,2020-10-14,4548.0,Postcards
132,2020-10-15,4548.0,Postcards
133,2020-10-16,4548.0,Postcards
134,2020-10-17,4548.0,Postcards
135,2020-10-18,4548.0,Postcards
136,2020-10-19,7698.0,Postcards
137,2020-10-20,7698.0,Postcards
138,2020-10-21,7698.0,Postcards
139,2020-10-22,5127.0,Postcards
140,2020-10-23,5127.0,Postcards
141,2020-10-24,5127.0,Postcards
142,2020-10-25,5127.0,Postcards
143,2020-10-26,5919.0,Postcards
144,2020-10-27,5468.0,Postcards
145,2020-10-28,6154.0,Postcards
146,2020-10-29,6154.0,Postcards
147,2020-10-30,5647.0,Postcards
148,2020-10-31,5647.0,Postcards
149,2020-11-01,5647.0,Postcards
150,2020-11-02,7889.0,Postcards
151,2020-11-03,7889.0,Postcards
152,2020-11-04,5426.0,Postcards
153,2020-11-05,6474.0,Postcards
154,2020-11-06,6474.0,Postcards
155,2020-11-07,5557.0,Postcards
156,2020-11-08,5557.0,Postcards
157,2020-11-09,5557.0,Postcards
158,2020-11-10,5557.0,Postcards
159,2020-11-11,4936.0,Postcards
160,2020-11-12,4936.0,Postcards
161,2020-11-13,4936.0,Postcards
162,2020-11-14,5117.0,Postcards
163,2020-11-15,5117.0,Postcards
164,2020-11-16,8105.0,Postcards
165,2020-11-17,8105.0,Postcards
166,2020-11-18,8105.0,Postcards
167,2020-11-19,4649.0,Postcards
168,2020-11-20,5108.0,Postcards
169,2020-11-21,4854.0,Postcards
170,2020-11-22,4854.0,Postcards
171,2020-11-23,4854.0,Postcards
172,2020-11-24,7830.0,Postcards
173,2020-11-25,7830.0,Postcards
174,2020-11-26,7830.0,Postcards
175,2020-11-27,9537.0,Postcards
176,2020-11-28,9537.0,Postcards
177,2020-11-29,9537.0,Postcards
178,2020-11-30,7481.0,Postcards
179,2020-12-01,7481.0,Postcards
180,2020-12-02,6282.0,Postcards
181,2020-12-03,4651.0,Postcards
182,2020-12-04,4651.0,Postcards
183,2020-12-05,4651.0,Postcards
184,2020-12-06,4651.0,Postcards
185,2020-12-07,4651.0,Postcards
186,2020-12-08,7244.0,Postcards
187,2020-12-09,7244.0,Postcards
188,2020-12-10,7244.0,Postcards
189,2020-12-11,6547.0,Postcards
190,2020-12-12,6547.0,Postcards
191,2020-12-13,8835.0,Postcards
192,2020-12-14,8835.0,Postcards
193,2020-12-15,8835.0,Postcards
194,2020-12-16,8835.0,Postcards
195,2020-12-17,8835.0,Postcards
196,2020-12-18,8835.0,Postcards
197,2020-12-19,7939.0,Postcards
198,2020-12-20,7939.0,Postcards
199,2020-12-21,7939.0,Postcards
200,2020-12-22,7939.0,Postcards
