,date,value,name_B07TZGY46K
144,2020-10-17,5133.0,LED Bulbs
145,2020-10-18,5525.0,LED Bulbs
146,2020-10-19,4444.0,LED Bulbs
147,2020-10-20,4444.0,LED Bulbs
148,2020-10-21,4444.0,LED Bulbs
149,2020-10-22,4363.0,LED Bulbs
150,2020-10-23,4363.0,LED Bulbs
151,2020-10-24,4363.0,LED Bulbs
152,2020-10-25,4363.0,LED Bulbs
153,2020-10-26,3237.0,LED Bulbs
154,2020-10-27,3237.0,LED Bulbs
155,2020-10-28,3237.0,LED Bulbs
156,2020-10-29,3775.0,LED Bulbs
157,2020-10-30,3851.0,LED Bulbs
158,2020-10-31,4333.0,LED Bulbs
159,2020-11-01,4333.0,LED Bulbs
160,2020-11-02,3724.0,LED Bulbs
161,2020-11-03,3940.0,LED Bulbs
162,2020-11-04,4148.0,LED Bulbs
163,2020-11-05,4051.0,LED Bulbs
164,2020-11-06,4051.0,LED Bulbs
165,2020-11-07,4424.0,LED Bulbs
166,2020-11-08,3763.0,LED Bulbs
167,2020-11-09,3763.0,LED Bulbs
168,2020-11-10,3713.0,LED Bulbs
169,2020-11-11,3713.0,LED Bulbs
170,2020-11-12,3713.0,LED Bulbs
171,2020-11-13,3713.0,LED Bulbs
172,2020-11-14,4085.0,LED Bulbs
173,2020-11-15,3393.0,LED Bulbs
174,2020-11-16,3393.0,LED Bulbs
175,2020-11-17,3579.0,LED Bulbs
176,2020-11-18,4082.0,LED Bulbs
177,2020-11-19,4609.0,LED Bulbs
178,2020-11-20,3825.0,LED Bulbs
179,2020-11-21,3825.0,LED Bulbs
180,2020-11-22,3939.0,LED Bulbs
181,2020-11-23,4011.0,LED Bulbs
182,2020-11-24,4011.0,LED Bulbs
183,2020-11-25,4464.0,LED Bulbs
184,2020-11-26,4159.0,LED Bulbs
185,2020-11-27,4286.0,LED Bulbs
186,2020-11-28,5154.0,LED Bulbs
187,2020-11-29,5154.0,LED Bulbs
188,2020-11-30,5154.0,LED Bulbs
189,2020-12-01,5501.0,LED Bulbs
190,2020-12-02,5278.0,LED Bulbs
191,2020-12-03,5386.0,LED Bulbs
192,2020-12-04,4657.0,LED Bulbs
193,2020-12-05,5179.0,LED Bulbs
194,2020-12-06,5179.0,LED Bulbs
195,2020-12-07,5484.0,LED Bulbs
196,2020-12-08,5312.0,LED Bulbs
197,2020-12-09,5312.0,LED Bulbs
198,2020-12-10,6474.0,LED Bulbs
199,2020-12-11,7338.0,LED Bulbs
200,2020-12-12,7909.0,LED Bulbs
201,2020-12-13,7762.0,LED Bulbs
202,2020-12-14,8845.0,LED Bulbs
203,2020-12-15,9122.0,LED Bulbs
204,2020-12-16,9933.0,LED Bulbs
205,2020-12-17,9453.0,LED Bulbs
206,2020-12-18,10184.0,LED Bulbs
207,2020-12-19,9139.0,LED Bulbs
208,2020-12-20,9125.0,LED Bulbs
209,2020-12-21,8619.0,LED Bulbs
210,2020-12-22,9470.0,LED Bulbs
211,2020-12-23,7736.0,LED Bulbs
212,2020-12-24,7032.0,LED Bulbs
213,2020-12-25,7054.0,LED Bulbs
214,2020-12-26,7054.0,LED Bulbs
215,2020-12-27,7054.0,LED Bulbs
216,2020-12-28,6495.0,LED Bulbs
