,date,value,name_B08P1S3V6T
0,2020-12-26,24512.0,Flagpole Hardware
1,2020-12-27,24512.0,Flagpole Hardware
2,2020-12-28,32871.0,Flagpole Hardware
3,2020-12-29,32871.0,Flagpole Hardware
4,2020-12-30,32871.0,Flagpole Hardware
5,2020-12-31,32871.0,Flagpole Hardware
6,2021-01-01,32871.0,Flagpole Hardware
7,2021-01-02,32871.0,Flagpole Hardware
8,2021-01-03,8944.0,Flagpole Hardware
9,2021-01-04,21841.0,Flagpole Hardware
10,2021-01-05,21841.0,Flagpole Hardware
11,2021-01-06,21841.0,Flagpole Hardware
12,2021-01-07,9219.0,Flagpole Hardware
13,2021-01-08,9219.0,Flagpole Hardware
14,2021-01-09,9219.0,Flagpole Hardware
15,2021-01-10,9619.0,Flagpole Hardware
16,2021-01-11,9619.0,Flagpole Hardware
17,2021-01-12,9619.0,Flagpole Hardware
18,2021-01-13,7140.0,Flagpole Hardware
19,2021-01-14,4760.0,Flagpole Hardware
20,2021-01-15,3381.0,Flagpole Hardware
21,2021-01-16,3381.0,Flagpole Hardware
22,2021-01-17,3381.0,Flagpole Hardware
23,2021-01-18,5413.0,Flagpole Hardware
24,2021-01-19,6860.0,Flagpole Hardware
25,2021-01-20,6860.0,Flagpole Hardware
26,2021-01-21,2923.0,Flagpole Hardware
27,2021-01-22,2923.0,Flagpole Hardware
28,2021-01-23,2923.0,Flagpole Hardware
29,2021-01-24,4620.0,Flagpole Hardware
30,2021-01-25,5698.0,Flagpole Hardware
31,2021-01-26,5698.0,Flagpole Hardware
32,2021-01-27,7934.0,Flagpole Hardware
33,2021-01-28,7934.0,Flagpole Hardware
34,2021-01-29,7131.0,Flagpole Hardware
35,2021-01-30,7131.0,Flagpole Hardware
36,2021-01-31,7131.0,Flagpole Hardware
37,2021-02-01,7498.0,Flagpole Hardware
38,2021-02-02,7498.0,Flagpole Hardware
39,2021-02-03,7498.0,Flagpole Hardware
40,2021-02-04,7498.0,Flagpole Hardware
41,2021-02-05,7379.0,Flagpole Hardware
42,2021-02-06,7379.0,Flagpole Hardware
43,2021-02-07,7379.0,Flagpole Hardware
44,2021-02-08,7379.0,Flagpole Hardware
45,2021-02-09,7379.0,Flagpole Hardware
46,2021-02-10,7379.0,Flagpole Hardware
47,2021-02-11,5881.0,Flagpole Hardware
48,2021-02-12,5881.0,Flagpole Hardware
49,2021-02-13,5881.0,Flagpole Hardware
50,2021-02-14,5881.0,Flagpole Hardware
51,2021-02-15,5881.0,Flagpole Hardware
52,2021-02-16,6349.0,Flagpole Hardware
53,2021-02-17,6349.0,Flagpole Hardware
54,2021-02-18,8651.0,Flagpole Hardware
55,2021-02-19,8651.0,Flagpole Hardware
56,2021-02-20,6746.0,Flagpole Hardware
57,2021-02-21,9794.0,Flagpole Hardware
58,2021-02-22,5471.0,Flagpole Hardware
59,2021-02-23,5471.0,Flagpole Hardware
60,2021-02-24,5725.0,Flagpole Hardware
61,2021-02-25,5725.0,Flagpole Hardware
62,2021-02-26,3840.0,Flagpole Hardware
63,2021-02-27,3840.0,Flagpole Hardware
64,2021-02-28,3840.0,Flagpole Hardware
65,2021-03-01,5090.0,Flagpole Hardware
66,2021-03-02,5090.0,Flagpole Hardware
67,2021-03-03,5090.0,Flagpole Hardware
68,2021-03-04,4934.0,Flagpole Hardware
69,2021-03-05,4934.0,Flagpole Hardware
70,2021-03-06,4188.0,Flagpole Hardware
71,2021-03-07,3626.0,Flagpole Hardware
72,2021-03-08,3626.0,Flagpole Hardware
73,2021-03-09,5087.0,Flagpole Hardware
74,2021-03-10,4165.0,Flagpole Hardware
75,2021-03-11,4165.0,Flagpole Hardware
76,2021-03-12,4165.0,Flagpole Hardware
77,2021-03-13,4505.0,Flagpole Hardware
78,2021-03-14,4505.0,Flagpole Hardware
79,2021-03-15,4505.0,Flagpole Hardware
80,2021-03-16,6700.0,Flagpole Hardware
81,2021-03-17,4402.0,Flagpole Hardware
82,2021-03-18,4402.0,Flagpole Hardware
83,2021-03-19,4273.0,Flagpole Hardware
84,2021-03-20,3829.0,Flagpole Hardware
85,2021-03-21,3829.0,Flagpole Hardware
86,2021-03-22,5222.0,Flagpole Hardware
87,2021-03-23,5222.0,Flagpole Hardware
88,2021-03-24,5222.0,Flagpole Hardware
89,2021-03-25,5526.0,Flagpole Hardware
90,2021-03-26,5078.0,Flagpole Hardware
91,2021-03-27,5078.0,Flagpole Hardware
92,2021-03-28,4051.0,Flagpole Hardware
93,2021-03-29,6867.0,Flagpole Hardware
94,2021-03-30,5653.0,Flagpole Hardware
95,2021-03-31,5787.0,Flagpole Hardware
96,2021-04-01,6658.0,Flagpole Hardware
97,2021-04-02,5716.0,Flagpole Hardware
98,2021-04-03,5716.0,Flagpole Hardware
99,2021-04-04,5716.0,Flagpole Hardware
100,2021-04-05,7759.0,Flagpole Hardware
101,2021-04-06,9968.0,Flagpole Hardware
102,2021-04-07,15832.0,Flagpole Hardware
103,2021-04-08,15832.0,Flagpole Hardware
104,2021-04-09,19175.0,Flagpole Hardware
105,2021-04-10,19175.0,Flagpole Hardware
106,2021-04-11,19175.0,Flagpole Hardware
107,2021-04-12,19175.0,Flagpole Hardware
108,2021-04-13,19175.0,Flagpole Hardware
109,2021-04-14,21927.0,Flagpole Hardware
110,2021-04-15,21927.0,Flagpole Hardware
111,2021-04-16,21927.0,Flagpole Hardware
112,2021-04-17,21927.0,Flagpole Hardware
113,2021-04-18,21927.0,Flagpole Hardware
114,2021-04-19,9750.0,Flagpole Hardware
115,2021-04-20,9750.0,Flagpole Hardware
