,date,value,name_B07WX5T9NB
0,2020-05-26,23055.0,Probiotics
1,2020-05-27,23055.0,Probiotics
2,2020-05-28,23055.0,Probiotics
3,2020-05-29,23055.0,Probiotics
4,2020-05-30,17260.0,Probiotics
5,2020-05-31,17260.0,Probiotics
6,2020-06-01,16375.0,Probiotics
7,2020-06-02,16375.0,Probiotics
8,2020-06-03,17933.0,Probiotics
9,2020-06-04,14516.0,Probiotics
10,2020-06-05,14693.0,Probiotics
11,2020-06-06,14693.0,Probiotics
12,2020-06-07,15204.0,Probiotics
13,2020-06-08,17439.0,Probiotics
14,2020-06-09,17100.0,Probiotics
15,2020-06-10,14769.0,Probiotics
16,2020-06-11,19398.0,Probiotics
17,2020-06-12,16540.0,Probiotics
18,2020-06-13,24529.0,Probiotics
19,2020-06-14,18771.0,Probiotics
20,2020-06-15,19093.0,Probiotics
21,2020-06-16,16865.0,Probiotics
22,2020-06-17,20965.0,Probiotics
23,2020-06-18,16294.0,Probiotics
24,2020-06-19,18455.0,Probiotics
25,2020-06-20,18455.0,Probiotics
26,2020-06-21,21756.0,Probiotics
27,2020-06-22,21756.0,Probiotics
28,2020-06-23,21756.0,Probiotics
29,2020-06-24,19420.0,Probiotics
30,2020-06-25,19420.0,Probiotics
31,2020-06-26,18189.0,Probiotics
32,2020-06-27,18189.0,Probiotics
33,2020-06-28,20548.0,Probiotics
34,2020-06-29,22801.0,Probiotics
35,2020-06-30,22801.0,Probiotics
36,2020-07-01,26921.0,Probiotics
37,2020-07-02,23196.0,Probiotics
38,2020-07-03,31557.0,Probiotics
39,2020-07-04,33371.0,Probiotics
40,2020-07-05,20672.0,Probiotics
41,2020-07-06,20672.0,Probiotics
42,2020-07-07,24680.0,Probiotics
43,2020-07-08,27331.0,Probiotics
44,2020-07-09,23141.0,Probiotics
45,2020-07-10,23141.0,Probiotics
46,2020-07-11,23141.0,Probiotics
47,2020-07-12,27312.0,Probiotics
48,2020-07-13,22998.0,Probiotics
49,2020-07-14,22998.0,Probiotics
50,2020-07-15,21853.0,Probiotics
51,2020-07-16,24538.0,Probiotics
52,2020-07-17,24538.0,Probiotics
53,2020-07-18,22339.0,Probiotics
54,2020-07-19,19195.0,Probiotics
55,2020-07-20,19195.0,Probiotics
56,2020-07-21,18569.0,Probiotics
57,2020-07-22,26671.0,Probiotics
58,2020-07-23,26671.0,Probiotics
59,2020-07-24,27703.0,Probiotics
60,2020-07-25,20578.0,Probiotics
61,2020-07-26,20578.0,Probiotics
62,2020-07-27,21579.0,Probiotics
63,2020-07-28,19306.0,Probiotics
64,2020-07-29,19306.0,Probiotics
65,2020-07-30,21028.0,Probiotics
66,2020-07-31,11398.0,Probiotics
67,2020-08-01,11398.0,Probiotics
68,2020-08-02,11398.0,Probiotics
69,2020-08-03,13879.0,Probiotics
70,2020-08-04,13879.0,Probiotics
71,2020-08-05,13502.0,Probiotics
72,2020-08-06,13502.0,Probiotics
73,2020-08-07,12710.0,Probiotics
74,2020-08-08,12710.0,Probiotics
75,2020-08-09,16368.0,Probiotics
76,2020-08-10,16368.0,Probiotics
77,2020-08-11,15438.0,Probiotics
78,2020-08-12,15438.0,Probiotics
79,2020-08-13,10818.0,Probiotics
80,2020-08-14,9625.0,Probiotics
81,2020-08-15,10665.0,Probiotics
82,2020-08-16,9842.0,Probiotics
83,2020-08-17,9842.0,Probiotics
84,2020-08-18,10651.0,Probiotics
85,2020-08-19,10651.0,Probiotics
86,2020-08-20,11843.0,Probiotics
87,2020-08-21,10438.0,Probiotics
