,date,value,name_B087ZRGBTK
0,2020-05-26,14440.0,Multivitamins
1,2020-05-27,17788.0,Multivitamins
2,2020-05-28,22015.0,Multivitamins
3,2020-05-29,19494.0,Multivitamins
4,2020-05-30,19494.0,Multivitamins
5,2020-05-31,23143.0,Multivitamins
6,2020-06-01,23143.0,Multivitamins
7,2020-06-02,16130.0,Multivitamins
8,2020-06-03,16130.0,Multivitamins
9,2020-06-04,18732.0,Multivitamins
10,2020-06-05,18732.0,Multivitamins
11,2020-06-06,20903.0,Multivitamins
12,2020-06-07,23222.0,Multivitamins
13,2020-06-08,25860.0,Multivitamins
14,2020-06-09,25860.0,Multivitamins
15,2020-06-10,20215.0,Multivitamins
16,2020-06-11,18443.0,Multivitamins
17,2020-06-12,18443.0,Multivitamins
18,2020-06-13,20292.0,Multivitamins
19,2020-06-14,20292.0,Multivitamins
20,2020-06-15,24472.0,Multivitamins
21,2020-06-16,23252.0,Multivitamins
22,2020-06-17,23252.0,Multivitamins
23,2020-06-18,23252.0,Multivitamins
24,2020-06-19,27393.0,Multivitamins
25,2020-06-20,24473.0,Multivitamins
26,2020-06-21,24473.0,Multivitamins
27,2020-06-22,23429.0,Multivitamins
28,2020-06-23,23429.0,Multivitamins
29,2020-06-24,22323.0,Multivitamins
30,2020-06-25,23538.0,Multivitamins
31,2020-06-26,23538.0,Multivitamins
32,2020-06-27,24929.0,Multivitamins
33,2020-06-28,17935.0,Multivitamins
34,2020-06-29,17935.0,Multivitamins
35,2020-06-30,27720.0,Multivitamins
36,2020-07-01,25282.0,Multivitamins
37,2020-07-02,24646.0,Multivitamins
38,2020-07-03,23294.0,Multivitamins
39,2020-07-04,23294.0,Multivitamins
40,2020-07-05,24512.0,Multivitamins
41,2020-07-06,27135.0,Multivitamins
42,2020-07-07,27135.0,Multivitamins
43,2020-07-08,21380.0,Multivitamins
44,2020-07-09,21380.0,Multivitamins
45,2020-07-10,21380.0,Multivitamins
46,2020-07-11,19930.0,Multivitamins
47,2020-07-12,19930.0,Multivitamins
48,2020-07-13,23865.0,Multivitamins
49,2020-07-14,23865.0,Multivitamins
50,2020-07-15,23502.0,Multivitamins
51,2020-07-16,20607.0,Multivitamins
52,2020-07-17,19235.0,Multivitamins
53,2020-07-18,19235.0,Multivitamins
54,2020-07-19,22601.0,Multivitamins
55,2020-07-20,24168.0,Multivitamins
56,2020-07-21,24168.0,Multivitamins
57,2020-07-22,21196.0,Multivitamins
58,2020-07-23,21196.0,Multivitamins
59,2020-07-24,21196.0,Multivitamins
60,2020-07-25,21196.0,Multivitamins
61,2020-07-26,21468.0,Multivitamins
62,2020-07-27,21468.0,Multivitamins
63,2020-07-28,21496.0,Multivitamins
64,2020-07-29,21496.0,Multivitamins
65,2020-07-30,21496.0,Multivitamins
66,2020-07-31,27954.0,Multivitamins
67,2020-08-01,27954.0,Multivitamins
68,2020-08-02,27954.0,Multivitamins
69,2020-08-03,23954.0,Multivitamins
70,2020-08-04,20576.0,Multivitamins
71,2020-08-05,19736.0,Multivitamins
72,2020-08-06,20339.0,Multivitamins
73,2020-08-07,20339.0,Multivitamins
74,2020-08-08,20339.0,Multivitamins
75,2020-08-09,21111.0,Multivitamins
76,2020-08-10,21111.0,Multivitamins
77,2020-08-11,21111.0,Multivitamins
78,2020-08-12,21376.0,Multivitamins
79,2020-08-13,21061.0,Multivitamins
80,2020-08-14,20135.0,Multivitamins
81,2020-08-15,20135.0,Multivitamins
82,2020-08-16,19519.0,Multivitamins
83,2020-08-17,19519.0,Multivitamins
84,2020-08-18,19519.0,Multivitamins
85,2020-08-19,22322.0,Multivitamins
86,2020-08-20,22322.0,Multivitamins
87,2020-08-21,20309.0,Multivitamins
88,2020-08-22,17951.0,Multivitamins
89,2020-08-23,25347.0,Multivitamins
90,2020-08-24,19245.0,Multivitamins
91,2020-08-25,18470.0,Multivitamins
92,2020-08-26,18470.0,Multivitamins
93,2020-08-27,18470.0,Multivitamins
94,2020-08-28,20587.0,Multivitamins
95,2020-08-29,26897.0,Multivitamins
96,2020-08-30,21337.0,Multivitamins
97,2020-08-31,21337.0,Multivitamins
98,2020-09-01,21337.0,Multivitamins
99,2020-09-02,19403.0,Multivitamins
100,2020-09-03,21044.0,Multivitamins
101,2020-09-04,19408.0,Multivitamins
102,2020-09-05,19408.0,Multivitamins
103,2020-09-06,19408.0,Multivitamins
104,2020-09-07,26692.0,Multivitamins
105,2020-09-08,22749.0,Multivitamins
106,2020-09-09,24921.0,Multivitamins
107,2020-09-10,24921.0,Multivitamins
108,2020-09-11,24921.0,Multivitamins
109,2020-09-12,16853.0,Multivitamins
110,2020-09-13,19649.0,Multivitamins
111,2020-09-14,19156.0,Multivitamins
112,2020-09-15,23187.0,Multivitamins
113,2020-09-16,23187.0,Multivitamins
114,2020-09-17,23389.0,Multivitamins
115,2020-09-18,20666.0,Multivitamins
116,2020-09-19,19242.0,Multivitamins
117,2020-09-20,19242.0,Multivitamins
118,2020-09-21,16253.0,Multivitamins
119,2020-09-22,21771.0,Multivitamins
120,2020-09-23,21771.0,Multivitamins
121,2020-09-24,19097.0,Multivitamins
122,2020-09-25,17579.0,Multivitamins
123,2020-09-26,17579.0,Multivitamins
124,2020-09-27,19389.0,Multivitamins
125,2020-09-28,16391.0,Multivitamins
126,2020-09-29,16391.0,Multivitamins
127,2020-09-30,15494.0,Multivitamins
128,2020-10-01,15494.0,Multivitamins
129,2020-10-02,17728.0,Multivitamins
130,2020-10-03,17955.0,Multivitamins
131,2020-10-04,17955.0,Multivitamins
132,2020-10-05,16097.0,Multivitamins
133,2020-10-06,17481.0,Multivitamins
