,date,value,name_B07SR22ZS6
0,2020-05-23,2521.0,LED Bulbs
1,2020-05-24,2270.0,LED Bulbs
2,2020-05-25,1904.0,LED Bulbs
3,2020-05-26,2649.0,LED Bulbs
4,2020-05-27,2412.0,LED Bulbs
5,2020-05-28,2554.0,LED Bulbs
6,2020-05-29,2554.0,LED Bulbs
7,2020-05-30,2746.0,LED Bulbs
8,2020-05-31,2120.0,LED Bulbs
9,2020-06-01,2420.0,LED Bulbs
10,2020-06-02,2420.0,LED Bulbs
11,2020-06-03,2498.0,LED Bulbs
12,2020-06-04,2725.0,LED Bulbs
13,2020-06-05,2725.0,LED Bulbs
14,2020-06-06,2120.0,LED Bulbs
15,2020-06-07,1926.0,LED Bulbs
16,2020-06-08,2438.0,LED Bulbs
17,2020-06-09,2380.0,LED Bulbs
18,2020-06-10,1991.0,LED Bulbs
19,2020-06-11,2256.0,LED Bulbs
20,2020-06-12,2256.0,LED Bulbs
21,2020-06-13,2256.0,LED Bulbs
22,2020-06-14,2313.0,LED Bulbs
23,2020-06-15,2313.0,LED Bulbs
24,2020-06-16,2249.0,LED Bulbs
25,2020-06-17,2249.0,LED Bulbs
26,2020-06-18,2249.0,LED Bulbs
27,2020-06-19,2816.0,LED Bulbs
28,2020-06-20,2418.0,LED Bulbs
29,2020-06-21,2418.0,LED Bulbs
30,2020-06-22,2447.0,LED Bulbs
31,2020-06-23,1614.0,LED Bulbs
32,2020-06-24,1496.0,LED Bulbs
33,2020-06-25,1496.0,LED Bulbs
34,2020-06-26,1439.0,LED Bulbs
35,2020-06-27,1439.0,LED Bulbs
36,2020-06-28,974.0,LED Bulbs
37,2020-06-29,1115.0,LED Bulbs
38,2020-06-30,1491.0,LED Bulbs
39,2020-07-01,1665.0,LED Bulbs
40,2020-07-02,1665.0,LED Bulbs
41,2020-07-03,1792.0,LED Bulbs
42,2020-07-04,1802.0,LED Bulbs
43,2020-07-05,1717.0,LED Bulbs
44,2020-07-06,1779.0,LED Bulbs
45,2020-07-07,1825.0,LED Bulbs
46,2020-07-08,1810.0,LED Bulbs
47,2020-07-09,1900.0,LED Bulbs
48,2020-07-10,2169.0,LED Bulbs
49,2020-07-11,2472.0,LED Bulbs
50,2020-07-12,2361.0,LED Bulbs
51,2020-07-13,2167.0,LED Bulbs
52,2020-07-14,2196.0,LED Bulbs
53,2020-07-15,2196.0,LED Bulbs
54,2020-07-16,2196.0,LED Bulbs
55,2020-07-17,2556.0,LED Bulbs
56,2020-07-18,2665.0,LED Bulbs
57,2020-07-19,2665.0,LED Bulbs
58,2020-07-20,2213.0,LED Bulbs
59,2020-07-21,2213.0,LED Bulbs
60,2020-07-22,2174.0,LED Bulbs
61,2020-07-23,2278.0,LED Bulbs
62,2020-07-24,2299.0,LED Bulbs
63,2020-07-25,2461.0,LED Bulbs
64,2020-07-26,2461.0,LED Bulbs
65,2020-07-27,2461.0,LED Bulbs
66,2020-07-28,2026.0,LED Bulbs
67,2020-07-29,2026.0,LED Bulbs
68,2020-07-30,2077.0,LED Bulbs
69,2020-07-31,2156.0,LED Bulbs
70,2020-08-01,2142.0,LED Bulbs
71,2020-08-02,2145.0,LED Bulbs
72,2020-08-03,1762.0,LED Bulbs
73,2020-08-04,2139.0,LED Bulbs
74,2020-08-05,2139.0,LED Bulbs
75,2020-08-06,2114.0,LED Bulbs
76,2020-08-07,2506.0,LED Bulbs
77,2020-08-08,2535.0,LED Bulbs
78,2020-08-09,2082.0,LED Bulbs
79,2020-08-10,1880.0,LED Bulbs
80,2020-08-11,1331.0,LED Bulbs
81,2020-08-12,1239.0,LED Bulbs
82,2020-08-13,1367.0,LED Bulbs
83,2020-08-14,1163.0,LED Bulbs
84,2020-08-15,1134.0,LED Bulbs
85,2020-08-16,1134.0,LED Bulbs
86,2020-08-17,944.0,LED Bulbs
87,2020-08-18,1287.0,LED Bulbs
88,2020-08-19,1412.0,LED Bulbs
89,2020-08-20,1412.0,LED Bulbs
90,2020-08-21,1839.0,LED Bulbs
91,2020-08-22,1839.0,LED Bulbs
92,2020-08-23,1839.0,LED Bulbs
93,2020-08-24,1478.0,LED Bulbs
94,2020-08-25,1721.0,LED Bulbs
95,2020-08-26,1576.0,LED Bulbs
96,2020-08-27,1576.0,LED Bulbs
97,2020-08-28,1637.0,LED Bulbs
98,2020-08-29,1805.0,LED Bulbs
99,2020-08-30,1805.0,LED Bulbs
100,2020-08-31,1805.0,LED Bulbs
101,2020-09-01,1740.0,LED Bulbs
102,2020-09-02,1740.0,LED Bulbs
103,2020-09-03,1882.0,LED Bulbs
104,2020-09-04,1882.0,LED Bulbs
105,2020-09-05,1885.0,LED Bulbs
106,2020-09-06,1885.0,LED Bulbs
107,2020-09-07,1885.0,LED Bulbs
108,2020-09-08,1259.0,LED Bulbs
109,2020-09-09,1446.0,LED Bulbs
110,2020-09-10,1446.0,LED Bulbs
111,2020-09-11,1528.0,LED Bulbs
112,2020-09-12,1528.0,LED Bulbs
113,2020-09-13,1320.0,LED Bulbs
114,2020-09-14,1446.0,LED Bulbs
115,2020-09-15,1446.0,LED Bulbs
116,2020-09-16,1642.0,LED Bulbs
117,2020-09-17,1654.0,LED Bulbs
118,2020-09-18,1598.0,LED Bulbs
119,2020-09-19,1598.0,LED Bulbs
120,2020-09-20,1598.0,LED Bulbs
121,2020-09-21,1402.0,LED Bulbs
122,2020-09-22,1444.0,LED Bulbs
123,2020-09-23,1541.0,LED Bulbs
124,2020-09-24,1646.0,LED Bulbs
125,2020-09-25,1667.0,LED Bulbs
126,2020-09-26,1694.0,LED Bulbs
127,2020-09-27,1694.0,LED Bulbs
128,2020-09-28,1694.0,LED Bulbs
129,2020-09-29,1701.0,LED Bulbs
130,2020-09-30,1476.0,LED Bulbs
131,2020-10-01,1476.0,LED Bulbs
132,2020-10-02,1639.0,LED Bulbs
133,2020-10-03,1639.0,LED Bulbs
134,2020-10-04,1639.0,LED Bulbs
135,2020-10-05,1235.0,LED Bulbs
136,2020-10-06,1606.0,LED Bulbs
137,2020-10-07,1606.0,LED Bulbs
138,2020-10-08,1606.0,LED Bulbs
139,2020-10-09,2775.0,LED Bulbs
140,2020-10-10,2775.0,LED Bulbs
141,2020-10-11,1620.0,LED Bulbs
142,2020-10-12,1620.0,LED Bulbs
143,2020-10-13,1646.0,LED Bulbs
144,2020-10-14,1646.0,LED Bulbs
145,2020-10-15,1646.0,LED Bulbs
146,2020-10-16,2078.0,LED Bulbs
147,2020-10-17,1998.0,LED Bulbs
148,2020-10-18,1998.0,LED Bulbs
149,2020-10-19,1477.0,LED Bulbs
150,2020-10-20,1477.0,LED Bulbs
151,2020-10-21,1581.0,LED Bulbs
152,2020-10-22,1581.0,LED Bulbs
153,2020-10-23,1914.0,LED Bulbs
154,2020-10-24,2030.0,LED Bulbs
155,2020-10-25,2030.0,LED Bulbs
156,2020-10-26,1791.0,LED Bulbs
157,2020-10-27,1778.0,LED Bulbs
158,2020-10-28,1778.0,LED Bulbs
159,2020-10-29,1988.0,LED Bulbs
160,2020-10-30,1720.0,LED Bulbs
161,2020-10-31,1685.0,LED Bulbs
162,2020-11-01,1674.0,LED Bulbs
163,2020-11-02,1410.0,LED Bulbs
164,2020-11-03,1505.0,LED Bulbs
165,2020-11-04,1525.0,LED Bulbs
166,2020-11-05,1592.0,LED Bulbs
167,2020-11-06,2059.0,LED Bulbs
168,2020-11-07,1902.0,LED Bulbs
169,2020-11-08,1902.0,LED Bulbs
170,2020-11-09,1902.0,LED Bulbs
171,2020-11-10,1773.0,LED Bulbs
172,2020-11-11,1579.0,LED Bulbs
173,2020-11-12,1645.0,LED Bulbs
174,2020-11-13,1757.0,LED Bulbs
175,2020-11-14,1757.0,LED Bulbs
176,2020-11-15,1757.0,LED Bulbs
177,2020-11-16,1423.0,LED Bulbs
178,2020-11-17,1423.0,LED Bulbs
179,2020-11-18,1686.0,LED Bulbs
180,2020-11-19,1788.0,LED Bulbs
181,2020-11-20,1765.0,LED Bulbs
182,2020-11-21,1765.0,LED Bulbs
183,2020-11-22,1765.0,LED Bulbs
184,2020-11-23,1254.0,LED Bulbs
185,2020-11-24,1254.0,LED Bulbs
186,2020-11-25,868.0,LED Bulbs
187,2020-11-26,868.0,LED Bulbs
188,2020-11-27,796.0,LED Bulbs
189,2020-11-28,804.0,LED Bulbs
190,2020-11-29,734.0,LED Bulbs
191,2020-11-30,631.0,LED Bulbs
192,2020-12-01,1071.0,LED Bulbs
193,2020-12-02,1264.0,LED Bulbs
194,2020-12-03,1434.0,LED Bulbs
195,2020-12-04,1818.0,LED Bulbs
196,2020-12-05,1818.0,LED Bulbs
197,2020-12-06,1818.0,LED Bulbs
198,2020-12-07,1356.0,LED Bulbs
199,2020-12-08,1516.0,LED Bulbs
200,2020-12-09,1701.0,LED Bulbs
201,2020-12-10,1747.0,LED Bulbs
202,2020-12-11,1794.0,LED Bulbs
203,2020-12-12,1927.0,LED Bulbs
204,2020-12-13,2064.0,LED Bulbs
205,2020-12-14,1561.0,LED Bulbs
206,2020-12-15,1716.0,LED Bulbs
207,2020-12-16,1901.0,LED Bulbs
208,2020-12-17,1950.0,LED Bulbs
209,2020-12-18,1982.0,LED Bulbs
210,2020-12-19,1961.0,LED Bulbs
211,2020-12-20,1868.0,LED Bulbs
212,2020-12-21,1949.0,LED Bulbs
213,2020-12-22,1905.0,LED Bulbs
214,2020-12-23,1905.0,LED Bulbs
215,2020-12-24,1824.0,LED Bulbs
216,2020-12-25,1921.0,LED Bulbs
217,2020-12-26,2172.0,LED Bulbs
218,2020-12-27,1488.0,LED Bulbs
219,2020-12-28,1582.0,LED Bulbs
220,2020-12-29,1763.0,LED Bulbs
221,2020-12-30,1803.0,LED Bulbs
222,2020-12-31,1752.0,LED Bulbs
223,2021-01-01,1839.0,LED Bulbs
224,2021-01-02,1628.0,LED Bulbs
225,2021-01-03,1303.0,LED Bulbs
226,2021-01-04,1261.0,LED Bulbs
227,2021-01-05,1659.0,LED Bulbs
228,2021-01-06,1697.0,LED Bulbs
229,2021-01-07,1859.0,LED Bulbs
230,2021-01-08,1817.0,LED Bulbs
231,2021-01-09,1542.0,LED Bulbs
232,2021-01-10,1323.0,LED Bulbs
233,2021-01-11,1323.0,LED Bulbs
234,2021-01-12,1323.0,LED Bulbs
235,2021-01-13,1545.0,LED Bulbs
236,2021-01-14,1394.0,LED Bulbs
237,2021-01-15,1394.0,LED Bulbs
238,2021-01-16,1250.0,LED Bulbs
239,2021-01-17,1250.0,LED Bulbs
240,2021-01-18,1250.0,LED Bulbs
241,2021-01-19,1016.0,LED Bulbs
242,2021-01-20,1382.0,LED Bulbs
243,2021-01-21,1382.0,LED Bulbs
244,2021-01-22,1382.0,LED Bulbs
245,2021-01-23,1413.0,LED Bulbs
246,2021-01-24,1413.0,LED Bulbs
247,2021-01-25,1095.0,LED Bulbs
248,2021-01-26,1179.0,LED Bulbs
249,2021-01-27,1179.0,LED Bulbs
250,2021-01-28,1194.0,LED Bulbs
251,2021-01-29,1194.0,LED Bulbs
252,2021-01-30,1219.0,LED Bulbs
253,2021-01-31,1120.0,LED Bulbs
254,2021-02-01,1062.0,LED Bulbs
255,2021-02-02,1240.0,LED Bulbs
256,2021-02-03,1240.0,LED Bulbs
257,2021-02-04,1240.0,LED Bulbs
258,2021-02-05,1269.0,LED Bulbs
259,2021-02-06,1265.0,LED Bulbs
260,2021-02-07,1265.0,LED Bulbs
261,2021-02-08,1059.0,LED Bulbs
262,2021-02-09,1098.0,LED Bulbs
263,2021-02-10,1098.0,LED Bulbs
264,2021-02-11,1098.0,LED Bulbs
265,2021-02-12,1412.0,LED Bulbs
266,2021-02-13,1537.0,LED Bulbs
267,2021-02-14,1368.0,LED Bulbs
268,2021-02-15,1439.0,LED Bulbs
269,2021-02-16,1439.0,LED Bulbs
270,2021-02-17,1439.0,LED Bulbs
271,2021-02-18,1655.0,LED Bulbs
272,2021-02-19,1459.0,LED Bulbs
273,2021-02-20,1512.0,LED Bulbs
274,2021-02-21,1445.0,LED Bulbs
275,2021-02-22,1236.0,LED Bulbs
276,2021-02-23,1615.0,LED Bulbs
277,2021-02-24,1615.0,LED Bulbs
278,2021-02-25,2151.0,LED Bulbs
279,2021-02-26,2151.0,LED Bulbs
280,2021-02-27,2102.0,LED Bulbs
281,2021-02-28,2102.0,LED Bulbs
282,2021-03-01,1855.0,LED Bulbs
283,2021-03-02,1855.0,LED Bulbs
284,2021-03-03,2276.0,LED Bulbs
285,2021-03-04,2180.0,LED Bulbs
286,2021-03-05,2180.0,LED Bulbs
287,2021-03-06,2273.0,LED Bulbs
288,2021-03-07,2273.0,LED Bulbs
289,2021-03-08,2273.0,LED Bulbs
290,2021-03-09,2258.0,LED Bulbs
291,2021-03-10,2370.0,LED Bulbs
292,2021-03-11,2370.0,LED Bulbs
293,2021-03-12,2604.0,LED Bulbs
294,2021-03-13,2611.0,LED Bulbs
295,2021-03-14,2611.0,LED Bulbs
296,2021-03-15,1696.0,LED Bulbs
297,2021-03-16,1696.0,LED Bulbs
298,2021-03-17,2173.0,LED Bulbs
299,2021-03-18,2182.0,LED Bulbs
300,2021-03-19,2182.0,LED Bulbs
301,2021-03-20,2403.0,LED Bulbs
302,2021-03-21,2403.0,LED Bulbs
303,2021-03-22,2061.0,LED Bulbs
304,2021-03-23,2138.0,LED Bulbs
305,2021-03-24,2128.0,LED Bulbs
306,2021-03-25,2128.0,LED Bulbs
307,2021-03-26,2128.0,LED Bulbs
308,2021-03-27,2624.0,LED Bulbs
309,2021-03-28,2469.0,LED Bulbs
310,2021-03-29,2469.0,LED Bulbs
311,2021-03-30,2234.0,LED Bulbs
312,2021-03-31,2234.0,LED Bulbs
313,2021-04-01,2234.0,LED Bulbs
314,2021-04-02,2450.0,LED Bulbs
315,2021-04-03,2450.0,LED Bulbs
316,2021-04-04,2450.0,LED Bulbs
317,2021-04-05,2112.0,LED Bulbs
318,2021-04-06,2112.0,LED Bulbs
319,2021-04-07,2112.0,LED Bulbs
320,2021-04-08,1998.0,LED Bulbs
321,2021-04-09,1933.0,LED Bulbs
322,2021-04-10,1933.0,LED Bulbs
323,2021-04-11,1502.0,LED Bulbs
324,2021-04-12,1502.0,LED Bulbs
