,date,value,name_B07XZKSPYH
0,2020-05-29,22065.0,Insoles
1,2020-05-30,22065.0,Insoles
2,2020-05-31,24113.0,Insoles
3,2020-06-01,24113.0,Insoles
4,2020-06-02,24113.0,Insoles
5,2020-06-03,24113.0,Insoles
6,2020-06-04,28235.0,Insoles
7,2020-06-05,28235.0,Insoles
8,2020-06-06,28235.0,Insoles
9,2020-06-07,28235.0,Insoles
10,2020-06-08,28235.0,Insoles
11,2020-06-09,22993.0,Insoles
12,2020-06-10,22993.0,Insoles
13,2020-06-11,22993.0,Insoles
14,2020-06-12,26285.0,Insoles
15,2020-06-13,26285.0,Insoles
16,2020-06-14,26285.0,Insoles
17,2020-06-15,27109.0,Insoles
18,2020-06-16,27109.0,Insoles
19,2020-06-17,27109.0,Insoles
20,2020-06-18,27109.0,Insoles
21,2020-06-19,29958.0,Insoles
22,2020-06-20,29958.0,Insoles
23,2020-06-21,29958.0,Insoles
24,2020-06-22,25496.0,Insoles
25,2020-06-23,25496.0,Insoles
26,2020-06-24,25496.0,Insoles
27,2020-06-25,25496.0,Insoles
28,2020-06-26,39249.0,Insoles
29,2020-06-27,39249.0,Insoles
30,2020-06-28,39249.0,Insoles
31,2020-06-29,33474.0,Insoles
32,2020-06-30,33474.0,Insoles
33,2020-07-01,32555.0,Insoles
34,2020-07-02,32555.0,Insoles
35,2020-07-03,32555.0,Insoles
36,2020-07-04,39958.0,Insoles
37,2020-07-05,39958.0,Insoles
38,2020-07-06,39958.0,Insoles
39,2020-07-07,43910.0,Insoles
40,2020-07-08,43910.0,Insoles
41,2020-07-09,43910.0,Insoles
42,2020-07-10,24958.0,Insoles
43,2020-07-11,24958.0,Insoles
44,2020-07-12,24958.0,Insoles
45,2020-07-13,24958.0,Insoles
46,2020-07-14,31206.0,Insoles
47,2020-07-15,31206.0,Insoles
48,2020-07-16,31206.0,Insoles
49,2020-07-17,31206.0,Insoles
50,2020-07-18,24218.0,Insoles
51,2020-07-19,24218.0,Insoles
52,2020-07-20,24218.0,Insoles
53,2020-07-21,31552.0,Insoles
54,2020-07-22,31552.0,Insoles
55,2020-07-23,22809.0,Insoles
56,2020-07-24,22809.0,Insoles
57,2020-07-25,33070.0,Insoles
58,2020-07-26,33070.0,Insoles
59,2020-07-27,33070.0,Insoles
60,2020-07-28,33070.0,Insoles
61,2020-07-29,27409.0,Insoles
62,2020-07-30,27409.0,Insoles
63,2020-07-31,27409.0,Insoles
64,2020-08-01,26105.0,Insoles
65,2020-08-02,26105.0,Insoles
66,2020-08-03,26105.0,Insoles
67,2020-08-04,22895.0,Insoles
68,2020-08-05,22895.0,Insoles
69,2020-08-06,22895.0,Insoles
70,2020-08-07,24314.0,Insoles
71,2020-08-08,24314.0,Insoles
72,2020-08-09,29481.0,Insoles
73,2020-08-10,29481.0,Insoles
74,2020-08-11,33107.0,Insoles
75,2020-08-12,29027.0,Insoles
76,2020-08-13,29027.0,Insoles
77,2020-08-14,29027.0,Insoles
78,2020-08-15,25352.0,Insoles
79,2020-08-16,25352.0,Insoles
80,2020-08-17,25352.0,Insoles
81,2020-08-18,27465.0,Insoles
82,2020-08-19,27465.0,Insoles
83,2020-08-20,27465.0,Insoles
84,2020-08-21,29265.0,Insoles
85,2020-08-22,29265.0,Insoles
86,2020-08-23,29265.0,Insoles
87,2020-08-24,40287.0,Insoles
88,2020-08-25,40287.0,Insoles
89,2020-08-26,40287.0,Insoles
90,2020-08-27,27449.0,Insoles
