,date,value,name_B086638R16
0,2020-03-26,10820.0,Stands
1,2020-03-27,10820.0,Stands
2,2020-03-28,10820.0,Stands
3,2020-03-29,10820.0,Stands
4,2020-03-30,20195.0,Stands
5,2020-03-31,20195.0,Stands
6,2020-04-01,25455.0,Stands
7,2020-04-02,25455.0,Stands
8,2020-04-03,25455.0,Stands
9,2020-04-04,25455.0,Stands
10,2020-04-05,25455.0,Stands
11,2020-04-06,25455.0,Stands
12,2020-04-07,39326.0,Stands
13,2020-04-08,21105.0,Stands
14,2020-04-09,21105.0,Stands
15,2020-04-10,21105.0,Stands
16,2020-04-11,15696.0,Stands
17,2020-04-12,15696.0,Stands
18,2020-04-13,25498.0,Stands
19,2020-04-14,25498.0,Stands
20,2020-04-15,25498.0,Stands
21,2020-04-16,14708.0,Stands
22,2020-04-17,15018.0,Stands
23,2020-04-18,15018.0,Stands
24,2020-04-19,9736.0,Stands
25,2020-04-20,13112.0,Stands
26,2020-04-21,13112.0,Stands
27,2020-04-22,14851.0,Stands
28,2020-04-23,14851.0,Stands
29,2020-04-24,9476.0,Stands
30,2020-04-25,9476.0,Stands
31,2020-04-26,9476.0,Stands
32,2020-04-27,9638.0,Stands
33,2020-04-28,9638.0,Stands
34,2020-04-29,9638.0,Stands
35,2020-04-30,9638.0,Stands
36,2020-05-01,9638.0,Stands
37,2020-05-02,9638.0,Stands
38,2020-05-03,10474.0,Stands
39,2020-05-04,10474.0,Stands
40,2020-05-05,12500.0,Stands
41,2020-05-06,12500.0,Stands
42,2020-05-07,12500.0,Stands
43,2020-05-08,12500.0,Stands
44,2020-05-09,12500.0,Stands
45,2020-05-10,12500.0,Stands
46,2020-05-11,60845.0,Stands
47,2020-05-12,60845.0,Stands
48,2020-05-13,60845.0,Stands
49,2020-05-14,73628.0,Stands
50,2020-05-15,73628.0,Stands
51,2020-05-16,85973.0,Stands
52,2020-05-17,85973.0,Stands
53,2020-05-18,115284.0,Stands
54,2020-05-19,47834.0,Stands
55,2020-05-20,38180.0,Stands
56,2020-05-21,38180.0,Stands
57,2020-05-22,38180.0,Stands
58,2020-05-23,38180.0,Stands
59,2020-05-24,38180.0,Stands
60,2020-05-25,22966.0,Stands
61,2020-05-26,16568.0,Stands
62,2020-05-27,16568.0,Stands
63,2020-05-28,16568.0,Stands
64,2020-05-29,12956.0,Stands
65,2020-05-30,18292.0,Stands
66,2020-05-31,18292.0,Stands
67,2020-06-01,18292.0,Stands
68,2020-06-02,12341.0,Stands
69,2020-06-03,12341.0,Stands
