,date,value,name_B082YR37H7
0,2019-12-25,8864.0,Laundry Baskets
1,2019-12-26,8864.0,Laundry Baskets
2,2019-12-27,8864.0,Laundry Baskets
3,2019-12-28,5249.0,Laundry Baskets
4,2019-12-29,5249.0,Laundry Baskets
5,2019-12-30,5249.0,Laundry Baskets
6,2019-12-31,5769.0,Laundry Baskets
7,2020-01-01,5769.0,Laundry Baskets
8,2020-01-02,5854.0,Laundry Baskets
9,2020-01-03,6380.0,Laundry Baskets
10,2020-01-04,6380.0,Laundry Baskets
11,2020-01-05,6380.0,Laundry Baskets
12,2020-01-06,6380.0,Laundry Baskets
13,2020-01-07,5386.0,Laundry Baskets
14,2020-01-08,5386.0,Laundry Baskets
15,2020-01-09,8102.0,Laundry Baskets
16,2020-01-10,7072.0,Laundry Baskets
17,2020-01-11,7072.0,Laundry Baskets
18,2020-01-12,5478.0,Laundry Baskets
19,2020-01-13,3550.0,Laundry Baskets
20,2020-01-14,4296.0,Laundry Baskets
21,2020-01-15,5240.0,Laundry Baskets
22,2020-01-16,5240.0,Laundry Baskets
23,2020-01-17,5470.0,Laundry Baskets
24,2020-01-18,5470.0,Laundry Baskets
25,2020-01-19,3825.0,Laundry Baskets
26,2020-01-20,3825.0,Laundry Baskets
27,2020-01-21,5025.0,Laundry Baskets
28,2020-01-22,6045.0,Laundry Baskets
29,2020-01-23,6045.0,Laundry Baskets
30,2020-01-24,6045.0,Laundry Baskets
31,2020-01-25,6838.0,Laundry Baskets
32,2020-01-26,6838.0,Laundry Baskets
33,2020-01-27,6838.0,Laundry Baskets
34,2020-01-28,8045.0,Laundry Baskets
35,2020-01-29,8045.0,Laundry Baskets
36,2020-01-30,8045.0,Laundry Baskets
37,2020-01-31,7591.0,Laundry Baskets
38,2020-02-01,7591.0,Laundry Baskets
39,2020-02-02,7591.0,Laundry Baskets
40,2020-02-03,7591.0,Laundry Baskets
41,2020-02-04,7591.0,Laundry Baskets
42,2020-02-05,7591.0,Laundry Baskets
43,2020-02-06,9450.0,Laundry Baskets
44,2020-02-07,9450.0,Laundry Baskets
45,2020-02-08,9450.0,Laundry Baskets
46,2020-02-09,9450.0,Laundry Baskets
47,2020-02-10,9450.0,Laundry Baskets
48,2020-02-11,8684.0,Laundry Baskets
49,2020-02-12,8684.0,Laundry Baskets
50,2020-02-13,8684.0,Laundry Baskets
51,2020-02-14,8684.0,Laundry Baskets
52,2020-02-15,8684.0,Laundry Baskets
53,2020-02-16,8388.0,Laundry Baskets
54,2020-02-17,7828.0,Laundry Baskets
55,2020-02-18,7828.0,Laundry Baskets
56,2020-02-19,7828.0,Laundry Baskets
57,2020-02-20,7828.0,Laundry Baskets
58,2020-02-21,12392.0,Laundry Baskets
59,2020-02-22,10765.0,Laundry Baskets
60,2020-02-23,10765.0,Laundry Baskets
61,2020-02-24,11954.0,Laundry Baskets
62,2020-02-25,11954.0,Laundry Baskets
63,2020-02-26,8166.0,Laundry Baskets
64,2020-02-27,7248.0,Laundry Baskets
65,2020-02-28,7248.0,Laundry Baskets
66,2020-02-29,7248.0,Laundry Baskets
67,2020-03-01,7248.0,Laundry Baskets
68,2020-03-02,10859.0,Laundry Baskets
69,2020-03-03,10859.0,Laundry Baskets
70,2020-03-04,10859.0,Laundry Baskets
71,2020-03-05,10859.0,Laundry Baskets
72,2020-03-06,10859.0,Laundry Baskets
73,2020-03-07,9349.0,Laundry Baskets
