,date,value,name_B01N288GIX
0,2020-05-27,8601.0,Blends
1,2020-05-28,8601.0,Blends
2,2020-05-29,9721.0,Blends
3,2020-05-30,9721.0,Blends
4,2020-05-31,9721.0,Blends
5,2020-06-01,8571.0,Blends
6,2020-06-02,8571.0,Blends
7,2020-06-03,8571.0,Blends
8,2020-06-04,9053.0,Blends
9,2020-06-05,9053.0,Blends
10,2020-06-06,9053.0,Blends
11,2020-06-07,8759.0,Blends
12,2020-06-08,9673.0,Blends
13,2020-06-09,10083.0,Blends
14,2020-06-10,8555.0,Blends
15,2020-06-11,8555.0,Blends
16,2020-06-12,9024.0,Blends
17,2020-06-13,9024.0,Blends
18,2020-06-14,8238.0,Blends
19,2020-06-15,9160.0,Blends
20,2020-06-16,9160.0,Blends
21,2020-06-17,9160.0,Blends
22,2020-06-18,8152.0,Blends
23,2020-06-19,9038.0,Blends
24,2020-06-20,9038.0,Blends
25,2020-06-21,9038.0,Blends
26,2020-06-22,8636.0,Blends
27,2020-06-23,8636.0,Blends
28,2020-06-24,8636.0,Blends
29,2020-06-25,8325.0,Blends
30,2020-06-26,9568.0,Blends
31,2020-06-27,9568.0,Blends
32,2020-06-28,9568.0,Blends
33,2020-06-29,9598.0,Blends
34,2020-06-30,8875.0,Blends
35,2020-07-01,8875.0,Blends
36,2020-07-02,10730.0,Blends
37,2020-07-03,10576.0,Blends
38,2020-07-04,10302.0,Blends
39,2020-07-05,10302.0,Blends
40,2020-07-06,10302.0,Blends
41,2020-07-07,7586.0,Blends
42,2020-07-08,9040.0,Blends
43,2020-07-09,9040.0,Blends
44,2020-07-10,9040.0,Blends
45,2020-07-11,11238.0,Blends
46,2020-07-12,11238.0,Blends
47,2020-07-13,10854.0,Blends
48,2020-07-14,10854.0,Blends
49,2020-07-15,10854.0,Blends
50,2020-07-16,9234.0,Blends
51,2020-07-17,8325.0,Blends
52,2020-07-18,8325.0,Blends
53,2020-07-19,8325.0,Blends
54,2020-07-20,9289.0,Blends
55,2020-07-21,10134.0,Blends
56,2020-07-22,10134.0,Blends
57,2020-07-23,8399.0,Blends
58,2020-07-24,10017.0,Blends
59,2020-07-25,10017.0,Blends
60,2020-07-26,10017.0,Blends
61,2020-07-27,8277.0,Blends
62,2020-07-28,8995.0,Blends
63,2020-07-29,8330.0,Blends
64,2020-07-30,8743.0,Blends
65,2020-07-31,8678.0,Blends
66,2020-08-01,10955.0,Blends
67,2020-08-02,10955.0,Blends
68,2020-08-03,8108.0,Blends
69,2020-08-04,9301.0,Blends
70,2020-08-05,8723.0,Blends
71,2020-08-06,8723.0,Blends
72,2020-08-07,8723.0,Blends
73,2020-08-08,8723.0,Blends
74,2020-08-09,11107.0,Blends
75,2020-08-10,10251.0,Blends
76,2020-08-11,10251.0,Blends
77,2020-08-12,10251.0,Blends
78,2020-08-13,8054.0,Blends
79,2020-08-14,9321.0,Blends
80,2020-08-15,9321.0,Blends
81,2020-08-16,8888.0,Blends
82,2020-08-17,8367.0,Blends
83,2020-08-18,7264.0,Blends
84,2020-08-19,7081.0,Blends
85,2020-08-20,7665.0,Blends
86,2020-08-21,7665.0,Blends
87,2020-08-22,10333.0,Blends
88,2020-08-23,10333.0,Blends
89,2020-08-24,10058.0,Blends
90,2020-08-25,8227.0,Blends
91,2020-08-26,8227.0,Blends
92,2020-08-27,8593.0,Blends
93,2020-08-28,8593.0,Blends
94,2020-08-29,8586.0,Blends
95,2020-08-30,8586.0,Blends
96,2020-08-31,8586.0,Blends
97,2020-09-01,8575.0,Blends
98,2020-09-02,8951.0,Blends
99,2020-09-03,8931.0,Blends
100,2020-09-04,8333.0,Blends
101,2020-09-05,8333.0,Blends
102,2020-09-06,9176.0,Blends
103,2020-09-07,9463.0,Blends
104,2020-09-08,9034.0,Blends
105,2020-09-09,9034.0,Blends
106,2020-09-10,6316.0,Blends
107,2020-09-11,7743.0,Blends
108,2020-09-12,7743.0,Blends
109,2020-09-13,10194.0,Blends
110,2020-09-14,10194.0,Blends
111,2020-09-15,8681.0,Blends
112,2020-09-16,8035.0,Blends
113,2020-09-17,6945.0,Blends
114,2020-09-18,7118.0,Blends
115,2020-09-19,8877.0,Blends
116,2020-09-20,8877.0,Blends
117,2020-09-21,8069.0,Blends
118,2020-09-22,8012.0,Blends
119,2020-09-23,7200.0,Blends
120,2020-09-24,7946.0,Blends
121,2020-09-25,8515.0,Blends
122,2020-09-26,8515.0,Blends
123,2020-09-27,8515.0,Blends
124,2020-09-28,7930.0,Blends
125,2020-09-29,7930.0,Blends
126,2020-09-30,8001.0,Blends
127,2020-10-01,8001.0,Blends
128,2020-10-02,8001.0,Blends
129,2020-10-03,8001.0,Blends
130,2020-10-04,8807.0,Blends
131,2020-10-05,9101.0,Blends
132,2020-10-06,10279.0,Blends
133,2020-10-07,10279.0,Blends
134,2020-10-08,10279.0,Blends
135,2020-10-09,8942.0,Blends
136,2020-10-10,10316.0,Blends
137,2020-10-11,10316.0,Blends
138,2020-10-12,8422.0,Blends
139,2020-10-13,8422.0,Blends
140,2020-10-14,4371.0,Blends
141,2020-10-15,4371.0,Blends
142,2020-10-16,7105.0,Blends
143,2020-10-17,7105.0,Blends
144,2020-10-18,7105.0,Blends
145,2020-10-19,10508.0,Blends
146,2020-10-20,10508.0,Blends
147,2020-10-21,10508.0,Blends
148,2020-10-22,9653.0,Blends
149,2020-10-23,11709.0,Blends
150,2020-10-24,11709.0,Blends
151,2020-10-25,11709.0,Blends
152,2020-10-26,8259.0,Blends
153,2020-10-27,8259.0,Blends
154,2020-10-28,8968.0,Blends
155,2020-10-29,9779.0,Blends
156,2020-10-30,9779.0,Blends
157,2020-10-31,9671.0,Blends
158,2020-11-01,9671.0,Blends
159,2020-11-02,9883.0,Blends
160,2020-11-03,9883.0,Blends
161,2020-11-04,9015.0,Blends
162,2020-11-05,9015.0,Blends
163,2020-11-06,9155.0,Blends
164,2020-11-07,8336.0,Blends
165,2020-11-08,8336.0,Blends
166,2020-11-09,8336.0,Blends
167,2020-11-10,9230.0,Blends
168,2020-11-11,9230.0,Blends
169,2020-11-12,9230.0,Blends
170,2020-11-13,9230.0,Blends
171,2020-11-14,9532.0,Blends
172,2020-11-15,9795.0,Blends
173,2020-11-16,9795.0,Blends
174,2020-11-17,9795.0,Blends
175,2020-11-18,9196.0,Blends
176,2020-11-19,9196.0,Blends
177,2020-11-20,11066.0,Blends
178,2020-11-21,11066.0,Blends
179,2020-11-22,14037.0,Blends
180,2020-11-23,12008.0,Blends
181,2020-11-24,12008.0,Blends
182,2020-11-25,12987.0,Blends
183,2020-11-26,12987.0,Blends
184,2020-11-27,10706.0,Blends
