,date,value,name_B084Z1427D
0,2020-06-01,120136.0,Ornaments
1,2020-06-02,120136.0,Ornaments
2,2020-06-03,120136.0,Ornaments
3,2020-06-04,120136.0,Ornaments
4,2020-06-05,120136.0,Ornaments
5,2020-06-06,120136.0,Ornaments
6,2020-06-07,120136.0,Ornaments
7,2020-06-08,95854.0,Ornaments
8,2020-06-09,95854.0,Ornaments
9,2020-06-10,169993.0,Ornaments
10,2020-06-11,169993.0,Ornaments
11,2020-06-12,169993.0,Ornaments
12,2020-06-13,169993.0,Ornaments
13,2020-06-14,169993.0,Ornaments
14,2020-06-15,96024.0,Ornaments
15,2020-06-16,96024.0,Ornaments
16,2020-06-17,96024.0,Ornaments
17,2020-06-18,124527.0,Ornaments
18,2020-06-19,124527.0,Ornaments
19,2020-06-20,124527.0,Ornaments
20,2020-06-21,124527.0,Ornaments
21,2020-06-22,124527.0,Ornaments
22,2020-06-23,124527.0,Ornaments
23,2020-06-24,124527.0,Ornaments
24,2020-06-25,124527.0,Ornaments
25,2020-06-26,124527.0,Ornaments
26,2020-06-27,124527.0,Ornaments
27,2020-06-28,156070.0,Ornaments
28,2020-06-29,156070.0,Ornaments
29,2020-06-30,156070.0,Ornaments
30,2020-07-01,156070.0,Ornaments
31,2020-07-02,156070.0,Ornaments
32,2020-07-03,156070.0,Ornaments
33,2020-07-04,206495.0,Ornaments
34,2020-07-05,206495.0,Ornaments
35,2020-07-06,206495.0,Ornaments
36,2020-07-07,297909.0,Ornaments
37,2020-07-08,297909.0,Ornaments
38,2020-07-09,297909.0,Ornaments
39,2020-07-10,297909.0,Ornaments
40,2020-07-11,235297.0,Ornaments
41,2020-07-12,235297.0,Ornaments
42,2020-07-13,235297.0,Ornaments
43,2020-07-14,235297.0,Ornaments
44,2020-07-15,235297.0,Ornaments
45,2020-07-16,235297.0,Ornaments
46,2020-07-17,32411.0,Ornaments
47,2020-07-18,32411.0,Ornaments
48,2020-07-19,32411.0,Ornaments
49,2020-07-20,32411.0,Ornaments
50,2020-07-21,25636.0,Ornaments
51,2020-07-22,25636.0,Ornaments
52,2020-07-23,25636.0,Ornaments
53,2020-07-24,25636.0,Ornaments
54,2020-07-25,25636.0,Ornaments
55,2020-07-26,30556.0,Ornaments
56,2020-07-27,30556.0,Ornaments
57,2020-07-28,30556.0,Ornaments
58,2020-07-29,31318.0,Ornaments
59,2020-07-30,31318.0,Ornaments
60,2020-07-31,31318.0,Ornaments
61,2020-08-01,31318.0,Ornaments
62,2020-08-02,31318.0,Ornaments
63,2020-08-03,40897.0,Ornaments
64,2020-08-04,40897.0,Ornaments
65,2020-08-05,29783.0,Ornaments
66,2020-08-06,29783.0,Ornaments
67,2020-08-07,29783.0,Ornaments
68,2020-08-08,29783.0,Ornaments
69,2020-08-09,29783.0,Ornaments
70,2020-08-10,29783.0,Ornaments
71,2020-08-11,35399.0,Ornaments
72,2020-08-12,35399.0,Ornaments
73,2020-08-13,35399.0,Ornaments
74,2020-08-14,37686.0,Ornaments
75,2020-08-15,37686.0,Ornaments
