,date,value,name_B01I9U8YUA
0,2020-05-25,548913.0,Panty Liners
1,2020-05-26,548913.0,Panty Liners
2,2020-05-27,548913.0,Panty Liners
3,2020-05-28,548913.0,Panty Liners
4,2020-05-29,548913.0,Panty Liners
5,2020-05-30,548913.0,Panty Liners
6,2020-05-31,545386.0,Panty Liners
7,2020-06-01,545386.0,Panty Liners
8,2020-06-02,545386.0,Panty Liners
9,2020-06-03,545386.0,Panty Liners
10,2020-06-04,544967.0,Panty Liners
11,2020-06-05,544967.0,Panty Liners
12,2020-06-06,544967.0,Panty Liners
13,2020-06-07,544967.0,Panty Liners
14,2020-06-08,545560.0,Panty Liners
15,2020-06-09,545560.0,Panty Liners
16,2020-06-10,545560.0,Panty Liners
17,2020-06-11,546232.0,Panty Liners
18,2020-06-12,546232.0,Panty Liners
19,2020-06-13,546232.0,Panty Liners
20,2020-06-14,546232.0,Panty Liners
21,2020-06-15,546663.0,Panty Liners
22,2020-06-16,546663.0,Panty Liners
23,2020-06-17,546663.0,Panty Liners
24,2020-06-18,546828.0,Panty Liners
25,2020-06-19,546828.0,Panty Liners
26,2020-06-20,546828.0,Panty Liners
27,2020-06-21,546828.0,Panty Liners
28,2020-06-22,545750.0,Panty Liners
29,2020-06-23,545750.0,Panty Liners
30,2020-06-24,545750.0,Panty Liners
31,2020-06-25,545917.0,Panty Liners
32,2020-06-26,545917.0,Panty Liners
33,2020-06-27,545917.0,Panty Liners
34,2020-06-28,545917.0,Panty Liners
35,2020-06-29,549240.0,Panty Liners
36,2020-06-30,549240.0,Panty Liners
37,2020-07-01,549240.0,Panty Liners
38,2020-07-02,549240.0,Panty Liners
39,2020-07-03,554141.0,Panty Liners
40,2020-07-04,554141.0,Panty Liners
41,2020-07-05,554141.0,Panty Liners
42,2020-07-06,553425.0,Panty Liners
43,2020-07-07,553425.0,Panty Liners
44,2020-07-08,553425.0,Panty Liners
45,2020-07-09,553425.0,Panty Liners
46,2020-07-10,556536.0,Panty Liners
47,2020-07-11,556536.0,Panty Liners
48,2020-07-12,556536.0,Panty Liners
49,2020-07-13,556536.0,Panty Liners
50,2020-07-14,557784.0,Panty Liners
51,2020-07-15,557784.0,Panty Liners
52,2020-07-16,560719.0,Panty Liners
53,2020-07-17,560719.0,Panty Liners
54,2020-07-18,560719.0,Panty Liners
55,2020-07-19,560719.0,Panty Liners
56,2020-07-20,562423.0,Panty Liners
57,2020-07-21,562423.0,Panty Liners
58,2020-07-22,562423.0,Panty Liners
59,2020-07-23,564862.0,Panty Liners
60,2020-07-24,564862.0,Panty Liners
61,2020-07-25,564862.0,Panty Liners
62,2020-07-26,564715.0,Panty Liners
63,2020-07-27,564715.0,Panty Liners
64,2020-07-28,564715.0,Panty Liners
65,2020-07-29,564715.0,Panty Liners
66,2020-07-30,566162.0,Panty Liners
67,2020-07-31,566162.0,Panty Liners
68,2020-08-01,566162.0,Panty Liners
69,2020-08-02,565632.0,Panty Liners
70,2020-08-03,565632.0,Panty Liners
71,2020-08-04,565632.0,Panty Liners
72,2020-08-05,565632.0,Panty Liners
73,2020-08-06,567900.0,Panty Liners
74,2020-08-07,567900.0,Panty Liners
75,2020-08-08,567900.0,Panty Liners
76,2020-08-09,567900.0,Panty Liners
77,2020-08-10,569147.0,Panty Liners
78,2020-08-11,569147.0,Panty Liners
79,2020-08-12,569147.0,Panty Liners
80,2020-08-13,572039.0,Panty Liners
81,2020-08-14,572039.0,Panty Liners
82,2020-08-15,572039.0,Panty Liners
83,2020-08-16,570091.0,Panty Liners
84,2020-08-17,570091.0,Panty Liners
85,2020-08-18,570091.0,Panty Liners
86,2020-08-19,569851.0,Panty Liners
87,2020-08-20,569851.0,Panty Liners
88,2020-08-21,569851.0,Panty Liners
89,2020-08-22,569851.0,Panty Liners
90,2020-08-23,568525.0,Panty Liners
91,2020-08-24,568525.0,Panty Liners
92,2020-08-25,568525.0,Panty Liners
93,2020-08-26,568004.0,Panty Liners
94,2020-08-27,568004.0,Panty Liners
95,2020-08-28,568004.0,Panty Liners
96,2020-08-29,569993.0,Panty Liners
97,2020-08-30,569993.0,Panty Liners
98,2020-08-31,569993.0,Panty Liners
99,2020-09-01,571806.0,Panty Liners
100,2020-09-02,571806.0,Panty Liners
101,2020-09-03,573130.0,Panty Liners
102,2020-09-04,573130.0,Panty Liners
103,2020-09-05,573130.0,Panty Liners
104,2020-09-06,573130.0,Panty Liners
105,2020-09-07,573130.0,Panty Liners
106,2020-09-08,573613.0,Panty Liners
107,2020-09-09,573613.0,Panty Liners
108,2020-09-10,573613.0,Panty Liners
109,2020-09-11,577739.0,Panty Liners
110,2020-09-12,577739.0,Panty Liners
111,2020-09-13,577739.0,Panty Liners
112,2020-09-14,577739.0,Panty Liners
113,2020-09-15,578363.0,Panty Liners
114,2020-09-16,578363.0,Panty Liners
115,2020-09-17,578363.0,Panty Liners
116,2020-09-18,93469.0,Panty Liners
117,2020-09-19,93469.0,Panty Liners
118,2020-09-20,93469.0,Panty Liners
119,2020-09-21,108547.0,Panty Liners
120,2020-09-22,108547.0,Panty Liners
121,2020-09-23,108547.0,Panty Liners
122,2020-09-24,140473.0,Panty Liners
123,2020-09-25,140473.0,Panty Liners
124,2020-09-26,140473.0,Panty Liners
125,2020-09-27,140473.0,Panty Liners
126,2020-09-28,140473.0,Panty Liners
127,2020-09-29,101657.0,Panty Liners
128,2020-09-30,101657.0,Panty Liners
129,2020-10-01,101657.0,Panty Liners
130,2020-10-02,101657.0,Panty Liners
131,2020-10-03,97948.0,Panty Liners
132,2020-10-04,97948.0,Panty Liners
133,2020-10-05,97948.0,Panty Liners
134,2020-10-06,97948.0,Panty Liners
135,2020-10-07,89078.0,Panty Liners
136,2020-10-08,89078.0,Panty Liners
137,2020-10-09,89078.0,Panty Liners
138,2020-10-10,150087.0,Panty Liners
139,2020-10-11,150087.0,Panty Liners
140,2020-10-12,150087.0,Panty Liners
141,2020-10-13,150087.0,Panty Liners
142,2020-10-14,160714.0,Panty Liners
143,2020-10-15,160714.0,Panty Liners
144,2020-10-16,160714.0,Panty Liners
145,2020-10-17,166769.0,Panty Liners
146,2020-10-18,166769.0,Panty Liners
147,2020-10-19,166769.0,Panty Liners
148,2020-10-20,166769.0,Panty Liners
149,2020-10-21,117779.0,Panty Liners
150,2020-10-22,117779.0,Panty Liners
151,2020-10-23,117779.0,Panty Liners
152,2020-10-24,95825.0,Panty Liners
153,2020-10-25,95825.0,Panty Liners
154,2020-10-26,95825.0,Panty Liners
155,2020-10-27,95825.0,Panty Liners
156,2020-10-28,153544.0,Panty Liners
157,2020-10-29,153544.0,Panty Liners
158,2020-10-30,153544.0,Panty Liners
159,2020-10-31,104550.0,Panty Liners
160,2020-11-01,104550.0,Panty Liners
161,2020-11-02,104550.0,Panty Liners
162,2020-11-03,104550.0,Panty Liners
163,2020-11-04,111896.0,Panty Liners
164,2020-11-05,111896.0,Panty Liners
165,2020-11-06,111896.0,Panty Liners
166,2020-11-07,110926.0,Panty Liners
167,2020-11-08,110926.0,Panty Liners
168,2020-11-09,110926.0,Panty Liners
169,2020-11-10,110926.0,Panty Liners
170,2020-11-11,91524.0,Panty Liners
171,2020-11-12,77105.0,Panty Liners
172,2020-11-13,77105.0,Panty Liners
173,2020-11-14,77105.0,Panty Liners
174,2020-11-15,77105.0,Panty Liners
175,2020-11-16,121918.0,Panty Liners
176,2020-11-17,121918.0,Panty Liners
177,2020-11-18,121918.0,Panty Liners
178,2020-11-19,95678.0,Panty Liners
179,2020-11-20,95678.0,Panty Liners
180,2020-11-21,95678.0,Panty Liners
181,2020-11-22,94927.0,Panty Liners
182,2020-11-23,94927.0,Panty Liners
183,2020-11-24,94927.0,Panty Liners
184,2020-11-25,133997.0,Panty Liners
185,2020-11-26,133997.0,Panty Liners
186,2020-11-27,133997.0,Panty Liners
187,2020-11-28,115012.0,Panty Liners
188,2020-11-29,106438.0,Panty Liners
189,2020-11-30,106438.0,Panty Liners
190,2020-12-01,79087.0,Panty Liners
191,2020-12-02,79087.0,Panty Liners
192,2020-12-03,57065.0,Panty Liners
193,2020-12-04,57065.0,Panty Liners
194,2020-12-05,57065.0,Panty Liners
195,2020-12-06,79106.0,Panty Liners
196,2020-12-07,79106.0,Panty Liners
197,2020-12-08,64302.0,Panty Liners
198,2020-12-09,64302.0,Panty Liners
199,2020-12-10,57061.0,Panty Liners
200,2020-12-11,57061.0,Panty Liners
201,2020-12-12,57061.0,Panty Liners
202,2020-12-13,51028.0,Panty Liners
203,2020-12-14,51028.0,Panty Liners
204,2020-12-15,51028.0,Panty Liners
205,2020-12-16,39705.0,Panty Liners
206,2020-12-17,36310.0,Panty Liners
207,2020-12-18,36310.0,Panty Liners
208,2020-12-19,36310.0,Panty Liners
209,2020-12-20,36488.0,Panty Liners
210,2020-12-21,36488.0,Panty Liners
211,2020-12-22,77694.0,Panty Liners
212,2020-12-23,77694.0,Panty Liners
213,2020-12-24,77694.0,Panty Liners
214,2020-12-25,77694.0,Panty Liners
215,2020-12-26,101272.0,Panty Liners
216,2020-12-27,101272.0,Panty Liners
217,2020-12-28,101272.0,Panty Liners
218,2020-12-29,101272.0,Panty Liners
219,2020-12-30,127732.0,Panty Liners
220,2020-12-31,127732.0,Panty Liners
221,2021-01-01,127732.0,Panty Liners
222,2021-01-02,140889.0,Panty Liners
223,2021-01-03,174115.0,Panty Liners
224,2021-01-04,174115.0,Panty Liners
225,2021-01-05,174115.0,Panty Liners
226,2021-01-06,227876.0,Panty Liners
227,2021-01-07,227876.0,Panty Liners
228,2021-01-08,227876.0,Panty Liners
229,2021-01-09,235548.0,Panty Liners
230,2021-01-10,235548.0,Panty Liners
231,2021-01-11,235548.0,Panty Liners
232,2021-01-12,251591.0,Panty Liners
233,2021-01-13,255094.0,Panty Liners
234,2021-01-14,255094.0,Panty Liners
235,2021-01-15,255094.0,Panty Liners
236,2021-01-16,139830.0,Panty Liners
237,2021-01-17,139830.0,Panty Liners
238,2021-01-18,136016.0,Panty Liners
239,2021-01-19,136016.0,Panty Liners
240,2021-01-20,136016.0,Panty Liners
241,2021-01-21,99797.0,Panty Liners
242,2021-01-22,101612.0,Panty Liners
243,2021-01-23,101612.0,Panty Liners
244,2021-01-24,101612.0,Panty Liners
245,2021-01-25,78859.0,Panty Liners
246,2021-01-26,78859.0,Panty Liners
247,2021-01-27,78859.0,Panty Liners
248,2021-01-28,119331.0,Panty Liners
249,2021-01-29,119331.0,Panty Liners
250,2021-01-30,119331.0,Panty Liners
251,2021-01-31,137690.0,Panty Liners
252,2021-02-01,137690.0,Panty Liners
253,2021-02-02,137690.0,Panty Liners
254,2021-02-03,137690.0,Panty Liners
255,2021-02-04,110395.0,Panty Liners
256,2021-02-05,110395.0,Panty Liners
257,2021-02-06,110395.0,Panty Liners
258,2021-02-07,63961.0,Panty Liners
259,2021-02-08,63961.0,Panty Liners
260,2021-02-09,50292.0,Panty Liners
261,2021-02-10,50292.0,Panty Liners
262,2021-02-11,50292.0,Panty Liners
263,2021-02-12,40077.0,Panty Liners
264,2021-02-13,36444.0,Panty Liners
265,2021-02-14,36444.0,Panty Liners
266,2021-02-15,36444.0,Panty Liners
267,2021-02-16,48991.0,Panty Liners
268,2021-02-17,57702.0,Panty Liners
269,2021-02-18,54051.0,Panty Liners
270,2021-02-19,54051.0,Panty Liners
271,2021-02-20,85736.0,Panty Liners
272,2021-02-21,85736.0,Panty Liners
273,2021-02-22,59924.0,Panty Liners
274,2021-02-23,59924.0,Panty Liners
275,2021-02-24,59924.0,Panty Liners
276,2021-02-25,64061.0,Panty Liners
277,2021-02-26,64061.0,Panty Liners
278,2021-02-27,64061.0,Panty Liners
279,2021-02-28,70461.0,Panty Liners
280,2021-03-01,70461.0,Panty Liners
281,2021-03-02,78124.0,Panty Liners
282,2021-03-03,78124.0,Panty Liners
283,2021-03-04,78124.0,Panty Liners
284,2021-03-05,107553.0,Panty Liners
285,2021-03-06,107553.0,Panty Liners
286,2021-03-07,107553.0,Panty Liners
287,2021-03-08,74514.0,Panty Liners
288,2021-03-09,74514.0,Panty Liners
289,2021-03-10,74514.0,Panty Liners
290,2021-03-11,137537.0,Panty Liners
291,2021-03-12,168214.0,Panty Liners
292,2021-03-13,168214.0,Panty Liners
293,2021-03-14,168214.0,Panty Liners
294,2021-03-15,158951.0,Panty Liners
295,2021-03-16,158951.0,Panty Liners
296,2021-03-17,97488.0,Panty Liners
297,2021-03-18,141952.0,Panty Liners
298,2021-03-19,141952.0,Panty Liners
299,2021-03-20,141952.0,Panty Liners
300,2021-03-21,169630.0,Panty Liners
301,2021-03-22,169630.0,Panty Liners
302,2021-03-23,169630.0,Panty Liners
303,2021-03-24,169630.0,Panty Liners
304,2021-03-25,99091.0,Panty Liners
305,2021-03-26,99091.0,Panty Liners
306,2021-03-27,99091.0,Panty Liners
307,2021-03-28,91614.0,Panty Liners
308,2021-03-29,91614.0,Panty Liners
309,2021-03-30,91614.0,Panty Liners
310,2021-03-31,153064.0,Panty Liners
311,2021-04-01,175010.0,Panty Liners
312,2021-04-02,175010.0,Panty Liners
313,2021-04-03,170860.0,Panty Liners
314,2021-04-04,170860.0,Panty Liners
315,2021-04-05,170860.0,Panty Liners
316,2021-04-06,103870.0,Panty Liners
317,2021-04-07,103870.0,Panty Liners
318,2021-04-08,174136.0,Panty Liners
319,2021-04-09,174136.0,Panty Liners
320,2021-04-10,174136.0,Panty Liners
321,2021-04-11,137854.0,Panty Liners
322,2021-04-12,137854.0,Panty Liners
323,2021-04-13,137854.0,Panty Liners
324,2021-04-14,165415.0,Panty Liners
325,2021-04-15,165415.0,Panty Liners
326,2021-04-16,105666.0,Panty Liners
327,2021-04-17,105666.0,Panty Liners
328,2021-04-18,190327.0,Panty Liners
329,2021-04-19,190327.0,Panty Liners
330,2021-04-20,193348.0,Panty Liners
331,2021-04-21,107363.0,Panty Liners
332,2021-04-22,76671.0,Panty Liners
333,2021-04-23,60129.0,Panty Liners
334,2021-04-24,60129.0,Panty Liners
335,2021-04-25,60013.0,Panty Liners
336,2021-04-26,60013.0,Panty Liners
337,2021-04-27,39024.0,Panty Liners
338,2021-04-28,39024.0,Panty Liners
339,2021-04-29,39024.0,Panty Liners
340,2021-04-30,55257.0,Panty Liners
341,2021-05-01,55257.0,Panty Liners
342,2021-05-02,55257.0,Panty Liners
343,2021-05-03,85798.0,Panty Liners
344,2021-05-04,85798.0,Panty Liners
345,2021-05-05,85798.0,Panty Liners
346,2021-05-06,87204.0,Panty Liners
347,2021-05-07,87204.0,Panty Liners
348,2021-05-08,112023.0,Panty Liners
349,2021-05-09,112023.0,Panty Liners
350,2021-05-10,109330.0,Panty Liners
351,2021-05-11,109330.0,Panty Liners
352,2021-05-12,109330.0,Panty Liners
353,2021-05-13,92695.0,Panty Liners
354,2021-05-14,92695.0,Panty Liners
355,2021-05-15,92695.0,Panty Liners
356,2021-05-16,92695.0,Panty Liners
357,2021-05-17,122746.0,Panty Liners
358,2021-05-18,122746.0,Panty Liners
359,2021-05-19,122746.0,Panty Liners
360,2021-05-20,141092.0,Panty Liners
361,2021-05-21,75072.0,Panty Liners
362,2021-05-22,75072.0,Panty Liners
363,2021-05-23,75072.0,Panty Liners
364,2021-05-24,75072.0,Panty Liners
365,2021-05-25,56598.0,Panty Liners
366,2021-05-26,56598.0,Panty Liners
367,2021-05-27,56598.0,Panty Liners
368,2021-05-28,79935.0,Panty Liners
369,2021-05-29,79935.0,Panty Liners
370,2021-05-30,79935.0,Panty Liners
371,2021-05-31,48930.0,Panty Liners
372,2021-06-01,48930.0,Panty Liners
373,2021-06-02,60712.0,Panty Liners
374,2021-06-03,60712.0,Panty Liners
375,2021-06-04,44589.0,Panty Liners
376,2021-06-05,44589.0,Panty Liners
377,2021-06-06,44589.0,Panty Liners
378,2021-06-07,60105.0,Panty Liners
379,2021-06-08,60105.0,Panty Liners
380,2021-06-09,52419.0,Panty Liners
381,2021-06-10,52419.0,Panty Liners
382,2021-06-11,47811.0,Panty Liners
383,2021-06-12,47811.0,Panty Liners
384,2021-06-13,47811.0,Panty Liners
385,2021-06-14,49744.0,Panty Liners
386,2021-06-15,49744.0,Panty Liners
387,2021-06-16,49744.0,Panty Liners
388,2021-06-17,56382.0,Panty Liners
389,2021-06-18,55864.0,Panty Liners
390,2021-06-19,55864.0,Panty Liners
391,2021-06-20,67387.0,Panty Liners
392,2021-06-21,50163.0,Panty Liners
393,2021-06-22,50163.0,Panty Liners
394,2021-06-23,50163.0,Panty Liners
395,2021-06-24,36167.0,Panty Liners
396,2021-06-25,36167.0,Panty Liners
397,2021-06-26,22917.0,Panty Liners
398,2021-06-27,22917.0,Panty Liners
399,2021-06-28,22917.0,Panty Liners
400,2021-06-29,32281.0,Panty Liners
401,2021-06-30,32281.0,Panty Liners
402,2021-07-01,41601.0,Panty Liners
403,2021-07-02,41601.0,Panty Liners
404,2021-07-03,41601.0,Panty Liners
405,2021-07-04,41601.0,Panty Liners
406,2021-07-05,58810.0,Panty Liners
407,2021-07-06,58810.0,Panty Liners
408,2021-07-07,43867.0,Panty Liners
409,2021-07-08,43867.0,Panty Liners
410,2021-07-09,67060.0,Panty Liners
