,date,value,name_B07F4497F4
0,2018-09-04,56903.0,Panels
1,2018-09-05,91436.0,Panels
2,2018-09-06,91436.0,Panels
3,2018-09-07,124049.0,Panels
4,2018-09-08,135898.0,Panels
5,2018-09-09,109549.0,Panels
6,2018-09-10,109549.0,Panels
7,2018-09-11,109549.0,Panels
8,2018-09-12,117314.0,Panels
9,2018-09-13,90059.0,Panels
10,2018-09-14,76448.0,Panels
11,2018-09-15,77373.0,Panels
12,2018-09-16,170871.0,Panels
13,2018-09-17,295502.0,Panels
14,2018-09-18,151482.0,Panels
15,2018-09-19,70909.0,Panels
16,2018-09-20,91651.0,Panels
17,2018-09-21,98133.0,Panels
18,2018-09-22,110956.0,Panels
19,2018-09-23,110956.0,Panels
20,2018-09-24,201631.0,Panels
21,2018-09-25,148383.0,Panels
22,2018-09-26,189621.0,Panels
23,2018-09-27,189621.0,Panels
24,2018-09-28,189621.0,Panels
25,2018-09-29,189621.0,Panels
26,2018-09-30,189621.0,Panels
27,2018-10-01,81500.0,Panels
28,2018-10-02,81500.0,Panels
29,2018-10-03,147900.0,Panels
30,2018-10-04,147900.0,Panels
31,2018-10-05,147900.0,Panels
32,2018-10-06,80987.0,Panels
33,2018-10-07,99889.0,Panels
34,2018-10-08,99889.0,Panels
35,2018-10-09,119607.0,Panels
36,2018-10-10,119607.0,Panels
37,2018-10-11,160357.0,Panels
38,2018-10-12,189663.0,Panels
39,2018-10-13,189663.0,Panels
40,2018-10-14,189663.0,Panels
41,2018-10-15,189663.0,Panels
42,2018-10-16,189663.0,Panels
43,2018-10-17,145136.0,Panels
44,2018-10-18,165806.0,Panels
45,2018-10-19,259655.0,Panels
46,2018-10-20,74775.0,Panels
47,2018-10-21,71198.0,Panels
48,2018-10-22,71198.0,Panels
49,2018-10-23,143456.0,Panels
50,2018-10-24,143456.0,Panels
51,2018-10-25,188433.0,Panels
52,2018-10-26,188433.0,Panels
53,2018-10-27,333097.0,Panels
54,2018-10-28,380097.0,Panels
55,2018-10-29,76978.0,Panels
56,2018-10-30,76978.0,Panels
57,2018-10-31,94580.0,Panels
58,2018-11-01,136899.0,Panels
59,2018-11-02,100711.0,Panels
60,2018-11-03,100972.0,Panels
61,2018-11-04,209170.0,Panels
62,2018-11-05,209170.0,Panels
63,2018-11-06,85694.0,Panels
64,2018-11-07,85694.0,Panels
65,2018-11-08,85694.0,Panels
66,2018-11-09,85694.0,Panels
67,2018-11-10,85694.0,Panels
68,2018-11-11,85694.0,Panels
69,2018-11-12,126007.0,Panels
70,2018-11-13,126007.0,Panels
71,2018-11-14,216234.0,Panels
72,2018-11-15,216234.0,Panels
73,2018-11-16,216234.0,Panels
74,2018-11-17,163462.0,Panels
75,2018-11-18,75822.0,Panels
76,2018-11-19,75822.0,Panels
77,2018-11-20,77113.0,Panels
78,2018-11-21,158687.0,Panels
79,2018-11-22,158687.0,Panels
80,2018-11-23,158687.0,Panels
81,2018-11-24,205287.0,Panels
82,2018-11-25,205287.0,Panels
83,2018-11-26,156811.0,Panels
84,2018-11-27,179198.0,Panels
85,2018-11-28,179198.0,Panels
86,2018-11-29,179198.0,Panels
87,2018-11-30,299312.0,Panels
88,2018-12-01,299312.0,Panels
89,2018-12-02,299312.0,Panels
90,2018-12-03,299312.0,Panels
91,2018-12-04,299312.0,Panels
92,2018-12-05,299312.0,Panels
93,2018-12-06,299312.0,Panels
94,2018-12-07,299312.0,Panels
95,2018-12-08,299312.0,Panels
96,2018-12-09,299312.0,Panels
97,2018-12-10,299312.0,Panels
98,2018-12-11,219643.0,Panels
99,2018-12-12,219643.0,Panels
100,2018-12-13,219643.0,Panels
101,2018-12-14,265389.0,Panels
102,2018-12-15,265389.0,Panels
103,2018-12-16,265389.0,Panels
104,2018-12-17,136148.0,Panels
105,2018-12-18,136148.0,Panels
106,2018-12-19,226155.0,Panels
107,2018-12-20,226155.0,Panels
108,2018-12-21,226155.0,Panels
109,2018-12-22,322594.0,Panels
110,2018-12-23,322594.0,Panels
111,2018-12-24,363852.0,Panels
112,2018-12-25,363852.0,Panels
113,2018-12-26,363852.0,Panels
114,2018-12-27,363852.0,Panels
115,2018-12-28,363852.0,Panels
116,2018-12-29,280413.0,Panels
117,2018-12-30,280413.0,Panels
118,2018-12-31,280413.0,Panels
119,2019-01-01,280413.0,Panels
120,2019-01-02,280413.0,Panels
121,2019-01-03,280413.0,Panels
122,2019-01-04,280413.0,Panels
123,2019-01-05,280413.0,Panels
124,2019-01-06,280413.0,Panels
125,2019-01-07,280413.0,Panels
126,2019-01-08,280413.0,Panels
127,2019-01-09,130959.0,Panels
128,2019-01-10,130959.0,Panels
129,2019-01-11,130959.0,Panels
130,2019-01-12,130959.0,Panels
131,2019-01-13,130959.0,Panels
132,2019-01-14,78490.0,Panels
133,2019-01-15,78490.0,Panels
134,2019-01-16,78490.0,Panels
135,2019-01-17,102878.0,Panels
136,2019-01-18,102878.0,Panels
137,2019-01-19,55952.0,Panels
138,2019-01-20,55952.0,Panels
139,2019-01-21,76678.0,Panels
140,2019-01-22,76678.0,Panels
