,date,value,name_B0861TJRJ4
0,2020-03-25,99240.0,Duvet Cover Sets
1,2020-03-26,99240.0,Duvet Cover Sets
2,2020-03-27,99240.0,Duvet Cover Sets
3,2020-03-28,99240.0,Duvet Cover Sets
4,2020-03-29,99240.0,Duvet Cover Sets
5,2020-03-30,99240.0,Duvet Cover Sets
6,2020-03-31,99240.0,Duvet Cover Sets
7,2020-04-01,99240.0,Duvet Cover Sets
8,2020-04-02,99240.0,Duvet Cover Sets
9,2020-04-03,99240.0,Duvet Cover Sets
10,2020-04-04,99240.0,Duvet Cover Sets
11,2020-04-05,99240.0,Duvet Cover Sets
12,2020-04-06,99240.0,Duvet Cover Sets
13,2020-04-07,99240.0,Duvet Cover Sets
14,2020-04-08,99240.0,Duvet Cover Sets
15,2020-04-09,99240.0,Duvet Cover Sets
16,2020-04-10,99240.0,Duvet Cover Sets
17,2020-04-11,99240.0,Duvet Cover Sets
18,2020-04-12,99240.0,Duvet Cover Sets
19,2020-04-13,165219.0,Duvet Cover Sets
20,2020-04-14,165219.0,Duvet Cover Sets
21,2020-04-15,165219.0,Duvet Cover Sets
22,2020-04-16,165219.0,Duvet Cover Sets
23,2020-04-17,165219.0,Duvet Cover Sets
24,2020-04-18,165219.0,Duvet Cover Sets
25,2020-04-19,165219.0,Duvet Cover Sets
26,2020-04-20,165219.0,Duvet Cover Sets
27,2020-04-21,165219.0,Duvet Cover Sets
28,2020-04-22,165219.0,Duvet Cover Sets
29,2020-04-23,62337.0,Duvet Cover Sets
30,2020-04-24,62337.0,Duvet Cover Sets
31,2020-04-25,62337.0,Duvet Cover Sets
32,2020-04-26,62337.0,Duvet Cover Sets
33,2020-04-27,62337.0,Duvet Cover Sets
34,2020-04-28,62337.0,Duvet Cover Sets
35,2020-04-29,104372.0,Duvet Cover Sets
36,2020-04-30,104372.0,Duvet Cover Sets
37,2020-05-01,104372.0,Duvet Cover Sets
38,2020-05-02,59917.0,Duvet Cover Sets
39,2020-05-03,59917.0,Duvet Cover Sets
40,2020-05-04,59917.0,Duvet Cover Sets
41,2020-05-05,59917.0,Duvet Cover Sets
42,2020-05-06,59917.0,Duvet Cover Sets
43,2020-05-07,95534.0,Duvet Cover Sets
44,2020-05-08,95534.0,Duvet Cover Sets
45,2020-05-09,95534.0,Duvet Cover Sets
46,2020-05-10,95534.0,Duvet Cover Sets
47,2020-05-11,95534.0,Duvet Cover Sets
48,2020-05-12,86074.0,Duvet Cover Sets
49,2020-05-13,86074.0,Duvet Cover Sets
50,2020-05-14,55818.0,Duvet Cover Sets
51,2020-05-15,55818.0,Duvet Cover Sets
52,2020-05-16,55818.0,Duvet Cover Sets
53,2020-05-17,55818.0,Duvet Cover Sets
54,2020-05-18,62591.0,Duvet Cover Sets
55,2020-05-19,62591.0,Duvet Cover Sets
56,2020-05-20,62591.0,Duvet Cover Sets
57,2020-05-21,62591.0,Duvet Cover Sets
58,2020-05-22,92641.0,Duvet Cover Sets
59,2020-05-23,92641.0,Duvet Cover Sets
