,date,value,name_B07RV6GY66
0,2020-05-05,22195.0,Repellents
1,2020-05-06,22195.0,Repellents
2,2020-05-07,22195.0,Repellents
3,2020-05-08,22195.0,Repellents
4,2020-05-09,22195.0,Repellents
5,2020-05-10,22195.0,Repellents
6,2020-05-11,22195.0,Repellents
7,2020-05-12,22195.0,Repellents
8,2020-05-13,22195.0,Repellents
9,2020-05-14,22195.0,Repellents
10,2020-05-15,22195.0,Repellents
11,2020-05-16,22195.0,Repellents
12,2020-05-17,18792.0,Repellents
13,2020-05-18,18792.0,Repellents
14,2020-05-19,18792.0,Repellents
15,2020-05-20,18792.0,Repellents
16,2020-05-21,18792.0,Repellents
17,2020-05-22,18792.0,Repellents
18,2020-05-23,18792.0,Repellents
19,2020-05-24,18792.0,Repellents
20,2020-05-25,18792.0,Repellents
21,2020-05-26,18792.0,Repellents
22,2020-05-27,18792.0,Repellents
23,2020-05-28,18792.0,Repellents
24,2020-05-29,18792.0,Repellents
25,2020-05-30,18792.0,Repellents
26,2020-05-31,18792.0,Repellents
27,2020-06-01,18792.0,Repellents
28,2020-06-02,10624.0,Repellents
29,2020-06-03,10624.0,Repellents
30,2020-06-04,10624.0,Repellents
31,2020-06-05,10163.0,Repellents
32,2020-06-06,10163.0,Repellents
33,2020-06-07,8398.0,Repellents
34,2020-06-08,8398.0,Repellents
35,2020-06-09,8398.0,Repellents
36,2020-06-10,8398.0,Repellents
37,2020-06-11,11665.0,Repellents
38,2020-06-12,11665.0,Repellents
39,2020-06-13,11665.0,Repellents
40,2020-06-14,8868.0,Repellents
41,2020-06-15,8868.0,Repellents
42,2020-06-16,8868.0,Repellents
43,2020-06-17,8868.0,Repellents
44,2020-06-18,8868.0,Repellents
45,2020-06-19,9722.0,Repellents
46,2020-06-20,9722.0,Repellents
47,2020-06-21,8133.0,Repellents
48,2020-06-22,8133.0,Repellents
49,2020-06-23,9200.0,Repellents
50,2020-06-24,9200.0,Repellents
51,2020-06-25,9200.0,Repellents
52,2020-06-26,9200.0,Repellents
53,2020-06-27,8531.0,Repellents
54,2020-06-28,8531.0,Repellents
55,2020-06-29,9995.0,Repellents
56,2020-06-30,9995.0,Repellents
57,2020-07-01,9995.0,Repellents
58,2020-07-02,9995.0,Repellents
59,2020-07-03,9995.0,Repellents
60,2020-07-04,9995.0,Repellents
61,2020-07-05,9995.0,Repellents
62,2020-07-06,13633.0,Repellents
63,2020-07-07,13633.0,Repellents
64,2020-07-08,13633.0,Repellents
65,2020-07-09,13633.0,Repellents
66,2020-07-10,13633.0,Repellents
67,2020-07-11,12558.0,Repellents
68,2020-07-12,12558.0,Repellents
69,2020-07-13,12558.0,Repellents
70,2020-07-14,12558.0,Repellents
71,2020-07-15,12558.0,Repellents
72,2020-07-16,8678.0,Repellents
