,date,value,name_B08XVT3P1L
0,2021-03-30,299971.0,Posters & Prints
1,2021-03-31,299971.0,Posters & Prints
2,2021-04-01,299971.0,Posters & Prints
3,2021-04-02,299971.0,Posters & Prints
4,2021-04-03,299971.0,Posters & Prints
5,2021-04-04,299971.0,Posters & Prints
6,2021-04-05,299971.0,Posters & Prints
7,2021-04-06,299971.0,Posters & Prints
8,2021-04-07,108811.0,Posters & Prints
9,2021-04-08,108811.0,Posters & Prints
10,2021-04-09,108811.0,Posters & Prints
11,2021-04-10,108811.0,Posters & Prints
12,2021-04-11,108811.0,Posters & Prints
13,2021-04-12,184476.0,Posters & Prints
14,2021-04-13,184476.0,Posters & Prints
15,2021-04-14,184476.0,Posters & Prints
16,2021-04-15,87974.0,Posters & Prints
17,2021-04-16,87974.0,Posters & Prints
18,2021-04-17,87974.0,Posters & Prints
19,2021-04-18,87974.0,Posters & Prints
20,2021-04-19,87974.0,Posters & Prints
21,2021-04-20,87974.0,Posters & Prints
22,2021-04-21,87974.0,Posters & Prints
23,2021-04-22,87974.0,Posters & Prints
24,2021-04-23,87974.0,Posters & Prints
25,2021-04-24,87974.0,Posters & Prints
26,2021-04-25,87974.0,Posters & Prints
27,2021-04-26,87974.0,Posters & Prints
28,2021-04-27,87974.0,Posters & Prints
29,2021-04-28,87974.0,Posters & Prints
30,2021-04-29,328015.0,Posters & Prints
31,2021-04-30,328015.0,Posters & Prints
32,2021-05-01,328015.0,Posters & Prints
33,2021-05-02,328015.0,Posters & Prints
34,2021-05-03,328015.0,Posters & Prints
35,2021-05-04,259311.0,Posters & Prints
36,2021-05-05,259311.0,Posters & Prints
37,2021-05-06,259311.0,Posters & Prints
38,2021-05-07,259311.0,Posters & Prints
39,2021-05-08,259311.0,Posters & Prints
40,2021-05-09,259311.0,Posters & Prints
41,2021-05-10,259311.0,Posters & Prints
42,2021-05-11,259311.0,Posters & Prints
43,2021-05-12,259311.0,Posters & Prints
44,2021-05-13,259311.0,Posters & Prints
45,2021-05-14,259311.0,Posters & Prints
46,2021-05-15,259311.0,Posters & Prints
47,2021-05-16,259311.0,Posters & Prints
48,2021-05-17,259311.0,Posters & Prints
49,2021-05-18,259311.0,Posters & Prints
50,2021-05-19,259311.0,Posters & Prints
51,2021-05-20,259311.0,Posters & Prints
52,2021-05-21,259311.0,Posters & Prints
53,2021-05-22,259311.0,Posters & Prints
54,2021-05-23,259311.0,Posters & Prints
55,2021-05-24,259311.0,Posters & Prints
56,2021-05-25,171010.0,Posters & Prints
57,2021-05-26,171010.0,Posters & Prints
58,2021-05-27,171010.0,Posters & Prints
59,2021-05-28,171010.0,Posters & Prints
60,2021-05-29,171010.0,Posters & Prints
61,2021-05-30,171010.0,Posters & Prints
62,2021-05-31,171010.0,Posters & Prints
63,2021-06-01,111781.0,Posters & Prints
64,2021-06-02,111781.0,Posters & Prints
65,2021-06-03,100087.0,Posters & Prints
66,2021-06-04,43370.0,Posters & Prints
67,2021-06-05,24256.0,Posters & Prints
68,2021-06-06,24256.0,Posters & Prints
69,2021-06-07,42234.0,Posters & Prints
70,2021-06-08,38270.0,Posters & Prints
71,2021-06-09,42920.0,Posters & Prints
72,2021-06-10,50864.0,Posters & Prints
73,2021-06-11,58236.0,Posters & Prints
74,2021-06-12,58236.0,Posters & Prints
75,2021-06-13,58236.0,Posters & Prints
76,2021-06-14,47047.0,Posters & Prints
77,2021-06-15,47047.0,Posters & Prints
78,2021-06-16,47047.0,Posters & Prints
79,2021-06-17,51919.0,Posters & Prints
80,2021-06-18,53643.0,Posters & Prints
81,2021-06-19,41776.0,Posters & Prints
82,2021-06-20,41776.0,Posters & Prints
83,2021-06-21,57788.0,Posters & Prints
84,2021-06-22,48116.0,Posters & Prints
85,2021-06-23,57674.0,Posters & Prints
86,2021-06-24,57674.0,Posters & Prints
87,2021-06-25,31635.0,Posters & Prints
88,2021-06-26,31635.0,Posters & Prints
89,2021-06-27,31635.0,Posters & Prints
90,2021-06-28,31635.0,Posters & Prints
91,2021-06-29,51539.0,Posters & Prints
92,2021-06-30,51539.0,Posters & Prints
93,2021-07-01,38110.0,Posters & Prints
94,2021-07-02,38110.0,Posters & Prints
95,2021-07-03,54004.0,Posters & Prints
96,2021-07-04,54004.0,Posters & Prints
97,2021-07-05,39419.0,Posters & Prints
98,2021-07-06,39419.0,Posters & Prints
99,2021-07-07,61295.0,Posters & Prints
100,2021-07-08,61295.0,Posters & Prints
101,2021-07-09,63090.0,Posters & Prints
