,date,value,name_B08WWLMFQZ
0,2021-02-22,2493.0,Dyes
1,2021-02-23,2493.0,Dyes
2,2021-02-24,1790.0,Dyes
3,2021-02-25,2085.0,Dyes
4,2021-02-26,2085.0,Dyes
5,2021-02-27,2085.0,Dyes
6,2021-02-28,2085.0,Dyes
7,2021-03-01,2980.0,Dyes
8,2021-03-02,1106.0,Dyes
9,2021-03-03,785.0,Dyes
10,2021-03-04,807.0,Dyes
11,2021-03-05,807.0,Dyes
12,2021-03-06,807.0,Dyes
13,2021-03-07,729.0,Dyes
14,2021-03-08,729.0,Dyes
15,2021-03-09,1139.0,Dyes
16,2021-03-10,1333.0,Dyes
17,2021-03-11,1333.0,Dyes
18,2021-03-12,1266.0,Dyes
19,2021-03-13,1144.0,Dyes
20,2021-03-14,1873.0,Dyes
21,2021-03-15,1709.0,Dyes
22,2021-03-16,1709.0,Dyes
23,2021-03-17,1134.0,Dyes
24,2021-03-18,1008.0,Dyes
25,2021-03-19,1008.0,Dyes
26,2021-03-20,1305.0,Dyes
27,2021-03-21,1431.0,Dyes
28,2021-03-22,1431.0,Dyes
29,2021-03-23,1019.0,Dyes
30,2021-03-24,1019.0,Dyes
31,2021-03-25,1080.0,Dyes
32,2021-03-26,901.0,Dyes
33,2021-03-27,901.0,Dyes
34,2021-03-28,939.0,Dyes
35,2021-03-29,740.0,Dyes
36,2021-03-30,740.0,Dyes
37,2021-03-31,740.0,Dyes
38,2021-04-01,593.0,Dyes
39,2021-04-02,1093.0,Dyes
40,2021-04-03,1093.0,Dyes
41,2021-04-04,1093.0,Dyes
42,2021-04-05,1093.0,Dyes
43,2021-04-06,756.0,Dyes
44,2021-04-07,522.0,Dyes
45,2021-04-08,522.0,Dyes
46,2021-04-09,250.0,Dyes
47,2021-04-10,250.0,Dyes
48,2021-04-11,302.0,Dyes
49,2021-04-12,360.0,Dyes
50,2021-04-13,638.0,Dyes
51,2021-04-14,638.0,Dyes
52,2021-04-15,806.0,Dyes
53,2021-04-16,806.0,Dyes
54,2021-04-17,1040.0,Dyes
55,2021-04-18,1040.0,Dyes
56,2021-04-19,1285.0,Dyes
57,2021-04-20,1377.0,Dyes
58,2021-04-21,1377.0,Dyes
59,2021-04-22,1103.0,Dyes
60,2021-04-23,1103.0,Dyes
61,2021-04-24,1533.0,Dyes
62,2021-04-25,1615.0,Dyes
63,2021-04-26,1615.0,Dyes
64,2021-04-27,1615.0,Dyes
65,2021-04-28,1490.0,Dyes
66,2021-04-29,1492.0,Dyes
67,2021-04-30,1492.0,Dyes
68,2021-05-01,1232.0,Dyes
69,2021-05-02,1232.0,Dyes
70,2021-05-03,681.0,Dyes
71,2021-05-04,603.0,Dyes
72,2021-05-05,603.0,Dyes
73,2021-05-06,612.0,Dyes
74,2021-05-07,765.0,Dyes
75,2021-05-08,765.0,Dyes
76,2021-05-09,765.0,Dyes
77,2021-05-10,931.0,Dyes
78,2021-05-11,427.0,Dyes
79,2021-05-12,427.0,Dyes
80,2021-05-13,263.0,Dyes
81,2021-05-14,263.0,Dyes
82,2021-05-15,263.0,Dyes
83,2021-05-16,241.0,Dyes
84,2021-05-17,264.0,Dyes
85,2021-05-18,455.0,Dyes
86,2021-05-19,455.0,Dyes
87,2021-05-20,653.0,Dyes
88,2021-05-21,847.0,Dyes
89,2021-05-22,847.0,Dyes
90,2021-05-23,798.0,Dyes
91,2021-05-24,972.0,Dyes
92,2021-05-25,972.0,Dyes
93,2021-05-26,972.0,Dyes
94,2021-05-27,640.0,Dyes
95,2021-05-28,716.0,Dyes
96,2021-05-29,791.0,Dyes
97,2021-05-30,791.0,Dyes
98,2021-05-31,1106.0,Dyes
99,2021-06-01,1106.0,Dyes
100,2021-06-02,906.0,Dyes
101,2021-06-03,906.0,Dyes
102,2021-06-04,858.0,Dyes
103,2021-06-05,858.0,Dyes
104,2021-06-06,1043.0,Dyes
105,2021-06-07,1043.0,Dyes
106,2021-06-08,1043.0,Dyes
107,2021-06-09,1017.0,Dyes
108,2021-06-10,1017.0,Dyes
109,2021-06-11,640.0,Dyes
110,2021-06-12,640.0,Dyes
111,2021-06-13,663.0,Dyes
112,2021-06-14,663.0,Dyes
113,2021-06-15,524.0,Dyes
114,2021-06-16,524.0,Dyes
115,2021-06-17,524.0,Dyes
116,2021-06-18,453.0,Dyes
117,2021-06-19,453.0,Dyes
118,2021-06-20,476.0,Dyes
119,2021-06-21,476.0,Dyes
120,2021-06-22,224.0,Dyes
121,2021-06-23,66.0,Dyes
122,2021-06-24,66.0,Dyes
123,2021-06-25,170.0,Dyes
124,2021-06-26,216.0,Dyes
125,2021-06-27,252.0,Dyes
126,2021-06-28,252.0,Dyes
127,2021-06-29,240.0,Dyes
128,2021-06-30,370.0,Dyes
129,2021-07-01,457.0,Dyes
130,2021-07-02,559.0,Dyes
131,2021-07-03,559.0,Dyes
132,2021-07-04,725.0,Dyes
133,2021-07-05,696.0,Dyes
134,2021-07-06,695.0,Dyes
135,2021-07-07,695.0,Dyes
136,2021-07-08,446.0,Dyes
137,2021-07-09,534.0,Dyes
138,2021-07-10,534.0,Dyes
139,2021-07-11,541.0,Dyes
