,date,value,name_B07VDSNPJM
0,2019-07-23,175322.0,Plates
1,2019-07-24,175322.0,Plates
2,2019-07-25,272725.0,Plates
3,2019-07-26,282131.0,Plates
4,2019-07-27,37635.0,Plates
5,2019-07-28,28905.0,Plates
6,2019-07-29,16881.0,Plates
7,2019-07-30,13322.0,Plates
8,2019-07-31,9707.0,Plates
9,2019-08-01,9849.0,Plates
10,2019-08-02,7968.0,Plates
11,2019-08-03,13331.0,Plates
12,2019-08-04,11303.0,Plates
13,2019-08-05,6361.0,Plates
14,2019-08-06,5852.0,Plates
15,2019-08-07,5041.0,Plates
16,2019-08-08,4303.0,Plates
17,2019-08-09,5081.0,Plates
18,2019-08-10,5916.0,Plates
19,2019-08-11,5087.0,Plates
20,2019-08-12,5202.0,Plates
21,2019-08-13,4777.0,Plates
22,2019-08-14,4169.0,Plates
23,2019-08-15,4430.0,Plates
24,2019-08-16,5692.0,Plates
25,2019-08-17,5601.0,Plates
26,2019-08-18,5601.0,Plates
27,2019-08-19,3758.0,Plates
28,2019-08-20,3655.0,Plates
29,2019-08-21,3903.0,Plates
30,2019-08-22,6259.0,Plates
31,2019-08-23,10401.0,Plates
32,2019-08-24,7655.0,Plates
33,2019-08-25,10180.0,Plates
34,2019-08-26,12162.0,Plates
35,2019-08-27,9266.0,Plates
36,2019-08-28,9241.0,Plates
37,2019-08-29,7674.0,Plates
38,2019-08-30,6957.0,Plates
39,2019-08-31,9854.0,Plates
40,2019-09-01,12291.0,Plates
41,2019-09-02,9907.0,Plates
42,2019-09-03,9907.0,Plates
43,2019-09-04,12096.0,Plates
44,2019-09-05,9279.0,Plates
45,2019-09-06,6682.0,Plates
46,2019-09-07,8594.0,Plates
47,2019-09-08,7321.0,Plates
48,2019-09-09,7370.0,Plates
49,2019-09-10,6765.0,Plates
50,2019-09-11,7381.0,Plates
51,2019-09-12,7074.0,Plates
52,2019-09-13,6435.0,Plates
53,2019-09-14,7104.0,Plates
54,2019-09-15,6424.0,Plates
55,2019-09-16,7958.0,Plates
56,2019-09-17,6236.0,Plates
57,2019-09-18,4961.0,Plates
58,2019-09-19,5628.0,Plates
59,2019-09-20,8258.0,Plates
60,2019-09-21,10936.0,Plates
61,2019-09-22,11228.0,Plates
62,2019-09-23,12472.0,Plates
63,2019-09-24,15261.0,Plates
64,2019-09-25,18871.0,Plates
65,2019-09-26,12595.0,Plates
66,2019-09-27,12634.0,Plates
67,2019-09-28,16429.0,Plates
68,2019-09-29,20359.0,Plates
69,2019-09-30,18981.0,Plates
70,2019-10-01,8557.0,Plates
71,2019-10-02,10392.0,Plates
72,2019-10-03,15112.0,Plates
73,2019-10-04,12351.0,Plates
74,2019-10-05,12351.0,Plates
75,2019-10-06,8674.0,Plates
76,2019-10-07,8674.0,Plates
77,2019-10-08,9220.0,Plates
78,2019-10-09,6868.0,Plates
79,2019-10-10,7491.0,Plates
80,2019-10-11,7491.0,Plates
81,2019-10-12,6212.0,Plates
82,2019-10-13,7759.0,Plates
83,2019-10-14,6410.0,Plates
84,2019-10-15,5312.0,Plates
85,2019-10-16,4937.0,Plates
86,2019-10-17,4930.0,Plates
87,2019-10-18,5484.0,Plates
88,2019-10-19,5039.0,Plates
89,2019-10-20,8976.0,Plates
90,2019-10-21,4610.0,Plates
91,2019-10-22,5017.0,Plates
92,2019-10-23,5694.0,Plates
93,2019-10-24,4811.0,Plates
94,2019-10-25,4913.0,Plates
95,2019-10-26,5826.0,Plates
96,2019-10-27,7356.0,Plates
97,2019-10-28,5233.0,Plates
98,2019-10-29,4483.0,Plates
99,2019-10-30,4549.0,Plates
100,2019-10-31,5235.0,Plates
101,2019-11-01,6949.0,Plates
102,2019-11-02,7244.0,Plates
103,2019-11-03,5636.0,Plates
104,2019-11-04,7681.0,Plates
105,2019-11-05,6912.0,Plates
106,2019-11-06,4849.0,Plates
107,2019-11-07,4659.0,Plates
108,2019-11-08,4659.0,Plates
109,2019-11-09,4659.0,Plates
110,2019-11-10,4659.0,Plates
111,2019-11-11,4659.0,Plates
112,2019-11-12,5782.0,Plates
113,2019-11-13,5782.0,Plates
114,2019-11-14,4795.0,Plates
115,2019-11-15,5856.0,Plates
116,2019-11-16,5856.0,Plates
117,2019-11-17,5856.0,Plates
118,2019-11-18,6955.0,Plates
119,2019-11-19,6955.0,Plates
120,2019-11-20,6955.0,Plates
121,2019-11-21,9059.0,Plates
122,2019-11-22,9059.0,Plates
123,2019-11-23,8379.0,Plates
124,2019-11-24,8768.0,Plates
125,2019-11-25,8768.0,Plates
126,2019-11-26,8768.0,Plates
127,2019-11-27,7697.0,Plates
128,2019-11-28,9559.0,Plates
129,2019-11-29,9559.0,Plates
130,2019-11-30,12529.0,Plates
131,2019-12-01,11752.0,Plates
132,2019-12-02,14123.0,Plates
133,2019-12-03,13693.0,Plates
134,2019-12-04,13693.0,Plates
135,2019-12-05,13693.0,Plates
136,2019-12-06,13156.0,Plates
137,2019-12-07,13156.0,Plates
138,2019-12-08,13156.0,Plates
139,2019-12-09,13131.0,Plates
140,2019-12-10,11041.0,Plates
141,2019-12-11,8629.0,Plates
142,2019-12-12,8840.0,Plates
143,2019-12-13,8840.0,Plates
144,2019-12-14,11940.0,Plates
145,2019-12-15,11940.0,Plates
146,2019-12-16,17935.0,Plates
147,2019-12-17,17715.0,Plates
148,2019-12-18,14528.0,Plates
149,2019-12-19,14531.0,Plates
150,2019-12-20,14531.0,Plates
151,2019-12-21,18015.0,Plates
152,2019-12-22,21269.0,Plates
153,2019-12-23,22623.0,Plates
154,2019-12-24,17651.0,Plates
155,2019-12-25,17651.0,Plates
156,2019-12-26,11281.0,Plates
157,2019-12-27,9696.0,Plates
158,2019-12-28,7944.0,Plates
159,2019-12-29,4959.0,Plates
160,2019-12-30,4959.0,Plates
161,2019-12-31,5833.0,Plates
162,2020-01-01,5833.0,Plates
163,2020-01-02,5248.0,Plates
164,2020-01-03,5363.0,Plates
165,2020-01-04,5363.0,Plates
166,2020-01-05,5363.0,Plates
167,2020-01-06,7316.0,Plates
168,2020-01-07,8672.0,Plates
169,2020-01-08,5745.0,Plates
170,2020-01-09,8047.0,Plates
171,2020-01-10,8047.0,Plates
172,2020-01-11,8047.0,Plates
173,2020-01-12,8047.0,Plates
174,2020-01-13,6506.0,Plates
175,2020-01-14,7142.0,Plates
176,2020-01-15,7142.0,Plates
177,2020-01-16,6222.0,Plates
178,2020-01-17,7368.0,Plates
179,2020-01-18,7368.0,Plates
180,2020-01-19,14430.0,Plates
181,2020-01-20,14430.0,Plates
182,2020-01-21,14430.0,Plates
183,2020-01-22,7119.0,Plates
184,2020-01-23,7119.0,Plates
185,2020-01-24,7119.0,Plates
186,2020-01-25,7119.0,Plates
187,2020-01-26,7249.0,Plates
188,2020-01-27,7249.0,Plates
189,2020-01-28,7249.0,Plates
190,2020-01-29,7249.0,Plates
191,2020-01-30,6014.0,Plates
192,2020-01-31,5865.0,Plates
193,2020-02-01,5865.0,Plates
194,2020-02-02,5865.0,Plates
195,2020-02-03,5865.0,Plates
196,2020-02-04,5160.0,Plates
197,2020-02-05,4901.0,Plates
198,2020-02-06,4901.0,Plates
199,2020-02-07,4901.0,Plates
200,2020-02-08,3765.0,Plates
201,2020-02-09,3765.0,Plates
202,2020-02-10,3895.0,Plates
203,2020-02-11,3792.0,Plates
204,2020-02-12,4989.0,Plates
205,2020-02-13,4989.0,Plates
206,2020-02-14,4989.0,Plates
207,2020-02-15,4989.0,Plates
208,2020-02-16,7849.0,Plates
209,2020-02-17,7849.0,Plates
210,2020-02-18,7849.0,Plates
211,2020-02-19,6085.0,Plates
212,2020-02-20,6085.0,Plates
213,2020-02-21,6085.0,Plates
214,2020-02-22,6085.0,Plates
215,2020-02-23,6085.0,Plates
216,2020-02-24,-1.0,Plates
217,2020-02-25,-1.0,Plates
218,2020-02-26,5770.0,Plates
219,2020-02-27,6251.0,Plates
220,2020-02-28,6251.0,Plates
221,2020-02-29,6251.0,Plates
222,2020-03-01,8523.0,Plates
223,2020-03-02,8523.0,Plates
224,2020-03-03,8523.0,Plates
225,2020-03-04,6173.0,Plates
226,2020-03-05,6173.0,Plates
227,2020-03-06,6173.0,Plates
228,2020-03-07,6173.0,Plates
229,2020-03-08,6173.0,Plates
230,2020-03-09,-1.0,Plates
