,date,value,name_B08KZT4N6Q
0,2020-10-22,653.0,Bottles
1,2020-10-23,635.0,Bottles
2,2020-10-24,688.0,Bottles
3,2020-10-25,662.0,Bottles
4,2020-10-26,662.0,Bottles
5,2020-10-27,648.0,Bottles
6,2020-10-28,716.0,Bottles
7,2020-10-29,576.0,Bottles
8,2020-10-30,580.0,Bottles
9,2020-10-31,580.0,Bottles
10,2020-11-01,739.0,Bottles
11,2020-11-02,739.0,Bottles
12,2020-11-03,739.0,Bottles
13,2020-11-04,716.0,Bottles
14,2020-11-05,700.0,Bottles
15,2020-11-06,700.0,Bottles
16,2020-11-07,666.0,Bottles
17,2020-11-08,666.0,Bottles
18,2020-11-09,666.0,Bottles
19,2020-11-10,628.0,Bottles
20,2020-11-11,714.0,Bottles
21,2020-11-12,714.0,Bottles
22,2020-11-13,604.0,Bottles
23,2020-11-14,604.0,Bottles
24,2020-11-15,532.0,Bottles
25,2020-11-16,605.0,Bottles
26,2020-11-17,629.0,Bottles
27,2020-11-18,629.0,Bottles
28,2020-11-19,629.0,Bottles
29,2020-11-20,490.0,Bottles
30,2020-11-21,490.0,Bottles
31,2020-11-22,490.0,Bottles
32,2020-11-23,466.0,Bottles
33,2020-11-24,466.0,Bottles
34,2020-11-25,404.0,Bottles
35,2020-11-26,404.0,Bottles
36,2020-11-27,404.0,Bottles
37,2020-11-28,416.0,Bottles
38,2020-11-29,416.0,Bottles
39,2020-11-30,416.0,Bottles
40,2020-12-01,373.0,Bottles
41,2020-12-02,373.0,Bottles
42,2020-12-03,401.0,Bottles
43,2020-12-04,401.0,Bottles
44,2020-12-05,399.0,Bottles
45,2020-12-06,399.0,Bottles
46,2020-12-07,399.0,Bottles
47,2020-12-08,714.0,Bottles
48,2020-12-09,714.0,Bottles
49,2020-12-10,714.0,Bottles
50,2020-12-11,788.0,Bottles
51,2020-12-12,788.0,Bottles
52,2020-12-13,788.0,Bottles
53,2020-12-14,831.0,Bottles
54,2020-12-15,831.0,Bottles
55,2020-12-16,831.0,Bottles
56,2020-12-17,633.0,Bottles
57,2020-12-18,633.0,Bottles
58,2020-12-19,633.0,Bottles
59,2020-12-20,348.0,Bottles
60,2020-12-21,603.0,Bottles
61,2020-12-22,603.0,Bottles
62,2020-12-23,603.0,Bottles
63,2020-12-24,415.0,Bottles
64,2020-12-25,480.0,Bottles
65,2020-12-26,480.0,Bottles
66,2020-12-27,480.0,Bottles
67,2020-12-28,609.0,Bottles
68,2020-12-29,594.0,Bottles
69,2020-12-30,594.0,Bottles
70,2020-12-31,594.0,Bottles
71,2021-01-01,700.0,Bottles
72,2021-01-02,700.0,Bottles
73,2021-01-03,954.0,Bottles
74,2021-01-04,954.0,Bottles
75,2021-01-05,954.0,Bottles
76,2021-01-06,526.0,Bottles
77,2021-01-07,517.0,Bottles
78,2021-01-08,545.0,Bottles
79,2021-01-09,545.0,Bottles
80,2021-01-10,545.0,Bottles
81,2021-01-11,670.0,Bottles
82,2021-01-12,670.0,Bottles
83,2021-01-13,670.0,Bottles
84,2021-01-14,474.0,Bottles
85,2021-01-15,474.0,Bottles
86,2021-01-16,455.0,Bottles
87,2021-01-17,381.0,Bottles
88,2021-01-18,456.0,Bottles
89,2021-01-19,463.0,Bottles
90,2021-01-20,463.0,Bottles
91,2021-01-21,463.0,Bottles
92,2021-01-22,499.0,Bottles
93,2021-01-23,499.0,Bottles
94,2021-01-24,499.0,Bottles
95,2021-01-25,625.0,Bottles
96,2021-01-26,574.0,Bottles
97,2021-01-27,598.0,Bottles
98,2021-01-28,598.0,Bottles
99,2021-01-29,653.0,Bottles
100,2021-01-30,653.0,Bottles
