,date,value,name_B07VRMXN93
0,2019-07-28,3660.0,Pizza Cutters
1,2019-07-29,3604.0,Pizza Cutters
2,2019-07-30,3540.0,Pizza Cutters
3,2019-07-31,3602.0,Pizza Cutters
4,2019-08-01,3392.0,Pizza Cutters
5,2019-08-02,3895.0,Pizza Cutters
6,2019-08-03,4393.0,Pizza Cutters
7,2019-08-04,2826.0,Pizza Cutters
8,2019-08-05,2660.0,Pizza Cutters
9,2019-08-06,2446.0,Pizza Cutters
10,2019-08-07,2454.0,Pizza Cutters
11,2019-08-08,2416.0,Pizza Cutters
12,2019-08-09,2756.0,Pizza Cutters
13,2019-08-10,2910.0,Pizza Cutters
14,2019-08-11,2669.0,Pizza Cutters
15,2019-08-12,2256.0,Pizza Cutters
16,2019-08-13,2962.0,Pizza Cutters
17,2019-08-14,3616.0,Pizza Cutters
18,2019-08-15,3230.0,Pizza Cutters
19,2019-08-16,3114.0,Pizza Cutters
20,2019-08-17,3429.0,Pizza Cutters
21,2019-08-18,3398.0,Pizza Cutters
22,2019-08-19,2968.0,Pizza Cutters
23,2019-08-20,2660.0,Pizza Cutters
24,2019-08-21,2894.0,Pizza Cutters
25,2019-08-22,3012.0,Pizza Cutters
26,2019-08-23,3468.0,Pizza Cutters
27,2019-08-24,3205.0,Pizza Cutters
28,2019-08-25,3362.0,Pizza Cutters
29,2019-08-26,3402.0,Pizza Cutters
30,2019-08-27,3402.0,Pizza Cutters
31,2019-08-28,3402.0,Pizza Cutters
32,2019-08-29,2397.0,Pizza Cutters
33,2019-08-30,2413.0,Pizza Cutters
34,2019-08-31,2413.0,Pizza Cutters
35,2019-09-01,2218.0,Pizza Cutters
36,2019-09-02,1841.0,Pizza Cutters
37,2019-09-03,2334.0,Pizza Cutters
38,2019-09-04,3145.0,Pizza Cutters
39,2019-09-05,3175.0,Pizza Cutters
40,2019-09-06,2421.0,Pizza Cutters
41,2019-09-07,2421.0,Pizza Cutters
42,2019-09-08,2547.0,Pizza Cutters
43,2019-09-09,2547.0,Pizza Cutters
44,2019-09-10,2547.0,Pizza Cutters
45,2019-09-11,2330.0,Pizza Cutters
46,2019-09-12,2018.0,Pizza Cutters
47,2019-09-13,2039.0,Pizza Cutters
48,2019-09-14,2255.0,Pizza Cutters
49,2019-09-15,2747.0,Pizza Cutters
50,2019-09-16,2143.0,Pizza Cutters
51,2019-09-17,2069.0,Pizza Cutters
52,2019-09-18,2115.0,Pizza Cutters
53,2019-09-19,1372.0,Pizza Cutters
54,2019-09-20,1523.0,Pizza Cutters
55,2019-09-21,2030.0,Pizza Cutters
56,2019-09-22,1316.0,Pizza Cutters
57,2019-09-23,1390.0,Pizza Cutters
58,2019-09-24,1683.0,Pizza Cutters
59,2019-09-25,1614.0,Pizza Cutters
60,2019-09-26,1552.0,Pizza Cutters
61,2019-09-27,1879.0,Pizza Cutters
62,2019-09-28,2195.0,Pizza Cutters
63,2019-09-29,1887.0,Pizza Cutters
64,2019-09-30,1887.0,Pizza Cutters
65,2019-10-01,2024.0,Pizza Cutters
66,2019-10-02,2145.0,Pizza Cutters
67,2019-10-03,2010.0,Pizza Cutters
68,2019-10-04,2010.0,Pizza Cutters
69,2019-10-05,2010.0,Pizza Cutters
70,2019-10-06,1484.0,Pizza Cutters
71,2019-10-07,1459.0,Pizza Cutters
72,2019-10-08,1604.0,Pizza Cutters
73,2019-10-09,1604.0,Pizza Cutters
74,2019-10-10,2224.0,Pizza Cutters
75,2019-10-11,2224.0,Pizza Cutters
76,2019-10-12,2224.0,Pizza Cutters
77,2019-10-13,1411.0,Pizza Cutters
78,2019-10-14,1234.0,Pizza Cutters
79,2019-10-15,1544.0,Pizza Cutters
80,2019-10-16,1584.0,Pizza Cutters
81,2019-10-17,1636.0,Pizza Cutters
82,2019-10-18,1334.0,Pizza Cutters
83,2019-10-19,1419.0,Pizza Cutters
84,2019-10-20,1419.0,Pizza Cutters
85,2019-10-21,1625.0,Pizza Cutters
86,2019-10-22,1614.0,Pizza Cutters
87,2019-10-23,1788.0,Pizza Cutters
88,2019-10-24,1791.0,Pizza Cutters
89,2019-10-25,2464.0,Pizza Cutters
90,2019-10-26,2464.0,Pizza Cutters
91,2019-10-27,1144.0,Pizza Cutters
92,2019-10-28,1055.0,Pizza Cutters
93,2019-10-29,1055.0,Pizza Cutters
94,2019-10-30,1055.0,Pizza Cutters
95,2019-10-31,1433.0,Pizza Cutters
96,2019-11-01,1200.0,Pizza Cutters
97,2019-11-02,1200.0,Pizza Cutters
98,2019-11-03,1186.0,Pizza Cutters
99,2019-11-04,1199.0,Pizza Cutters
100,2019-11-05,1161.0,Pizza Cutters
101,2019-11-06,1261.0,Pizza Cutters
102,2019-11-07,1117.0,Pizza Cutters
103,2019-11-08,1117.0,Pizza Cutters
104,2019-11-09,1154.0,Pizza Cutters
105,2019-11-10,1154.0,Pizza Cutters
106,2019-11-11,1154.0,Pizza Cutters
107,2019-11-12,1217.0,Pizza Cutters
108,2019-11-13,1217.0,Pizza Cutters
109,2019-11-14,1217.0,Pizza Cutters
110,2019-11-15,1217.0,Pizza Cutters
111,2019-11-16,1217.0,Pizza Cutters
112,2019-11-17,1114.0,Pizza Cutters
113,2019-11-18,1314.0,Pizza Cutters
114,2019-11-19,1314.0,Pizza Cutters
115,2019-11-20,1314.0,Pizza Cutters
116,2019-11-21,1707.0,Pizza Cutters
117,2019-11-22,1707.0,Pizza Cutters
118,2019-11-23,1748.0,Pizza Cutters
119,2019-11-24,1748.0,Pizza Cutters
120,2019-11-25,1292.0,Pizza Cutters
121,2019-11-26,1801.0,Pizza Cutters
122,2019-11-27,1801.0,Pizza Cutters
123,2019-11-28,1801.0,Pizza Cutters
124,2019-11-29,2183.0,Pizza Cutters
125,2019-11-30,1811.0,Pizza Cutters
126,2019-12-01,1811.0,Pizza Cutters
127,2019-12-02,1811.0,Pizza Cutters
128,2019-12-03,1811.0,Pizza Cutters
129,2019-12-04,1811.0,Pizza Cutters
130,2019-12-05,1811.0,Pizza Cutters
131,2019-12-06,1447.0,Pizza Cutters
132,2019-12-07,1236.0,Pizza Cutters
133,2019-12-08,1085.0,Pizza Cutters
134,2019-12-09,1224.0,Pizza Cutters
135,2019-12-10,1303.0,Pizza Cutters
136,2019-12-11,1303.0,Pizza Cutters
137,2019-12-12,1303.0,Pizza Cutters
138,2019-12-13,1303.0,Pizza Cutters
139,2019-12-14,1303.0,Pizza Cutters
140,2019-12-15,1461.0,Pizza Cutters
141,2019-12-16,1274.0,Pizza Cutters
142,2019-12-17,1274.0,Pizza Cutters
143,2019-12-18,1302.0,Pizza Cutters
144,2019-12-19,1302.0,Pizza Cutters
145,2019-12-20,1422.0,Pizza Cutters
146,2019-12-21,1422.0,Pizza Cutters
147,2019-12-22,1422.0,Pizza Cutters
148,2019-12-23,1422.0,Pizza Cutters
149,2019-12-24,1194.0,Pizza Cutters
150,2019-12-25,1358.0,Pizza Cutters
151,2019-12-26,1358.0,Pizza Cutters
152,2019-12-27,1577.0,Pizza Cutters
153,2019-12-28,1828.0,Pizza Cutters
154,2019-12-29,1828.0,Pizza Cutters
155,2019-12-30,2053.0,Pizza Cutters
156,2019-12-31,1961.0,Pizza Cutters
157,2020-01-01,1855.0,Pizza Cutters
158,2020-01-02,1855.0,Pizza Cutters
159,2020-01-03,1855.0,Pizza Cutters
160,2020-01-04,1855.0,Pizza Cutters
161,2020-01-05,1815.0,Pizza Cutters
162,2020-01-06,1573.0,Pizza Cutters
163,2020-01-07,1573.0,Pizza Cutters
164,2020-01-08,1583.0,Pizza Cutters
165,2020-01-09,1583.0,Pizza Cutters
166,2020-01-10,1583.0,Pizza Cutters
167,2020-01-11,1583.0,Pizza Cutters
168,2020-01-12,1583.0,Pizza Cutters
169,2020-01-13,1583.0,Pizza Cutters
170,2020-01-14,1598.0,Pizza Cutters
171,2020-01-15,1598.0,Pizza Cutters
172,2020-01-16,1588.0,Pizza Cutters
173,2020-01-17,2119.0,Pizza Cutters
174,2020-01-18,2119.0,Pizza Cutters
175,2020-01-19,1191.0,Pizza Cutters
176,2020-01-20,1191.0,Pizza Cutters
177,2020-01-21,1525.0,Pizza Cutters
178,2020-01-22,1550.0,Pizza Cutters
179,2020-01-23,1534.0,Pizza Cutters
180,2020-01-24,1534.0,Pizza Cutters
181,2020-01-25,1230.0,Pizza Cutters
182,2020-01-26,1230.0,Pizza Cutters
183,2020-01-27,1268.0,Pizza Cutters
184,2020-01-28,1268.0,Pizza Cutters
185,2020-01-29,1268.0,Pizza Cutters
186,2020-01-30,1268.0,Pizza Cutters
187,2020-01-31,1268.0,Pizza Cutters
188,2020-02-01,1268.0,Pizza Cutters
189,2020-02-02,1295.0,Pizza Cutters
190,2020-02-03,1295.0,Pizza Cutters
191,2020-02-04,1295.0,Pizza Cutters
192,2020-02-05,1314.0,Pizza Cutters
193,2020-02-06,1474.0,Pizza Cutters
194,2020-02-07,1249.0,Pizza Cutters
195,2020-02-08,1243.0,Pizza Cutters
196,2020-02-09,1243.0,Pizza Cutters
197,2020-02-10,1321.0,Pizza Cutters
198,2020-02-11,1594.0,Pizza Cutters
199,2020-02-12,1546.0,Pizza Cutters
200,2020-02-13,1546.0,Pizza Cutters
201,2020-02-14,1421.0,Pizza Cutters
202,2020-02-15,1433.0,Pizza Cutters
203,2020-02-16,1433.0,Pizza Cutters
204,2020-02-17,1258.0,Pizza Cutters
205,2020-02-18,1258.0,Pizza Cutters
206,2020-02-19,1655.0,Pizza Cutters
207,2020-02-20,1655.0,Pizza Cutters
208,2020-02-21,1480.0,Pizza Cutters
209,2020-02-22,1171.0,Pizza Cutters
210,2020-02-23,1204.0,Pizza Cutters
211,2020-02-24,1204.0,Pizza Cutters
212,2020-02-25,1336.0,Pizza Cutters
213,2020-02-26,1449.0,Pizza Cutters
214,2020-02-27,1353.0,Pizza Cutters
215,2020-02-28,1353.0,Pizza Cutters
216,2020-02-29,1353.0,Pizza Cutters
217,2020-03-01,1394.0,Pizza Cutters
218,2020-03-02,1394.0,Pizza Cutters
219,2020-03-03,1394.0,Pizza Cutters
220,2020-03-04,2085.0,Pizza Cutters
221,2020-03-05,2085.0,Pizza Cutters
222,2020-03-06,2085.0,Pizza Cutters
223,2020-03-07,2085.0,Pizza Cutters
224,2020-03-08,2085.0,Pizza Cutters
225,2020-03-09,2085.0,Pizza Cutters
226,2020-03-10,-1.0,Pizza Cutters
