,date,value,name_B08PW1N7GX
0,2020-12-18,31941.0,Open Storage Bins
1,2020-12-19,31941.0,Open Storage Bins
2,2020-12-20,31941.0,Open Storage Bins
3,2020-12-21,41682.0,Open Storage Bins
4,2020-12-22,41682.0,Open Storage Bins
5,2020-12-23,23252.0,Open Storage Bins
6,2020-12-24,23252.0,Open Storage Bins
7,2020-12-25,23252.0,Open Storage Bins
8,2020-12-26,16820.0,Open Storage Bins
9,2020-12-27,16820.0,Open Storage Bins
10,2020-12-28,49126.0,Open Storage Bins
11,2020-12-29,49126.0,Open Storage Bins
12,2020-12-30,49126.0,Open Storage Bins
13,2020-12-31,49126.0,Open Storage Bins
14,2021-01-01,49126.0,Open Storage Bins
15,2021-01-02,49126.0,Open Storage Bins
16,2021-01-03,84200.0,Open Storage Bins
17,2021-01-04,84200.0,Open Storage Bins
18,2021-01-05,39953.0,Open Storage Bins
19,2021-01-06,39953.0,Open Storage Bins
20,2021-01-07,45272.0,Open Storage Bins
21,2021-01-08,30081.0,Open Storage Bins
22,2021-01-09,33598.0,Open Storage Bins
23,2021-01-10,33598.0,Open Storage Bins
24,2021-01-11,33598.0,Open Storage Bins
25,2021-01-12,18839.0,Open Storage Bins
26,2021-01-13,18839.0,Open Storage Bins
27,2021-01-14,15727.0,Open Storage Bins
28,2021-01-15,27305.0,Open Storage Bins
29,2021-01-16,27305.0,Open Storage Bins
30,2021-01-17,27305.0,Open Storage Bins
31,2021-01-18,27305.0,Open Storage Bins
32,2021-01-19,51986.0,Open Storage Bins
33,2021-01-20,50742.0,Open Storage Bins
34,2021-01-21,50742.0,Open Storage Bins
35,2021-01-22,61564.0,Open Storage Bins
36,2021-01-23,61564.0,Open Storage Bins
37,2021-01-24,61564.0,Open Storage Bins
38,2021-01-25,61564.0,Open Storage Bins
39,2021-01-26,61564.0,Open Storage Bins
40,2021-01-27,79014.0,Open Storage Bins
41,2021-01-28,79014.0,Open Storage Bins
42,2021-01-29,79014.0,Open Storage Bins
43,2021-01-30,101955.0,Open Storage Bins
44,2021-01-31,101955.0,Open Storage Bins
45,2021-02-01,101955.0,Open Storage Bins
46,2021-02-02,144242.0,Open Storage Bins
47,2021-02-03,144242.0,Open Storage Bins
48,2021-02-04,144242.0,Open Storage Bins
49,2021-02-05,144242.0,Open Storage Bins
50,2021-02-06,144242.0,Open Storage Bins
51,2021-02-07,144242.0,Open Storage Bins
52,2021-02-08,285832.0,Open Storage Bins
53,2021-02-09,285832.0,Open Storage Bins
54,2021-02-10,285832.0,Open Storage Bins
55,2021-02-11,285832.0,Open Storage Bins
56,2021-02-12,285832.0,Open Storage Bins
57,2021-02-13,285832.0,Open Storage Bins
58,2021-02-14,285832.0,Open Storage Bins
59,2021-02-15,285832.0,Open Storage Bins
60,2021-02-16,500071.0,Open Storage Bins
61,2021-02-17,500071.0,Open Storage Bins
62,2021-02-18,500071.0,Open Storage Bins
63,2021-02-19,500071.0,Open Storage Bins
64,2021-02-20,500071.0,Open Storage Bins
65,2021-02-21,515367.0,Open Storage Bins
66,2021-02-22,515367.0,Open Storage Bins
67,2021-02-23,515367.0,Open Storage Bins
68,2021-02-24,638591.0,Open Storage Bins
69,2021-02-25,663045.0,Open Storage Bins
70,2021-02-26,663045.0,Open Storage Bins
71,2021-02-27,663045.0,Open Storage Bins
72,2021-02-28,663045.0,Open Storage Bins
73,2021-03-01,663045.0,Open Storage Bins
74,2021-03-02,565389.0,Open Storage Bins
75,2021-03-03,565389.0,Open Storage Bins
76,2021-03-04,565389.0,Open Storage Bins
77,2021-03-05,565389.0,Open Storage Bins
78,2021-03-06,565389.0,Open Storage Bins
79,2021-03-07,565389.0,Open Storage Bins
80,2021-03-08,565389.0,Open Storage Bins
81,2021-03-09,782726.0,Open Storage Bins
82,2021-03-10,782726.0,Open Storage Bins
83,2021-03-11,782726.0,Open Storage Bins
84,2021-03-12,782726.0,Open Storage Bins
85,2021-03-13,782726.0,Open Storage Bins
86,2021-03-14,782726.0,Open Storage Bins
87,2021-03-15,782726.0,Open Storage Bins
88,2021-03-16,683683.0,Open Storage Bins
89,2021-03-17,683683.0,Open Storage Bins
90,2021-03-18,683683.0,Open Storage Bins
91,2021-03-19,683683.0,Open Storage Bins
92,2021-03-20,683683.0,Open Storage Bins
93,2021-03-21,683683.0,Open Storage Bins
94,2021-03-22,683683.0,Open Storage Bins
95,2021-03-23,683683.0,Open Storage Bins
96,2021-03-24,683683.0,Open Storage Bins
97,2021-03-25,683683.0,Open Storage Bins
98,2021-03-26,971312.0,Open Storage Bins
99,2021-03-27,971312.0,Open Storage Bins
100,2021-03-28,971312.0,Open Storage Bins
101,2021-03-29,971312.0,Open Storage Bins
102,2021-03-30,971312.0,Open Storage Bins
103,2021-03-31,971312.0,Open Storage Bins
104,2021-04-01,971312.0,Open Storage Bins
105,2021-04-02,971312.0,Open Storage Bins
106,2021-04-03,971312.0,Open Storage Bins
107,2021-04-04,971312.0,Open Storage Bins
108,2021-04-05,971312.0,Open Storage Bins
109,2021-04-06,974694.0,Open Storage Bins
110,2021-04-07,974694.0,Open Storage Bins
111,2021-04-08,974694.0,Open Storage Bins
112,2021-04-09,974694.0,Open Storage Bins
113,2021-04-10,853624.0,Open Storage Bins
114,2021-04-11,925865.0,Open Storage Bins
115,2021-04-12,925865.0,Open Storage Bins
116,2021-04-13,925865.0,Open Storage Bins
117,2021-04-14,925865.0,Open Storage Bins
118,2021-04-15,925865.0,Open Storage Bins
119,2021-04-16,925865.0,Open Storage Bins
120,2021-04-17,925865.0,Open Storage Bins
121,2021-04-18,925865.0,Open Storage Bins
122,2021-04-19,925865.0,Open Storage Bins
123,2021-04-20,925865.0,Open Storage Bins
124,2021-04-21,576906.0,Open Storage Bins
125,2021-04-22,576906.0,Open Storage Bins
126,2021-04-23,576906.0,Open Storage Bins
127,2021-04-24,576906.0,Open Storage Bins
128,2021-04-25,576906.0,Open Storage Bins
129,2021-04-26,148303.0,Open Storage Bins
130,2021-04-27,148303.0,Open Storage Bins
131,2021-04-28,148303.0,Open Storage Bins
132,2021-04-29,148303.0,Open Storage Bins
133,2021-04-30,148303.0,Open Storage Bins
134,2021-05-01,148303.0,Open Storage Bins
135,2021-05-02,148303.0,Open Storage Bins
136,2021-05-03,148303.0,Open Storage Bins
137,2021-05-04,148303.0,Open Storage Bins
138,2021-05-05,79896.0,Open Storage Bins
139,2021-05-06,79896.0,Open Storage Bins
140,2021-05-07,79896.0,Open Storage Bins
141,2021-05-08,79896.0,Open Storage Bins
142,2021-05-09,79896.0,Open Storage Bins
143,2021-05-10,102185.0,Open Storage Bins
144,2021-05-11,102185.0,Open Storage Bins
145,2021-05-12,102185.0,Open Storage Bins
146,2021-05-13,102185.0,Open Storage Bins
147,2021-05-14,89813.0,Open Storage Bins
148,2021-05-15,89813.0,Open Storage Bins
149,2021-05-16,89813.0,Open Storage Bins
150,2021-05-17,89813.0,Open Storage Bins
151,2021-05-18,89813.0,Open Storage Bins
152,2021-05-19,89813.0,Open Storage Bins
153,2021-05-20,71487.0,Open Storage Bins
154,2021-05-21,71487.0,Open Storage Bins
155,2021-05-22,60108.0,Open Storage Bins
156,2021-05-23,60108.0,Open Storage Bins
157,2021-05-24,60108.0,Open Storage Bins
158,2021-05-25,60108.0,Open Storage Bins
159,2021-05-26,52074.0,Open Storage Bins
160,2021-05-27,52074.0,Open Storage Bins
161,2021-05-28,18049.0,Open Storage Bins
162,2021-05-29,18221.0,Open Storage Bins
163,2021-05-30,16326.0,Open Storage Bins
164,2021-05-31,16326.0,Open Storage Bins
165,2021-06-01,19880.0,Open Storage Bins
166,2021-06-02,19880.0,Open Storage Bins
167,2021-06-03,19487.0,Open Storage Bins
168,2021-06-04,19487.0,Open Storage Bins
169,2021-06-05,19487.0,Open Storage Bins
170,2021-06-06,19487.0,Open Storage Bins
171,2021-06-07,16488.0,Open Storage Bins
172,2021-06-08,13773.0,Open Storage Bins
173,2021-06-09,13268.0,Open Storage Bins
174,2021-06-10,13268.0,Open Storage Bins
