,date,value,name_B08175W1C8
123,2020-04-02,1655216.0,Shower Curtain Sets
124,2020-04-03,1655216.0,Shower Curtain Sets
125,2020-04-04,1655216.0,Shower Curtain Sets
126,2020-04-05,1655216.0,Shower Curtain Sets
127,2020-04-06,1655216.0,Shower Curtain Sets
128,2020-04-07,1655216.0,Shower Curtain Sets
129,2020-04-08,1655216.0,Shower Curtain Sets
130,2020-04-09,1655216.0,Shower Curtain Sets
131,2020-04-10,1655216.0,Shower Curtain Sets
132,2020-04-11,1655216.0,Shower Curtain Sets
133,2020-04-12,1655216.0,Shower Curtain Sets
134,2020-04-13,1655216.0,Shower Curtain Sets
135,2020-04-14,1655216.0,Shower Curtain Sets
136,2020-04-15,1655216.0,Shower Curtain Sets
137,2020-04-16,1655216.0,Shower Curtain Sets
138,2020-04-17,1655216.0,Shower Curtain Sets
139,2020-04-18,1655216.0,Shower Curtain Sets
140,2020-04-19,1655216.0,Shower Curtain Sets
141,2020-04-20,1655216.0,Shower Curtain Sets
142,2020-04-21,1655216.0,Shower Curtain Sets
143,2020-04-22,1655216.0,Shower Curtain Sets
144,2020-04-23,1655216.0,Shower Curtain Sets
145,2020-04-24,1655216.0,Shower Curtain Sets
146,2020-04-25,1655216.0,Shower Curtain Sets
147,2020-04-26,1655216.0,Shower Curtain Sets
148,2020-04-27,1655216.0,Shower Curtain Sets
149,2020-04-28,1655216.0,Shower Curtain Sets
150,2020-04-29,1655216.0,Shower Curtain Sets
151,2020-04-30,1655216.0,Shower Curtain Sets
152,2020-05-01,1655216.0,Shower Curtain Sets
153,2020-05-02,1655216.0,Shower Curtain Sets
154,2020-05-03,1655216.0,Shower Curtain Sets
155,2020-05-04,1655216.0,Shower Curtain Sets
156,2020-05-05,1655216.0,Shower Curtain Sets
157,2020-05-06,1655216.0,Shower Curtain Sets
158,2020-05-07,1655216.0,Shower Curtain Sets
159,2020-05-08,1655216.0,Shower Curtain Sets
160,2020-05-09,1655216.0,Shower Curtain Sets
161,2020-05-10,1655216.0,Shower Curtain Sets
162,2020-05-11,1655216.0,Shower Curtain Sets
163,2020-05-12,1655216.0,Shower Curtain Sets
164,2020-05-13,1655216.0,Shower Curtain Sets
165,2020-05-14,1655216.0,Shower Curtain Sets
166,2020-05-15,1655216.0,Shower Curtain Sets
167,2020-05-16,1655216.0,Shower Curtain Sets
168,2020-05-17,1655216.0,Shower Curtain Sets
169,2020-05-18,1655216.0,Shower Curtain Sets
170,2020-05-19,1655216.0,Shower Curtain Sets
171,2020-05-20,1655216.0,Shower Curtain Sets
172,2020-05-21,1655216.0,Shower Curtain Sets
173,2020-05-22,1655216.0,Shower Curtain Sets
174,2020-05-23,1655216.0,Shower Curtain Sets
175,2020-05-24,1655216.0,Shower Curtain Sets
176,2020-05-25,1655216.0,Shower Curtain Sets
177,2020-05-26,1655216.0,Shower Curtain Sets
178,2020-05-27,1655216.0,Shower Curtain Sets
179,2020-05-28,1655216.0,Shower Curtain Sets
180,2020-05-29,1655216.0,Shower Curtain Sets
181,2020-05-30,1655216.0,Shower Curtain Sets
182,2020-05-31,1655216.0,Shower Curtain Sets
183,2020-06-01,1655216.0,Shower Curtain Sets
184,2020-06-02,1655216.0,Shower Curtain Sets
185,2020-06-03,1655216.0,Shower Curtain Sets
186,2020-06-04,1655216.0,Shower Curtain Sets
187,2020-06-05,1655216.0,Shower Curtain Sets
188,2020-06-06,1655216.0,Shower Curtain Sets
189,2020-06-07,1655216.0,Shower Curtain Sets
190,2020-06-08,1655216.0,Shower Curtain Sets
191,2020-06-09,1655216.0,Shower Curtain Sets
192,2020-06-10,1655216.0,Shower Curtain Sets
193,2020-06-11,1655216.0,Shower Curtain Sets
194,2020-06-12,1655216.0,Shower Curtain Sets
195,2020-06-13,1655216.0,Shower Curtain Sets
196,2020-06-14,1655216.0,Shower Curtain Sets
197,2020-06-15,1655216.0,Shower Curtain Sets
198,2020-06-16,1655216.0,Shower Curtain Sets
199,2020-06-17,1655216.0,Shower Curtain Sets
200,2020-06-18,1655216.0,Shower Curtain Sets
201,2020-06-19,1655216.0,Shower Curtain Sets
202,2020-06-20,1655216.0,Shower Curtain Sets
203,2020-06-21,1655216.0,Shower Curtain Sets
204,2020-06-22,1655216.0,Shower Curtain Sets
205,2020-06-23,1655216.0,Shower Curtain Sets
206,2020-06-24,1655216.0,Shower Curtain Sets
207,2020-06-25,1655216.0,Shower Curtain Sets
208,2020-06-26,1655216.0,Shower Curtain Sets
209,2020-06-27,1655216.0,Shower Curtain Sets
210,2020-06-28,1655216.0,Shower Curtain Sets
211,2020-06-29,1655216.0,Shower Curtain Sets
212,2020-06-30,1655216.0,Shower Curtain Sets
213,2020-07-01,1655216.0,Shower Curtain Sets
214,2020-07-02,1655216.0,Shower Curtain Sets
215,2020-07-03,1655216.0,Shower Curtain Sets
216,2020-07-04,1655216.0,Shower Curtain Sets
217,2020-07-05,1655216.0,Shower Curtain Sets
218,2020-07-06,1655216.0,Shower Curtain Sets
219,2020-07-07,1655216.0,Shower Curtain Sets
220,2020-07-08,1655216.0,Shower Curtain Sets
221,2020-07-09,1655216.0,Shower Curtain Sets
222,2020-07-10,1655216.0,Shower Curtain Sets
223,2020-07-11,1655216.0,Shower Curtain Sets
224,2020-07-12,1655216.0,Shower Curtain Sets
225,2020-07-13,1655216.0,Shower Curtain Sets
226,2020-07-14,1655216.0,Shower Curtain Sets
227,2020-07-15,1655216.0,Shower Curtain Sets
228,2020-07-16,1655216.0,Shower Curtain Sets
229,2020-07-17,1655216.0,Shower Curtain Sets
230,2020-07-18,1655216.0,Shower Curtain Sets
231,2020-07-19,1655216.0,Shower Curtain Sets
232,2020-07-20,1655216.0,Shower Curtain Sets
233,2020-07-21,1655216.0,Shower Curtain Sets
234,2020-07-22,1655216.0,Shower Curtain Sets
235,2020-07-23,1655216.0,Shower Curtain Sets
236,2020-07-24,1655216.0,Shower Curtain Sets
237,2020-07-25,1655216.0,Shower Curtain Sets
238,2020-07-26,1655216.0,Shower Curtain Sets
239,2020-07-27,1655216.0,Shower Curtain Sets
240,2020-07-28,1655216.0,Shower Curtain Sets
241,2020-07-29,1655216.0,Shower Curtain Sets
242,2020-07-30,1655216.0,Shower Curtain Sets
243,2020-07-31,1655216.0,Shower Curtain Sets
244,2020-08-01,1655216.0,Shower Curtain Sets
245,2020-08-02,1655216.0,Shower Curtain Sets
246,2020-08-03,1655216.0,Shower Curtain Sets
247,2020-08-04,1655216.0,Shower Curtain Sets
248,2020-08-05,1655216.0,Shower Curtain Sets
249,2020-08-06,1655216.0,Shower Curtain Sets
250,2020-08-07,1655216.0,Shower Curtain Sets
251,2020-08-08,1655216.0,Shower Curtain Sets
252,2020-08-09,1655216.0,Shower Curtain Sets
253,2020-08-10,1655216.0,Shower Curtain Sets
254,2020-08-11,1655216.0,Shower Curtain Sets
255,2020-08-12,1655216.0,Shower Curtain Sets
256,2020-08-13,1655216.0,Shower Curtain Sets
257,2020-08-14,1655216.0,Shower Curtain Sets
258,2020-08-15,1655216.0,Shower Curtain Sets
259,2020-08-16,1655216.0,Shower Curtain Sets
260,2020-08-17,2282109.0,Shower Curtain Sets
261,2020-08-18,2282109.0,Shower Curtain Sets
262,2020-08-19,2282109.0,Shower Curtain Sets
263,2020-08-20,2282109.0,Shower Curtain Sets
264,2020-08-21,2282109.0,Shower Curtain Sets
265,2020-08-22,2282109.0,Shower Curtain Sets
266,2020-08-23,2282109.0,Shower Curtain Sets
267,2020-08-24,2282109.0,Shower Curtain Sets
268,2020-08-25,2282109.0,Shower Curtain Sets
269,2020-08-26,2282109.0,Shower Curtain Sets
270,2020-08-27,2282109.0,Shower Curtain Sets
271,2020-08-28,2282109.0,Shower Curtain Sets
272,2020-08-29,2282109.0,Shower Curtain Sets
273,2020-08-30,2282109.0,Shower Curtain Sets
274,2020-08-31,2282109.0,Shower Curtain Sets
275,2020-09-01,2282109.0,Shower Curtain Sets
276,2020-09-02,2282109.0,Shower Curtain Sets
277,2020-09-03,2282109.0,Shower Curtain Sets
278,2020-09-04,2282109.0,Shower Curtain Sets
279,2020-09-05,2282109.0,Shower Curtain Sets
280,2020-09-06,2323287.0,Shower Curtain Sets
281,2020-09-07,2323287.0,Shower Curtain Sets
282,2020-09-08,2323287.0,Shower Curtain Sets
283,2020-09-09,2323287.0,Shower Curtain Sets
284,2020-09-10,2323287.0,Shower Curtain Sets
285,2020-09-11,2323287.0,Shower Curtain Sets
286,2020-09-12,2323287.0,Shower Curtain Sets
287,2020-09-13,2323287.0,Shower Curtain Sets
288,2020-09-14,2323287.0,Shower Curtain Sets
289,2020-09-15,2323287.0,Shower Curtain Sets
290,2020-09-16,2323287.0,Shower Curtain Sets
291,2020-09-17,2323287.0,Shower Curtain Sets
292,2020-09-18,2323287.0,Shower Curtain Sets
293,2020-09-19,2323287.0,Shower Curtain Sets
294,2020-09-20,2323287.0,Shower Curtain Sets
295,2020-09-21,2323287.0,Shower Curtain Sets
296,2020-09-22,2323287.0,Shower Curtain Sets
297,2020-09-23,2323287.0,Shower Curtain Sets
298,2020-09-24,2323287.0,Shower Curtain Sets
299,2020-09-25,2323287.0,Shower Curtain Sets
300,2020-09-26,2323287.0,Shower Curtain Sets
301,2020-09-27,2323287.0,Shower Curtain Sets
302,2020-09-28,2323287.0,Shower Curtain Sets
303,2020-09-29,2323287.0,Shower Curtain Sets
304,2020-09-30,2323287.0,Shower Curtain Sets
305,2020-10-01,2323287.0,Shower Curtain Sets
306,2020-10-02,2323287.0,Shower Curtain Sets
307,2020-10-03,2323287.0,Shower Curtain Sets
308,2020-10-04,2323287.0,Shower Curtain Sets
309,2020-10-05,2404208.0,Shower Curtain Sets
310,2020-10-06,2404208.0,Shower Curtain Sets
311,2020-10-07,2404208.0,Shower Curtain Sets
312,2020-10-08,2404208.0,Shower Curtain Sets
313,2020-10-09,2404208.0,Shower Curtain Sets
314,2020-10-10,2404208.0,Shower Curtain Sets
315,2020-10-11,2404208.0,Shower Curtain Sets
316,2020-10-12,2404208.0,Shower Curtain Sets
317,2020-10-13,2404208.0,Shower Curtain Sets
318,2020-10-14,2404208.0,Shower Curtain Sets
