,date,value,name_B092D8FTFK
0,2021-05-11,142835,Personal Fans
1,2021-05-12,51557,Personal Fans
2,2021-05-13,54151,Personal Fans
3,2021-05-14,75680,Personal Fans
4,2021-05-15,65453,Personal Fans
5,2021-05-16,43497,Personal Fans
6,2021-05-17,32703,Personal Fans
7,2021-05-18,27309,Personal Fans
8,2021-05-19,20080,Personal Fans
9,2021-05-20,26072,Personal Fans
10,2021-05-21,14296,Personal Fans
11,2021-05-22,16112,Personal Fans
12,2021-05-23,14040,Personal Fans
13,2021-05-24,7863,Personal Fans
14,2021-05-25,8043,Personal Fans
15,2021-05-26,6123,Personal Fans
16,2021-05-27,5897,Personal Fans
17,2021-05-28,6035,Personal Fans
18,2021-05-29,6511,Personal Fans
19,2021-05-30,8728,Personal Fans
20,2021-05-31,8738,Personal Fans
21,2021-06-01,6186,Personal Fans
22,2021-06-02,6135,Personal Fans
23,2021-06-03,5024,Personal Fans
24,2021-06-04,4099,Personal Fans
25,2021-06-05,4288,Personal Fans
26,2021-06-06,3377,Personal Fans
27,2021-06-07,3403,Personal Fans
28,2021-06-08,3854,Personal Fans
29,2021-06-09,3882,Personal Fans
30,2021-06-10,2838,Personal Fans
31,2021-06-11,2470,Personal Fans
32,2021-06-12,2381,Personal Fans
33,2021-06-13,1980,Personal Fans
34,2021-06-14,2642,Personal Fans
35,2021-06-15,3496,Personal Fans
36,2021-06-16,2378,Personal Fans
37,2021-06-17,2618,Personal Fans
38,2021-06-18,2543,Personal Fans
39,2021-06-19,2504,Personal Fans
40,2021-06-20,2048,Personal Fans
41,2021-06-21,2431,Personal Fans
42,2021-06-22,2550,Personal Fans
43,2021-06-23,2528,Personal Fans
44,2021-06-24,3642,Personal Fans
45,2021-06-25,3628,Personal Fans
46,2021-06-26,3441,Personal Fans
47,2021-06-27,3550,Personal Fans
48,2021-06-28,3711,Personal Fans
49,2021-06-29,3783,Personal Fans
50,2021-06-30,4206,Personal Fans
51,2021-07-01,5963,Personal Fans
52,2021-07-02,7125,Personal Fans
53,2021-07-03,9957,Personal Fans
54,2021-07-04,5690,Personal Fans
55,2021-07-05,6588,Personal Fans
56,2021-07-06,4487,Personal Fans
57,2021-07-07,4318,Personal Fans
58,2021-07-08,3295,Personal Fans
59,2021-07-09,2975,Personal Fans
60,2021-07-10,3185,Personal Fans
