,date,value,name_B08LKDNDNL
0,2020-10-28,18567.0,Lutein
1,2020-10-29,18567.0,Lutein
2,2020-10-30,16819.0,Lutein
3,2020-10-31,15893.0,Lutein
4,2020-11-01,15893.0,Lutein
5,2020-11-02,15893.0,Lutein
6,2020-11-03,15353.0,Lutein
7,2020-11-04,13586.0,Lutein
8,2020-11-05,13586.0,Lutein
9,2020-11-06,13586.0,Lutein
10,2020-11-07,13880.0,Lutein
11,2020-11-08,13880.0,Lutein
12,2020-11-09,14520.0,Lutein
13,2020-11-10,16327.0,Lutein
14,2020-11-11,16327.0,Lutein
15,2020-11-12,16327.0,Lutein
16,2020-11-13,17906.0,Lutein
17,2020-11-14,14728.0,Lutein
18,2020-11-15,14693.0,Lutein
19,2020-11-16,14693.0,Lutein
20,2020-11-17,14693.0,Lutein
21,2020-11-18,17764.0,Lutein
22,2020-11-19,20499.0,Lutein
23,2020-11-20,20499.0,Lutein
24,2020-11-21,18845.0,Lutein
25,2020-11-22,18845.0,Lutein
26,2020-11-23,18845.0,Lutein
27,2020-11-24,18845.0,Lutein
28,2020-11-25,17661.0,Lutein
29,2020-11-26,14220.0,Lutein
30,2020-11-27,14220.0,Lutein
31,2020-11-28,14220.0,Lutein
32,2020-11-29,15746.0,Lutein
33,2020-11-30,15746.0,Lutein
34,2020-12-01,15746.0,Lutein
35,2020-12-02,18458.0,Lutein
36,2020-12-03,14784.0,Lutein
37,2020-12-04,14784.0,Lutein
38,2020-12-05,14784.0,Lutein
39,2020-12-06,14242.0,Lutein
40,2020-12-07,14242.0,Lutein
41,2020-12-08,16344.0,Lutein
42,2020-12-09,16344.0,Lutein
43,2020-12-10,16344.0,Lutein
44,2020-12-11,15097.0,Lutein
45,2020-12-12,15097.0,Lutein
46,2020-12-13,13450.0,Lutein
47,2020-12-14,12987.0,Lutein
48,2020-12-15,12987.0,Lutein
49,2020-12-16,11081.0,Lutein
50,2020-12-17,11081.0,Lutein
51,2020-12-18,11814.0,Lutein
52,2020-12-19,10656.0,Lutein
53,2020-12-20,8653.0,Lutein
54,2020-12-21,9578.0,Lutein
55,2020-12-22,9590.0,Lutein
56,2020-12-23,10446.0,Lutein
57,2020-12-24,10616.0,Lutein
58,2020-12-25,10616.0,Lutein
59,2020-12-26,10616.0,Lutein
60,2020-12-27,11326.0,Lutein
61,2020-12-28,11326.0,Lutein
62,2020-12-29,11785.0,Lutein
63,2020-12-30,10447.0,Lutein
64,2020-12-31,8626.0,Lutein
65,2021-01-01,8626.0,Lutein
66,2021-01-02,8626.0,Lutein
67,2021-01-03,10759.0,Lutein
68,2021-01-04,10037.0,Lutein
69,2021-01-05,12013.0,Lutein
70,2021-01-06,12013.0,Lutein
71,2021-01-07,10493.0,Lutein
72,2021-01-08,8550.0,Lutein
73,2021-01-09,8108.0,Lutein
74,2021-01-10,8108.0,Lutein
75,2021-01-11,8108.0,Lutein
76,2021-01-12,7781.0,Lutein
77,2021-01-13,8117.0,Lutein
78,2021-01-14,8235.0,Lutein
79,2021-01-15,8235.0,Lutein
80,2021-01-16,9939.0,Lutein
81,2021-01-17,9939.0,Lutein
82,2021-01-18,9939.0,Lutein
83,2021-01-19,13395.0,Lutein
84,2021-01-20,13243.0,Lutein
85,2021-01-21,13243.0,Lutein
86,2021-01-22,13243.0,Lutein
87,2021-01-23,12557.0,Lutein
88,2021-01-24,12698.0,Lutein
89,2021-01-25,12698.0,Lutein
90,2021-01-26,12698.0,Lutein
91,2021-01-27,13304.0,Lutein
92,2021-01-28,13304.0,Lutein
93,2021-01-29,13304.0,Lutein
94,2021-01-30,11453.0,Lutein
95,2021-01-31,11453.0,Lutein
96,2021-02-01,11095.0,Lutein
97,2021-02-02,11672.0,Lutein
98,2021-02-03,12064.0,Lutein
99,2021-02-04,11469.0,Lutein
100,2021-02-05,11469.0,Lutein
101,2021-02-06,13142.0,Lutein
102,2021-02-07,11441.0,Lutein
103,2021-02-08,11441.0,Lutein
104,2021-02-09,11441.0,Lutein
105,2021-02-10,12683.0,Lutein
106,2021-02-11,12683.0,Lutein
107,2021-02-12,12683.0,Lutein
108,2021-02-13,14451.0,Lutein
109,2021-02-14,14451.0,Lutein
110,2021-02-15,12615.0,Lutein
111,2021-02-16,12615.0,Lutein
112,2021-02-17,12301.0,Lutein
113,2021-02-18,12301.0,Lutein
114,2021-02-19,12301.0,Lutein
115,2021-02-20,13649.0,Lutein
116,2021-02-21,12419.0,Lutein
117,2021-02-22,12419.0,Lutein
118,2021-02-23,12419.0,Lutein
119,2021-02-24,13196.0,Lutein
120,2021-02-25,13196.0,Lutein
121,2021-02-26,13196.0,Lutein
122,2021-02-27,14587.0,Lutein
123,2021-02-28,13628.0,Lutein
124,2021-03-01,13628.0,Lutein
125,2021-03-02,12430.0,Lutein
126,2021-03-03,12430.0,Lutein
127,2021-03-04,12878.0,Lutein
128,2021-03-05,11786.0,Lutein
129,2021-03-06,11786.0,Lutein
130,2021-03-07,11786.0,Lutein
131,2021-03-08,11506.0,Lutein
132,2021-03-09,11506.0,Lutein
133,2021-03-10,11509.0,Lutein
134,2021-03-11,11509.0,Lutein
135,2021-03-12,11509.0,Lutein
136,2021-03-13,11509.0,Lutein
137,2021-03-14,11509.0,Lutein
138,2021-03-15,11813.0,Lutein
139,2021-03-16,11813.0,Lutein
