,date,value,name_B08ZRQRRB5
0,2021-03-27,32925.0,Action Figures
1,2021-03-28,32925.0,Action Figures
2,2021-03-29,18889.0,Action Figures
3,2021-03-30,13795.0,Action Figures
4,2021-03-31,13795.0,Action Figures
5,2021-04-01,13795.0,Action Figures
6,2021-04-02,13795.0,Action Figures
7,2021-04-03,13795.0,Action Figures
8,2021-04-04,26077.0,Action Figures
9,2021-04-05,26077.0,Action Figures
10,2021-04-06,19576.0,Action Figures
11,2021-04-07,15387.0,Action Figures
12,2021-04-08,15387.0,Action Figures
13,2021-04-09,13646.0,Action Figures
14,2021-04-10,13646.0,Action Figures
15,2021-04-11,9481.0,Action Figures
16,2021-04-12,12037.0,Action Figures
17,2021-04-13,12037.0,Action Figures
18,2021-04-14,17440.0,Action Figures
19,2021-04-15,17440.0,Action Figures
20,2021-04-16,17440.0,Action Figures
21,2021-04-17,19722.0,Action Figures
22,2021-04-18,19722.0,Action Figures
23,2021-04-19,12741.0,Action Figures
24,2021-04-20,16890.0,Action Figures
25,2021-04-21,12315.0,Action Figures
26,2021-04-22,12315.0,Action Figures
27,2021-04-23,12315.0,Action Figures
28,2021-04-24,19369.0,Action Figures
29,2021-04-25,19369.0,Action Figures
30,2021-04-26,15608.0,Action Figures
31,2021-04-27,15608.0,Action Figures
32,2021-04-28,18105.0,Action Figures
33,2021-04-29,18105.0,Action Figures
34,2021-04-30,16221.0,Action Figures
35,2021-05-01,16576.0,Action Figures
36,2021-05-02,16576.0,Action Figures
37,2021-05-03,10620.0,Action Figures
38,2021-05-04,10620.0,Action Figures
39,2021-05-05,10620.0,Action Figures
40,2021-05-06,20828.0,Action Figures
41,2021-05-07,20828.0,Action Figures
42,2021-05-08,20828.0,Action Figures
43,2021-05-09,18884.0,Action Figures
44,2021-05-10,18884.0,Action Figures
45,2021-05-11,20110.0,Action Figures
46,2021-05-12,20110.0,Action Figures
47,2021-05-13,20110.0,Action Figures
48,2021-05-14,15283.0,Action Figures
49,2021-05-15,15931.0,Action Figures
50,2021-05-16,15931.0,Action Figures
51,2021-05-17,11592.0,Action Figures
52,2021-05-18,13172.0,Action Figures
53,2021-05-19,20941.0,Action Figures
54,2021-05-20,24332.0,Action Figures
55,2021-05-21,24332.0,Action Figures
56,2021-05-22,24332.0,Action Figures
57,2021-05-23,32983.0,Action Figures
58,2021-05-24,20337.0,Action Figures
59,2021-05-25,18593.0,Action Figures
60,2021-05-26,18593.0,Action Figures
61,2021-05-27,38559.0,Action Figures
62,2021-05-28,27057.0,Action Figures
63,2021-05-29,27057.0,Action Figures
64,2021-05-30,27057.0,Action Figures
65,2021-05-31,27057.0,Action Figures
66,2021-06-01,25144.0,Action Figures
67,2021-06-02,25144.0,Action Figures
68,2021-06-03,24901.0,Action Figures
69,2021-06-04,24901.0,Action Figures
70,2021-06-05,24901.0,Action Figures
71,2021-06-06,24901.0,Action Figures
72,2021-06-07,24901.0,Action Figures
73,2021-06-08,27218.0,Action Figures
74,2021-06-09,27218.0,Action Figures
75,2021-06-10,16808.0,Action Figures
76,2021-06-11,16808.0,Action Figures
77,2021-06-12,16808.0,Action Figures
78,2021-06-13,37187.0,Action Figures
79,2021-06-14,37187.0,Action Figures
80,2021-06-15,37187.0,Action Figures
81,2021-06-16,23583.0,Action Figures
82,2021-06-17,23583.0,Action Figures
83,2021-06-18,23415.0,Action Figures
84,2021-06-19,23415.0,Action Figures
85,2021-06-20,16119.0,Action Figures
86,2021-06-21,16119.0,Action Figures
87,2021-06-22,23173.0,Action Figures
88,2021-06-23,19922.0,Action Figures
89,2021-06-24,19922.0,Action Figures
90,2021-06-25,14909.0,Action Figures
91,2021-06-26,14909.0,Action Figures
92,2021-06-27,12073.0,Action Figures
93,2021-06-28,12073.0,Action Figures
94,2021-06-29,12175.0,Action Figures
95,2021-06-30,13552.0,Action Figures
96,2021-07-01,16161.0,Action Figures
97,2021-07-02,18012.0,Action Figures
98,2021-07-03,18012.0,Action Figures
99,2021-07-04,18012.0,Action Figures
100,2021-07-05,11891.0,Action Figures
101,2021-07-06,11891.0,Action Figures
102,2021-07-07,8897.0,Action Figures
103,2021-07-08,8897.0,Action Figures
104,2021-07-09,7874.0,Action Figures
