,date,value,name_B07X9VLVRT
0,2019-12-02,35091.0,Bath Rugs
1,2019-12-03,44145.0,Bath Rugs
2,2019-12-04,54290.0,Bath Rugs
3,2019-12-05,50588.0,Bath Rugs
4,2019-12-06,71756.0,Bath Rugs
5,2019-12-07,51951.0,Bath Rugs
6,2019-12-08,39801.0,Bath Rugs
7,2019-12-09,48889.0,Bath Rugs
8,2019-12-10,51758.0,Bath Rugs
9,2019-12-11,63690.0,Bath Rugs
10,2019-12-12,69627.0,Bath Rugs
11,2019-12-13,79421.0,Bath Rugs
12,2019-12-14,99609.0,Bath Rugs
13,2019-12-15,70199.0,Bath Rugs
14,2019-12-16,68427.0,Bath Rugs
15,2019-12-17,51099.0,Bath Rugs
16,2019-12-18,51099.0,Bath Rugs
17,2019-12-19,51099.0,Bath Rugs
18,2019-12-20,51099.0,Bath Rugs
19,2019-12-21,51099.0,Bath Rugs
20,2019-12-22,51099.0,Bath Rugs
21,2019-12-23,30716.0,Bath Rugs
22,2019-12-24,30716.0,Bath Rugs
23,2019-12-25,30716.0,Bath Rugs
24,2019-12-26,30716.0,Bath Rugs
25,2019-12-27,27660.0,Bath Rugs
26,2019-12-28,27660.0,Bath Rugs
27,2019-12-29,13708.0,Bath Rugs
28,2019-12-30,13708.0,Bath Rugs
29,2019-12-31,13708.0,Bath Rugs
30,2020-01-01,13708.0,Bath Rugs
31,2020-01-02,12973.0,Bath Rugs
32,2020-01-03,12973.0,Bath Rugs
33,2020-01-04,14409.0,Bath Rugs
34,2020-01-05,14409.0,Bath Rugs
35,2020-01-06,14409.0,Bath Rugs
36,2020-01-07,14888.0,Bath Rugs
37,2020-01-08,14888.0,Bath Rugs
38,2020-01-09,14888.0,Bath Rugs
39,2020-01-10,14888.0,Bath Rugs
40,2020-01-11,9199.0,Bath Rugs
41,2020-01-12,9199.0,Bath Rugs
42,2020-01-13,9199.0,Bath Rugs
43,2020-01-14,18280.0,Bath Rugs
44,2020-01-15,18280.0,Bath Rugs
45,2020-01-16,18280.0,Bath Rugs
46,2020-01-17,18280.0,Bath Rugs
47,2020-01-18,18280.0,Bath Rugs
48,2020-01-19,18280.0,Bath Rugs
49,2020-01-20,18280.0,Bath Rugs
50,2020-01-21,18216.0,Bath Rugs
51,2020-01-22,18216.0,Bath Rugs
52,2020-01-23,18216.0,Bath Rugs
53,2020-01-24,18216.0,Bath Rugs
54,2020-01-25,18216.0,Bath Rugs
55,2020-01-26,18216.0,Bath Rugs
56,2020-01-27,21568.0,Bath Rugs
57,2020-01-28,21568.0,Bath Rugs
58,2020-01-29,21568.0,Bath Rugs
59,2020-01-30,21568.0,Bath Rugs
60,2020-01-31,21568.0,Bath Rugs
61,2020-02-01,21568.0,Bath Rugs
62,2020-02-02,11996.0,Bath Rugs
63,2020-02-03,11996.0,Bath Rugs
64,2020-02-04,11996.0,Bath Rugs
65,2020-02-05,11996.0,Bath Rugs
66,2020-02-06,11996.0,Bath Rugs
67,2020-02-07,11996.0,Bath Rugs
68,2020-02-08,11996.0,Bath Rugs
69,2020-02-09,11996.0,Bath Rugs
70,2020-02-10,8376.0,Bath Rugs
71,2020-02-11,8376.0,Bath Rugs
72,2020-02-12,8376.0,Bath Rugs
73,2020-02-13,12933.0,Bath Rugs
74,2020-02-14,15066.0,Bath Rugs
75,2020-02-15,15066.0,Bath Rugs
76,2020-02-16,15066.0,Bath Rugs
77,2020-02-17,15701.0,Bath Rugs
78,2020-02-18,15701.0,Bath Rugs
79,2020-02-19,20948.0,Bath Rugs
80,2020-02-20,20948.0,Bath Rugs
81,2020-02-21,1078180.0,Bath Rugs
82,2020-02-22,1078180.0,Bath Rugs
83,2020-02-23,1078180.0,Bath Rugs
84,2020-02-24,1078180.0,Bath Rugs
85,2020-02-25,12381.0,Bath Rugs
86,2020-02-26,12381.0,Bath Rugs
87,2020-02-27,12381.0,Bath Rugs
88,2020-02-28,12381.0,Bath Rugs
89,2020-02-29,12381.0,Bath Rugs
90,2020-03-01,12381.0,Bath Rugs
91,2020-03-02,12381.0,Bath Rugs
92,2020-03-03,7728.0,Bath Rugs
93,2020-03-04,7728.0,Bath Rugs
94,2020-03-05,7728.0,Bath Rugs
95,2020-03-06,5059.0,Bath Rugs
96,2020-03-07,-1.0,Bath Rugs
