,date,value,name_B0872Y7L7S
0,2020-04-17,8632.0,Posters & Prints
1,2020-04-18,7889.0,Posters & Prints
2,2020-04-19,7889.0,Posters & Prints
3,2020-04-20,7889.0,Posters & Prints
4,2020-04-21,11900.0,Posters & Prints
5,2020-04-22,11900.0,Posters & Prints
6,2020-04-23,12159.0,Posters & Prints
7,2020-04-24,12159.0,Posters & Prints
8,2020-04-25,14713.0,Posters & Prints
9,2020-04-26,14713.0,Posters & Prints
10,2020-04-27,14713.0,Posters & Prints
11,2020-04-28,19100.0,Posters & Prints
12,2020-04-29,19100.0,Posters & Prints
13,2020-04-30,19100.0,Posters & Prints
14,2020-05-01,48217.0,Posters & Prints
15,2020-05-02,48217.0,Posters & Prints
16,2020-05-03,48217.0,Posters & Prints
17,2020-05-04,48217.0,Posters & Prints
18,2020-05-05,41956.0,Posters & Prints
19,2020-05-06,49476.0,Posters & Prints
20,2020-05-07,41734.0,Posters & Prints
21,2020-05-08,36990.0,Posters & Prints
22,2020-05-09,37370.0,Posters & Prints
23,2020-05-10,32691.0,Posters & Prints
24,2020-05-11,42116.0,Posters & Prints
25,2020-05-12,57234.0,Posters & Prints
26,2020-05-13,53780.0,Posters & Prints
27,2020-05-14,46460.0,Posters & Prints
28,2020-05-15,46460.0,Posters & Prints
29,2020-05-16,72615.0,Posters & Prints
30,2020-05-17,72615.0,Posters & Prints
31,2020-05-18,72615.0,Posters & Prints
32,2020-05-19,36715.0,Posters & Prints
33,2020-05-20,36715.0,Posters & Prints
34,2020-05-21,36715.0,Posters & Prints
35,2020-05-22,26716.0,Posters & Prints
36,2020-05-23,26716.0,Posters & Prints
37,2020-05-24,17352.0,Posters & Prints
38,2020-05-25,18848.0,Posters & Prints
39,2020-05-26,18848.0,Posters & Prints
40,2020-05-27,18848.0,Posters & Prints
41,2020-05-28,13784.0,Posters & Prints
42,2020-05-29,14563.0,Posters & Prints
43,2020-05-30,14563.0,Posters & Prints
44,2020-05-31,13965.0,Posters & Prints
45,2020-06-01,13965.0,Posters & Prints
46,2020-06-02,10607.0,Posters & Prints
47,2020-06-03,10607.0,Posters & Prints
48,2020-06-04,10607.0,Posters & Prints
49,2020-06-05,10607.0,Posters & Prints
50,2020-06-06,13249.0,Posters & Prints
51,2020-06-07,13249.0,Posters & Prints
52,2020-06-08,13249.0,Posters & Prints
53,2020-06-09,11528.0,Posters & Prints
54,2020-06-10,11241.0,Posters & Prints
55,2020-06-11,11241.0,Posters & Prints
56,2020-06-12,11241.0,Posters & Prints
57,2020-06-13,9379.0,Posters & Prints
58,2020-06-14,9379.0,Posters & Prints
59,2020-06-15,9379.0,Posters & Prints
60,2020-06-16,10453.0,Posters & Prints
61,2020-06-17,11910.0,Posters & Prints
62,2020-06-18,11747.0,Posters & Prints
63,2020-06-19,11343.0,Posters & Prints
64,2020-06-20,11343.0,Posters & Prints
65,2020-06-21,11343.0,Posters & Prints
66,2020-06-22,12365.0,Posters & Prints
67,2020-06-23,12365.0,Posters & Prints
68,2020-06-24,11778.0,Posters & Prints
69,2020-06-25,11778.0,Posters & Prints
70,2020-06-26,11778.0,Posters & Prints
71,2020-06-27,11778.0,Posters & Prints
72,2020-06-28,9974.0,Posters & Prints
73,2020-06-29,9974.0,Posters & Prints
74,2020-06-30,10984.0,Posters & Prints
75,2020-07-01,10912.0,Posters & Prints
76,2020-07-02,10912.0,Posters & Prints
77,2020-07-03,10912.0,Posters & Prints
78,2020-07-04,10347.0,Posters & Prints
79,2020-07-05,10347.0,Posters & Prints
80,2020-07-06,10347.0,Posters & Prints
81,2020-07-07,10351.0,Posters & Prints
82,2020-07-08,11981.0,Posters & Prints
83,2020-07-09,9580.0,Posters & Prints
84,2020-07-10,12390.0,Posters & Prints
85,2020-07-11,12390.0,Posters & Prints
86,2020-07-12,13360.0,Posters & Prints
87,2020-07-13,13360.0,Posters & Prints
88,2020-07-14,9813.0,Posters & Prints
89,2020-07-15,9813.0,Posters & Prints
90,2020-07-16,9813.0,Posters & Prints
91,2020-07-17,11617.0,Posters & Prints
92,2020-07-18,11617.0,Posters & Prints
93,2020-07-19,11617.0,Posters & Prints
94,2020-07-20,18810.0,Posters & Prints
95,2020-07-21,18810.0,Posters & Prints
96,2020-07-22,18810.0,Posters & Prints
97,2020-07-23,15364.0,Posters & Prints
98,2020-07-24,24908.0,Posters & Prints
99,2020-07-25,21659.0,Posters & Prints
100,2020-07-26,21659.0,Posters & Prints
101,2020-07-27,17854.0,Posters & Prints
102,2020-07-28,17854.0,Posters & Prints
103,2020-07-29,16332.0,Posters & Prints
104,2020-07-30,16332.0,Posters & Prints
105,2020-07-31,14776.0,Posters & Prints
106,2020-08-01,14165.0,Posters & Prints
107,2020-08-02,14165.0,Posters & Prints
108,2020-08-03,14165.0,Posters & Prints
109,2020-08-04,14165.0,Posters & Prints
110,2020-08-05,14165.0,Posters & Prints
111,2020-08-06,27109.0,Posters & Prints
112,2020-08-07,27109.0,Posters & Prints
113,2020-08-08,27109.0,Posters & Prints
114,2020-08-09,12861.0,Posters & Prints
115,2020-08-10,13864.0,Posters & Prints
116,2020-08-11,13864.0,Posters & Prints
117,2020-08-12,13864.0,Posters & Prints
118,2020-08-13,15931.0,Posters & Prints
119,2020-08-14,15931.0,Posters & Prints
120,2020-08-15,14048.0,Posters & Prints
121,2020-08-16,14048.0,Posters & Prints
122,2020-08-17,7615.0,Posters & Prints
123,2020-08-18,7615.0,Posters & Prints
124,2020-08-19,9518.0,Posters & Prints
125,2020-08-20,10189.0,Posters & Prints
126,2020-08-21,11294.0,Posters & Prints
127,2020-08-22,9554.0,Posters & Prints
128,2020-08-23,9554.0,Posters & Prints
129,2020-08-24,9723.0,Posters & Prints
130,2020-08-25,9539.0,Posters & Prints
131,2020-08-26,9539.0,Posters & Prints
132,2020-08-27,9539.0,Posters & Prints
133,2020-08-28,9539.0,Posters & Prints
134,2020-08-29,13074.0,Posters & Prints
135,2020-08-30,13074.0,Posters & Prints
136,2020-08-31,12763.0,Posters & Prints
137,2020-09-01,13454.0,Posters & Prints
138,2020-09-02,11998.0,Posters & Prints
139,2020-09-03,11998.0,Posters & Prints
140,2020-09-04,13975.0,Posters & Prints
141,2020-09-05,13508.0,Posters & Prints
142,2020-09-06,12055.0,Posters & Prints
143,2020-09-07,12055.0,Posters & Prints
